Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Monta Ellis,25.0,GSW,SG,80.0,80.0,3227.0,0.451,14.2,0.765,0.24,0.133,0.091,0.3,0.235,0.478,0.703,0.377,0.322,0.39,0.361,0.35,0.657,0.027,41.0,0.253,0.354,10.0,1.0,
2.0,LaMarcus Aldridge,25.0,POR,PF,81.0,81.0,3211.0,0.5,9.3,0.984,0.32,0.271,0.155,0.238,0.016,0.505,0.704,0.397,0.402,0.427,0.174,0.546,0.75,0.117,148.0,0.217,0.0,4.0,0.0,NBA3
3.0,Luol Deng,25.0,CHI,SF,82.0,82.0,3208.0,0.46,13.7,0.712,0.268,0.158,0.069,0.217,0.288,0.506,0.667,0.456,0.3,0.41,0.345,0.62,0.974,0.029,33.0,0.381,0.354,2.0,0.0,DPOY-10
4.0,Dorell Wright,25.0,GSW,SF,82.0,82.0,3147.0,0.423,16.1,0.55,0.216,0.112,0.079,0.142,0.45,0.462,0.665,0.367,0.275,0.331,0.376,0.526,0.974,0.065,71.0,0.308,0.421,2.0,0.0,
5.0,Blake Griffin,21.0,LAC,PF,82.0,82.0,3112.0,0.506,7.2,0.983,0.408,0.318,0.102,0.154,0.017,0.51,0.689,0.432,0.298,0.335,0.292,0.666,1.0,0.176,214.0,0.042,0.0,3.0,0.0,"MVP-10,ROY-1,AS"
6.0,LeBron James,26.0,MIA,SF,79.0,79.0,3063.0,0.51,12.7,0.812,0.284,0.172,0.094,0.262,0.188,0.552,0.744,0.459,0.443,0.445,0.33,0.284,0.609,0.068,98.0,0.211,0.322,5.0,1.0,"MVP-3,DPOY-9,AS,NBA1,DEF1"
7.0,Kevin Durant,22.0,OKC,SF,78.0,78.0,3038.0,0.462,15.5,0.731,0.162,0.113,0.16,0.296,0.269,0.504,0.795,0.414,0.439,0.413,0.35,0.565,0.855,0.083,125.0,0.063,0.385,0.0,0.0,"MVP-5,AS,NBA1"
8.0,Pau Gasol,30.0,LAL,C,82.0,82.0,3037.0,0.529,7.9,0.997,0.313,0.346,0.195,0.144,0.003,0.53,0.695,0.429,0.45,0.522,0.333,0.574,1.0,0.066,73.0,0.667,0.5,0.0,0.0,"AS,NBA2"
9.0,Derrick Rose,22.0,CHI,PG,81.0,81.0,3026.0,0.445,13.0,0.759,0.294,0.164,0.105,0.196,0.241,0.481,0.611,0.374,0.437,0.399,0.332,0.204,0.594,0.02,32.0,0.052,0.3,9.0,0.0,"MVP-1,AS,NBA1"
10.0,Al Jefferson,26.0,UTA,C,82.0,82.0,2940.0,0.496,8.1,1.0,0.315,0.332,0.19,0.163,0.0,0.496,0.655,0.441,0.394,0.419,,0.584,,0.058,74.0,,,0.0,0.0,
