Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Kevin Durant,23.0,OKC,SF,66.0,66.0,2546.0,0.496,13.8,0.735,0.213,0.157,0.184,0.182,0.265,0.535,0.739,0.448,0.424,0.483,0.387,0.396,0.805,0.082,102.0,0.047,0.5,1.0,0.0,"MVP-2,AS,NBA1"
2.0,Pau Gasol,31.0,LAL,PF,65.0,65.0,2430.0,0.501,9.7,0.971,0.275,0.281,0.167,0.248,0.029,0.508,0.687,0.442,0.412,0.449,0.259,0.646,0.857,0.087,74.0,0.667,0.389,0.0,0.0,
3.0,Rudy Gay,25.0,MEM,SF,65.0,65.0,2422.0,0.455,12.1,0.838,0.275,0.169,0.178,0.216,0.162,0.482,0.679,0.367,0.437,0.359,0.312,0.397,0.796,0.119,110.0,0.162,0.286,3.0,1.0,
4.0,Blake Griffin,22.0,LAC,PF,66.0,66.0,2392.0,0.549,7.7,0.984,0.436,0.266,0.059,0.223,0.016,0.556,0.765,0.426,0.25,0.382,0.125,0.626,1.0,0.209,192.0,0.188,0.0,3.0,0.0,"AS,NBA2"
5.0,John Wall,21.0,WAS,PG,66.0,66.0,2386.0,0.423,9.6,0.953,0.413,0.152,0.106,0.282,0.047,0.44,0.618,0.287,0.337,0.302,0.071,0.213,1.0,0.055,47.0,0.357,0.067,2.0,0.0,
6.0,Marc Gasol,27.0,MEM,C,65.0,65.0,2370.0,0.482,9.6,0.984,0.212,0.357,0.266,0.149,0.016,0.489,0.701,0.47,0.406,0.382,0.083,0.683,1.0,0.039,28.0,0.083,0.0,4.0,0.0,"DPOY-12,AS"
7.0,Brandon Jennings,22.0,MIL,PG,66.0,66.0,2331.0,0.418,14.0,0.654,0.262,0.167,0.084,0.141,0.346,0.464,0.571,0.396,0.362,0.405,0.332,0.326,0.55,0.008,8.0,0.152,0.373,4.0,0.0,
8.0,Russell Westbrook,23.0,OKC,PG,66.0,66.0,2331.0,0.457,11.8,0.845,0.291,0.152,0.19,0.212,0.155,0.482,0.631,0.358,0.404,0.437,0.316,0.182,0.516,0.049,48.0,0.056,0.364,2.0,0.0,"MVP-12,DPOY-18,AS,NBA2"
9.0,Josh Smith,26.0,ATL,PF,66.0,66.0,2329.0,0.458,11.7,0.901,0.304,0.184,0.058,0.354,0.099,0.48,0.693,0.394,0.313,0.369,0.257,0.622,0.964,0.078,83.0,0.367,0.3,1.0,0.0,DPOY-10
10.0,LeBron James,27.0,MIA,SF,62.0,62.0,2326.0,0.531,11.5,0.873,0.329,0.136,0.135,0.272,0.127,0.556,0.758,0.484,0.481,0.384,0.362,0.36,0.519,0.092,104.0,0.121,0.333,0.0,0.0,"MVP-1,DPOY-4,AS,NBA1,DEF1"
11.0,Kobe Bryant,33.0,LAL,SG,58.0,58.0,2232.0,0.43,15.0,0.785,0.132,0.164,0.197,0.293,0.215,0.464,0.688,0.434,0.403,0.422,0.303,0.409,0.644,0.023,28.0,0.108,0.355,1.0,0.0,"MVP-4,AS,NBA1,DEF2"
