Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Allen Iverson,27.0,PHI,SG,82.0,82.0,3485.0,0.414,13.0,0.844,0.28,0.077,0.151,0.335,0.156,0.44,0.537,0.38,0.341,0.417,0.277,0.385,0.786,0.005,10.0,0.125,0.237,1.0,1.0,"MVP-6,DPOY-6,AS,NBA2"
2.0,Kobe Bryant,24.0,LAL,SG,82.0,82.0,3401.0,0.451,13.9,0.832,0.215,0.106,0.189,0.322,0.168,0.465,0.642,0.426,0.361,0.421,0.383,0.364,0.613,0.063,116.0,0.096,0.355,6.0,0.0,"MVP-3,DPOY-8,AS,NBA1,DEF1"
3.0,Shawn Marion,24.0,PHO,SF,81.0,81.0,3373.0,0.452,13.5,0.752,0.207,0.139,0.205,0.2,0.248,0.473,0.651,0.397,0.405,0.41,0.387,0.589,1.0,0.07,98.0,0.47,0.427,2.0,0.0,"DPOY-13,AS"
4.0,Jalen Rose,30.0,CHI,SF,82.0,82.0,3351.0,0.406,15.3,0.773,0.136,0.111,0.205,0.322,0.227,0.416,0.514,0.4,0.401,0.389,0.37,0.417,0.872,0.004,4.0,0.304,0.376,2.0,0.0,
5.0,Kevin Garnett,26.0,MIN,PF,82.0,82.0,3321.0,0.502,11.3,0.952,0.217,0.203,0.25,0.282,0.048,0.513,0.707,0.399,0.495,0.462,0.282,0.591,0.7,0.07,101.0,0.042,0.333,2.0,0.0,"MVP-2,DPOY-3,AS,NBA1,DEF1"
6.0,Jamal Mashburn,30.0,NOH,SF,82.0,81.0,3321.0,0.422,14.2,0.807,0.146,0.125,0.281,0.256,0.193,0.43,0.558,0.444,0.438,0.342,0.389,0.374,0.891,0.013,20.0,0.193,0.407,0.0,0.0,"MVP-11,AS,NBA3"
7.0,Steve Francis,25.0,HOU,PG,81.0,81.0,3318.0,0.435,12.2,0.817,0.372,0.06,0.078,0.307,0.183,0.453,0.574,0.278,0.294,0.382,0.354,0.241,0.588,0.04,49.0,0.154,0.486,7.0,0.0,AS
8.0,Stephon Marbury,25.0,PHO,PG,81.0,81.0,3240.0,0.439,11.6,0.807,0.354,0.124,0.108,0.22,0.193,0.472,0.55,0.447,0.345,0.421,0.301,0.294,0.404,0.002,3.0,0.078,0.217,4.0,0.0,"AS,NBA3"
9.0,Antoine Walker,26.0,BOS,PF,78.0,78.0,3235.0,0.388,13.1,0.625,0.261,0.235,0.094,0.036,0.375,0.427,0.573,0.329,0.295,0.357,0.323,0.354,0.872,0.005,6.0,0.119,0.319,0.0,0.0,AS
10.0,Antawn Jamison,26.0,GSW,SF,82.0,82.0,3226.0,0.47,12.0,0.858,0.173,0.3,0.141,0.243,0.142,0.496,0.732,0.482,0.404,0.399,0.311,0.669,0.985,0.024,36.0,0.373,0.359,1.0,0.0,
11.0,Gary Payton,34.0,2TM,PG,80.0,80.0,3208.0,0.454,10.3,0.876,0.328,0.156,0.166,0.226,0.124,0.476,0.644,0.336,0.391,0.39,0.297,0.332,0.852,0.0,0.0,0.275,0.28,0.0,0.0,"DPOY-11,AS"
11.0,Gary Payton,34.0,SEA,PG,52.0,52.0,2123.0,0.448,11.1,0.885,0.296,0.163,0.163,0.262,0.115,0.467,0.67,0.315,0.364,0.396,0.298,0.302,0.853,0.0,0.0,0.246,0.286,0.0,0.0,
11.0,Gary Payton,34.0,MIL,PG,28.0,28.0,1085.0,0.466,9.6,0.857,0.395,0.141,0.171,0.15,0.143,0.495,0.604,0.388,0.444,0.366,0.294,0.393,0.85,0.0,0.0,0.324,0.273,0.0,0.0,
12.0,Tim Duncan,26.0,SAS,PF,81.0,81.0,3181.0,0.513,7.8,0.984,0.295,0.369,0.225,0.096,0.016,0.517,0.678,0.476,0.425,0.396,0.273,0.475,0.667,0.089,111.0,0.045,1.0,3.0,0.0,"MVP-1,DPOY-4,AS,NBA1,DEF1"
13.0,Ricky Davis,23.0,CLE,SG,79.0,76.0,3131.0,0.41,13.7,0.861,0.218,0.08,0.21,0.353,0.139,0.417,0.642,0.322,0.341,0.345,0.363,0.515,0.689,0.072,93.0,0.157,0.313,5.0,0.0,
14.0,Dirk Nowitzki,24.0,DAL,PF,80.0,80.0,3117.0,0.463,15.3,0.738,0.163,0.076,0.2,0.299,0.262,0.493,0.7,0.363,0.513,0.4,0.379,0.587,0.905,0.028,41.0,0.156,0.443,2.0,0.0,"MVP-7,AS,NBA2"
