Year,FGA_0_3,FGA_3_10,FGA_10_16,FGA_16_3P,FGA_3P,FG_0_3,FG_3_10,FG_10_16,FG_16_3P,FG_3P
2000,0.24502624671916012,0.16923097112860894,0.1497769028871391,0.24736220472440945,0.18864304461942258,0.6154803149606299,0.3513228346456693,0.3278503937007874,0.40422309711286086,0.27084776902887137
2001,0.26841586538461537,0.1518341346153846,0.15320432692307692,0.24910576923076924,0.1774326923076923,0.5956706730769231,0.31537740384615387,0.3618533653846154,0.36756490384615387,0.26309855769230767
2002,0.28462820512820514,0.13066923076923076,0.1405102564102564,0.24984102564102564,0.19436666666666666,0.5823897435897436,0.3569358974358975,0.3525564102564102,0.3771820512820513,0.2673923076923077
2003,0.2858791208791209,0.1362252747252747,0.13463736263736265,0.2541208791208791,0.18906868131868132,0.5783543956043956,0.3505467032967033,0.3568076923076923,0.3703186813186813,0.27079945054945054
2004,0.28837819025522043,0.13219025522041764,0.1331276102088167,0.252169373549884,0.1941415313225058,0.5641763341067285,0.3428677494199536,0.3399767981438515,0.3677656612529002,0.26612529002320184
2005,0.2898565121412804,0.12066225165562913,0.1192384105960265,0.25343046357615895,0.21681456953642383,0.5573068432671082,0.359075055187638,0.34985209713024285,0.37735099337748346,0.2702384105960265
2006,0.3044340527577938,0.1150431654676259,0.10832374100719425,0.2516834532374101,0.22057074340527577,0.57310551558753,0.3494460431654676,0.3426978417266187,0.37328537170263787,0.2778177458033573
2007,0.29812722646310436,0.11441221374045801,0.10783715012722647,0.2429618320610687,0.23673282442748092,0.5886590330788803,0.377470737913486,0.3554249363867684,0.37666157760814245,0.2768346055979644
2008,0.3024250559284116,0.10927740492170022,0.10443400447427294,0.24132662192393736,0.24253914988814318,0.56934451901566,0.36636241610738257,0.35341610738255036,0.3816398210290827,0.2715078299776286
2009,0.3050511111111111,0.11403333333333333,0.10161555555555554,0.23169333333333333,0.24759555555555557,0.5732466666666667,0.3657977777777778,0.35430666666666666,0.38128222222222224,0.2970333333333333
2010,0.3079673202614379,0.11710457516339869,0.10205010893246187,0.22620479302832244,0.24661873638344226,0.5887995642701526,0.3866078431372549,0.3792592592592593,0.3761655773420479,0.2734727668845316
2011,0.26683367983367984,0.15816216216216214,0.09914760914760914,0.22208108108108107,0.25383783783783787,0.6255717255717256,0.3516652806652807,0.3556735966735967,0.37682328482328487,0.2843035343035343
2012,0.2741144859813084,0.15851401869158877,0.10138785046728972,0.21139485981308412,0.25456542056074766,0.6143621495327103,0.34434579439252333,0.35893457943925233,0.35817757009345796,0.2744345794392523
2013,0.27397339246119734,0.14970731707317073,0.1001419068736142,0.19665853658536586,0.2794944567627495,0.6052017738359202,0.34788248337028826,0.35916629711751663,0.36700221729490023,0.29047671840354766
2014,0.26736521739130437,0.16010434782608696,0.09802173913043478,0.1770891304347826,0.29731521739130434,0.6165043478260869,0.3560717391304348,0.3733913043478261,0.36666739130434783,0.29662826086956523
2015,0.2738688212927757,0.1558403041825095,0.09349619771863119,0.16933079847908744,0.3074828897338403,0.6035874524714829,0.3499410646387833,0.36162167300380227,0.34884600760456275,0.29263878326996196
2016,0.2927743271221532,0.1484927536231884,0.09673291925465839,0.15849896480331263,0.3036542443064182,0.6028923395445135,0.3538674948240166,0.37057556935817804,0.3765175983436853,0.3027908902691511
2017,0.28963073852295407,0.14450299401197605,0.09125548902195608,0.1335808383233533,0.34069860279441117,0.6066686626746507,0.3837185628742515,0.3792055888223553,0.36246307385229537,0.312125748502994
2018,0.28049320388349513,0.15416310679611653,0.0976233009708738,0.11608349514563107,0.351473786407767,0.6315223300970874,0.36199223300970873,0.38926601941747574,0.3596330097087379,0.3200174757281553
2019,0.27594045534150613,0.15228021015761822,0.08960245183887916,0.08952364273204905,0.39261120840630476,0.6326567425569177,0.36964623467600705,0.3721243432574431,0.3687478108581436,0.3255814360770578
2020,0.27879125248508946,0.16002982107355865,0.0841868787276342,0.07342544731610338,0.40357852882703776,0.6475328031809146,0.37333598409542745,0.38200198807157054,0.36546123260437374,0.32408946322067594
2021,0.26102956521739135,0.18060695652173914,0.08638782608695653,0.07176869565217392,0.40019304347826085,0.6531252173913044,0.39131652173913045,0.3814069565217391,0.3616782608695652,0.3221895652173913
2022,0.24289365351629502,0.18670325900514578,0.08675128644939965,0.06817838765008576,0.41149056603773587,0.6549365351629503,0.3989674099485421,0.3777495711835335,0.35472555746140655,0.3239279588336192
2023,0.2438743068391867,0.19404436229205174,0.08763031423290203,0.05735489833641405,0.4142384473197782,0.6783752310536044,0.42399630314232906,0.40502402957486133,0.3852162661737523,0.33409611829944547
2024,0.2339783001808318,0.1957631103074141,0.08410849909584087,0.054623869801084995,0.43148462929475584,0.6726039783001808,0.42372332730560575,0.4081500904159132,0.3665967450271248,0.33097830018083185
