Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Andrew Wiggins,21.0,MIN,SF,82.0,82.0,3048.0,0.452,12.6,0.816,0.291,0.131,0.139,0.253,0.184,0.473,0.65,0.374,0.365,0.383,0.356,0.414,0.757,0.052,77.0,0.104,0.367,1.0,0.0,
2.0,Karl-Anthony Towns,21.0,MIN,C,82.0,82.0,3030.0,0.542,9.7,0.814,0.378,0.252,0.074,0.109,0.186,0.582,0.707,0.499,0.473,0.416,0.367,0.596,0.96,0.093,130.0,0.2,0.436,3.0,0.0,
3.0,James Harden,27.0,HOU,PG,81.0,81.0,2947.0,0.44,15.9,0.507,0.242,0.134,0.076,0.053,0.493,0.53,0.682,0.364,0.419,0.427,0.347,0.095,0.317,0.014,21.0,0.056,0.357,3.0,0.0,"MVP-2,AS,NBA1"
4.0,Giannis Antetokounmpo,22.0,MIL,SF,80.0,80.0,2845.0,0.521,8.7,0.857,0.496,0.149,0.064,0.146,0.143,0.563,0.709,0.394,0.338,0.342,0.272,0.42,0.714,0.164,194.0,0.111,0.2,4.0,0.0,"MVP-7,MIP-1,AS,NBA2,DEF2"
5.0,John Wall,26.0,WAS,PG,78.0,78.0,2836.0,0.451,11.9,0.81,0.38,0.082,0.109,0.238,0.19,0.48,0.593,0.364,0.376,0.389,0.327,0.14,0.629,0.031,44.0,0.096,0.269,3.0,0.0,"MVP-7,AS,NBA3"
6.0,Jimmy Butler,27.0,CHI,SF,76.0,75.0,2809.0,0.455,12.9,0.802,0.282,0.125,0.164,0.232,0.198,0.477,0.612,0.513,0.376,0.366,0.367,0.365,0.637,0.038,44.0,0.153,0.553,3.0,0.0,"AS,NBA3"
7.0,Harrison Barnes,24.0,DAL,PF,79.0,79.0,2803.0,0.468,13.1,0.827,0.183,0.186,0.194,0.265,0.173,0.492,0.679,0.483,0.452,0.398,0.351,0.434,0.949,0.045,48.0,0.284,0.317,0.0,0.0,
8.0,Russell Westbrook,28.0,OKC,PG,81.0,81.0,2802.0,0.425,13.8,0.7,0.293,0.067,0.171,0.167,0.3,0.459,0.576,0.305,0.434,0.345,0.343,0.136,0.35,0.031,49.0,0.075,0.409,1.0,0.0,"MVP-1,AS,NBA1"
9.0,CJ McCollum,25.0,POR,SG,80.0,80.0,2796.0,0.48,15.1,0.695,0.178,0.148,0.146,0.222,0.305,0.506,0.588,0.488,0.507,0.453,0.421,0.26,0.741,0.009,11.0,0.155,0.412,6.0,0.0,
