Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Kevin Durant,25.0,OKC,SF,81.0,81.0,3122.0,0.503,13.8,0.709,0.223,0.15,0.191,0.145,0.291,0.549,0.798,0.417,0.441,0.445,0.391,0.447,0.557,0.088,146.0,0.053,0.423,1.0,0.0,"MVP-1,AS,NBA1"
2.0,Monta Ellis,28.0,DAL,SG,82.0,82.0,3023.0,0.451,11.8,0.836,0.317,0.16,0.103,0.257,0.164,0.474,0.615,0.377,0.409,0.387,0.33,0.268,0.841,0.015,18.0,0.23,0.542,1.0,0.0,
3.0,DeMar DeRozan,24.0,TOR,SG,79.0,79.0,3017.0,0.429,14.2,0.851,0.153,0.154,0.182,0.362,0.149,0.451,0.712,0.392,0.395,0.395,0.305,0.465,0.844,0.028,38.0,0.433,0.385,0.0,0.0,AS
4.0,Carmelo Anthony,29.0,NYK,PF,77.0,77.0,2982.0,0.452,15.2,0.747,0.191,0.078,0.199,0.279,0.253,0.469,0.589,0.32,0.443,0.447,0.402,0.292,0.713,0.022,34.0,0.08,0.364,5.0,0.0,"MVP-15,AS"
5.0,John Wall,23.0,WAS,PG,82.0,82.0,2980.0,0.433,14.4,0.77,0.267,0.079,0.086,0.338,0.23,0.458,0.669,0.248,0.348,0.367,0.351,0.176,0.657,0.032,43.0,0.133,0.293,1.0,0.0,AS
6.0,Nicolas Batum,25.0,POR,SF,82.0,82.0,2956.0,0.465,16.9,0.509,0.219,0.055,0.077,0.159,0.491,0.566,0.76,0.378,0.444,0.423,0.361,0.542,0.903,0.061,43.0,0.251,0.366,1.0,0.0,
7.0,Damian Lillard,23.0,POR,PG,82.0,82.0,2937.0,0.424,15.1,0.575,0.289,0.1,0.055,0.13,0.425,0.447,0.512,0.29,0.389,0.447,0.394,0.269,0.596,0.021,22.0,0.094,0.442,1.0,0.0,"AS,NBA3"
8.0,LeBron James,29.0,MIA,PF,77.0,77.0,2902.0,0.567,11.4,0.774,0.399,0.123,0.084,0.168,0.226,0.622,0.796,0.554,0.404,0.366,0.379,0.395,0.534,0.101,134.0,0.144,0.568,0.0,0.0,"MVP-2,DPOY-6,AS,NBA1,DEF2"
9.0,Paul George,23.0,IND,SF,80.0,80.0,2898.0,0.424,15.8,0.633,0.208,0.084,0.15,0.191,0.367,0.458,0.597,0.36,0.402,0.392,0.364,0.362,0.775,0.055,69.0,0.192,0.49,5.0,0.0,"MVP-9,DPOY-7,AS,NBA3,DEF1"
