Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
18.0,Kobe Bryant,30.0,LAL,SG,82.0,82.0,2960.0,0.467,14.0,0.804,0.203,0.12,0.181,0.299,0.196,0.496,0.664,0.461,0.448,0.424,0.351,0.326,0.644,0.036,59.0,0.086,0.414,1.0,0.0,"MVP-2,DPOY-7,AS,NBA1,DEF1"
19.0,John Salmons,29.0,2TM,SF,79.0,74.0,2959.0,0.472,13.3,0.724,0.298,0.1,0.134,0.192,0.276,0.493,0.641,0.376,0.336,0.433,0.417,0.341,0.683,0.024,25.0,0.232,0.4,0.0,0.0,
19.0,John Salmons,29.0,SAC,SF,53.0,53.0,1980.0,0.472,12.2,0.753,0.312,0.116,0.132,0.194,0.247,0.489,0.634,0.372,0.357,0.417,0.418,0.318,0.623,0.026,18.0,0.245,0.444,0.0,0.0,
19.0,John Salmons,29.0,CHI,SF,26.0,21.0,979.0,0.473,14.3,0.662,0.269,0.066,0.138,0.189,0.338,0.502,0.66,0.391,0.292,0.47,0.415,0.397,0.776,0.02,7.0,0.212,0.32,0.0,0.0,
20.0,Vince Carter,32.0,NJN,SG,80.0,80.0,2946.0,0.437,15.0,0.709,0.242,0.072,0.113,0.282,0.291,0.459,0.563,0.433,0.408,0.396,0.385,0.284,0.775,0.035,46.0,0.176,0.478,5.0,0.0,
21.0,Rudy Gay,22.0,MEM,SF,79.0,78.0,2945.0,0.453,12.4,0.808,0.287,0.142,0.133,0.246,0.192,0.477,0.586,0.425,0.435,0.405,0.351,0.322,0.894,0.104,118.0,0.211,0.431,1.0,0.0,
22.0,Richard Jefferson,28.0,MIL,SF,82.0,82.0,2939.0,0.439,13.8,0.761,0.261,0.092,0.096,0.312,0.239,0.453,0.571,0.416,0.342,0.399,0.397,0.587,0.931,0.046,51.0,0.394,0.443,0.0,0.0,
23.0,Chris Bosh,24.0,TOR,C,77.0,77.0,2928.0,0.487,10.6,0.961,0.314,0.135,0.181,0.331,0.039,0.497,0.594,0.433,0.399,0.483,0.245,0.519,0.833,0.073,81.0,0.041,0.0,2.0,0.0,AS
24.0,Chris Duhon,26.0,NYK,PG,79.0,78.0,2906.0,0.421,15.0,0.523,0.33,0.072,0.029,0.091,0.477,0.449,0.48,0.367,0.25,0.468,0.391,0.113,0.583,0.003,1.0,0.148,0.438,4.0,0.0,
25.0,Brandon Roy,24.0,POR,SG,78.0,78.0,2903.0,0.48,11.5,0.833,0.333,0.113,0.14,0.247,0.167,0.501,0.601,0.483,0.424,0.417,0.377,0.256,0.819,0.024,29.0,0.318,0.429,5.0,0.0,"MVP-9,AS,NBA2"
26.0,Jason Kidd,35.0,DAL,PG,81.0,81.0,2886.0,0.416,18.3,0.477,0.165,0.05,0.055,0.207,0.523,0.427,0.48,0.387,0.324,0.422,0.406,0.349,0.901,0.0,0.0,0.245,0.329,2.0,0.0,
27.0,Kevin Durant,20.0,OKC,SF,74.0,74.0,2885.0,0.476,12.9,0.835,0.26,0.098,0.178,0.299,0.165,0.486,0.677,0.397,0.405,0.398,0.422,0.502,0.948,0.086,114.0,0.083,0.368,0.0,0.0,
28.0,Ray Allen,33.0,BOS,SG,79.0,79.0,2876.0,0.48,17.0,0.533,0.188,0.058,0.096,0.191,0.467,0.542,0.641,0.517,0.52,0.462,0.409,0.54,0.925,0.003,3.0,0.379,0.478,0.0,0.0,AS
29.0,Jeff Green,22.0,OKC,PF,78.0,78.0,2873.0,0.446,12.2,0.769,0.32,0.125,0.11,0.213,0.231,0.463,0.614,0.358,0.385,0.338,0.389,0.516,0.917,0.066,61.0,0.235,0.397,1.0,0.0,
30.0,Rashard Lewis,29.0,ORL,PF,79.0,79.0,2859.0,0.439,16.7,0.491,0.172,0.099,0.126,0.095,0.509,0.482,0.604,0.426,0.482,0.32,0.397,0.391,0.945,0.017,17.0,0.287,0.384,1.0,0.0,AS
