Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Antoine Walker,25.0,BOS,PF,81.0,81.0,3406.0,0.394,13.6,0.618,0.294,0.167,0.076,0.081,0.382,0.425,0.548,0.309,0.333,0.307,0.344,0.345,0.91,0.017,28.0,0.118,0.276,4.0,1.0,AS
2.0,Tim Duncan,25.0,SAS,PF,82.0,82.0,3329.0,0.508,7.6,0.993,0.311,0.337,0.256,0.089,0.007,0.511,0.714,0.45,0.405,0.336,0.1,0.464,1.0,0.071,102.0,0.1,1.0,0.0,0.0,"MVP-1,AS,NBA1,DEF1"
3.0,Latrell Sprewell,31.0,NYK,SF,81.0,81.0,3326.0,0.404,15.2,0.716,0.156,0.122,0.195,0.244,0.284,0.421,0.584,0.41,0.38,0.355,0.36,0.407,0.8,0.019,25.0,0.201,0.407,0.0,0.0,
4.0,Baron Davis,22.0,CHH,PG,82.0,82.0,3318.0,0.417,14.2,0.644,0.326,0.055,0.092,0.171,0.356,0.451,0.554,0.338,0.244,0.402,0.356,0.229,0.671,0.028,30.0,0.092,0.409,7.0,0.0,AS
5.0,Paul Pierce,24.0,BOS,SG,82.0,82.0,3302.0,0.442,14.9,0.675,0.26,0.071,0.118,0.225,0.325,0.461,0.6,0.289,0.354,0.411,0.404,0.543,0.767,0.033,50.0,0.11,0.281,6.0,1.0,"MVP-11,AS,NBA3"
6.0,Gary Payton,33.0,SEA,PG,82.0,82.0,3301.0,0.467,11.0,0.85,0.287,0.21,0.15,0.204,0.15,0.494,0.66,0.399,0.386,0.438,0.314,0.326,0.797,0.0,0.0,0.254,0.3,0.0,0.0,"MVP-6,AS,NBA2,DEF1"
7.0,Stephon Marbury,24.0,PHO,PG,82.0,80.0,3187.0,0.442,11.0,0.824,0.391,0.11,0.1,0.223,0.176,0.476,0.562,0.372,0.426,0.397,0.286,0.292,0.563,0.004,4.0,0.052,0.308,3.0,0.0,
8.0,Kevin Garnett,25.0,MIN,PF,81.0,81.0,3175.0,0.47,11.7,0.917,0.209,0.216,0.218,0.275,0.083,0.484,0.669,0.407,0.485,0.403,0.319,0.588,0.838,0.067,87.0,0.026,0.0,2.0,0.0,"MVP-12,DPOY-2,AS,NBA2,DEF1"
9.0,Eddie Jones,30.0,MIA,SG,81.0,81.0,3156.0,0.432,15.8,0.681,0.184,0.069,0.137,0.29,0.319,0.451,0.661,0.349,0.366,0.382,0.39,0.519,0.899,0.026,29.0,0.27,0.456,2.0,0.0,
