Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Damian Lillard,22.0,POR,PG,82.0,82.0,3167.0,0.429,16.0,0.609,0.262,0.064,0.061,0.224,0.391,0.469,0.531,0.378,0.449,0.427,0.368,0.236,0.535,0.023,22.0,0.046,0.348,3.0,0.0,ROY-1
2.0,Kevin Durant,24.0,OKC,SF,81.0,81.0,3119.0,0.51,13.3,0.767,0.22,0.166,0.195,0.186,0.233,0.539,0.737,0.471,0.475,0.432,0.416,0.449,0.799,0.083,115.0,0.06,0.4,0.0,0.0,"MVP-2,AS,NBA1"
3.0,Monta Ellis,27.0,MIL,SG,82.0,82.0,3076.0,0.416,13.0,0.772,0.286,0.132,0.119,0.235,0.228,0.454,0.624,0.323,0.386,0.355,0.287,0.372,0.713,0.018,23.0,0.213,0.343,3.0,0.0,
4.0,DeMar DeRozan,23.0,TOR,SG,82.0,82.0,3013.0,0.445,13.0,0.903,0.202,0.149,0.187,0.365,0.097,0.463,0.659,0.404,0.391,0.414,0.283,0.527,0.882,0.045,54.0,0.292,0.343,0.0,0.0,
5.0,Kobe Bryant,34.0,LAL,SG,78.0,78.0,3013.0,0.463,14.4,0.745,0.211,0.147,0.15,0.237,0.255,0.51,0.693,0.462,0.471,0.402,0.324,0.269,0.621,0.033,51.0,0.128,0.327,4.0,0.0,"MVP-5,AS,NBA1"
6.0,James Harden,23.0,HOU,SG,78.0,78.0,2985.0,0.438,13.7,0.636,0.308,0.149,0.049,0.13,0.364,0.477,0.65,0.296,0.318,0.333,0.368,0.241,0.475,0.035,46.0,0.033,0.25,3.0,1.0,"MVP-8,AS,NBA3"
7.0,Stephen Curry,24.0,GSW,PG,78.0,78.0,2983.0,0.451,18.5,0.568,0.1,0.103,0.099,0.265,0.432,0.449,0.583,0.343,0.457,0.438,0.453,0.251,0.614,0.002,3.0,0.147,0.523,6.0,0.0,MVP-11
8.0,Paul George,22.0,IND,SF,79.0,79.0,2972.0,0.419,15.5,0.601,0.241,0.085,0.116,0.159,0.399,0.457,0.629,0.25,0.372,0.369,0.362,0.44,0.835,0.065,71.0,0.252,0.415,4.0,0.0,"DPOY-8,MIP-1,AS,NBA3,DEF2"
9.0,Klay Thompson,22.0,GSW,SG,82.0,82.0,2936.0,0.422,17.8,0.563,0.145,0.063,0.107,0.248,0.437,0.437,0.617,0.25,0.349,0.418,0.401,0.751,0.948,0.013,15.0,0.291,0.458,3.0,0.0,
10.0,Jrue Holiday,22.0,PHI,PG,78.0,78.0,2926.0,0.431,12.6,0.808,0.261,0.161,0.161,0.224,0.192,0.446,0.592,0.322,0.423,0.381,0.368,0.252,0.473,0.014,16.0,0.15,0.432,3.0,0.0,AS
11.0,O.J. Mayo,25.0,DAL,SG,82.0,82.0,2913.0,0.449,15.8,0.66,0.191,0.104,0.119,0.246,0.34,0.471,0.587,0.458,0.418,0.413,0.407,0.364,0.824,0.019,19.0,0.181,0.413,0.0,0.0,
12.0,David Lee,29.0,GSW,PF,79.0,79.0,2907.0,0.519,7.8,0.997,0.387,0.291,0.116,0.203,0.003,0.521,0.686,0.412,0.415,0.421,0.0,0.683,,0.059,65.0,0.0,,2.0,0.0,"MVP-12,AS,NBA3"
13.0,Luol Deng,27.0,CHI,SF,75.0,75.0,2903.0,0.426,12.7,0.787,0.305,0.142,0.086,0.254,0.213,0.455,0.619,0.342,0.362,0.353,0.322,0.645,0.933,0.014,15.0,0.24,0.339,2.0,0.0,"DPOY-15,AS"
14.0,Brandon Jennings,23.0,MIL,PG,80.0,80.0,2897.0,0.399,15.1,0.63,0.228,0.121,0.123,0.158,0.37,0.412,0.496,0.285,0.416,0.386,0.375,0.253,0.595,0.005,6.0,0.158,0.384,3.0,0.0,
15.0,Evan Turner,24.0,PHI,SF,82.0,82.0,2892.0,0.419,13.1,0.849,0.186,0.145,0.262,0.255,0.151,0.428,0.546,0.346,0.428,0.39,0.365,0.371,0.931,0.013,14.0,0.509,0.383,1.0,0.0,
16.0,LeBron James,28.0,MIA,PF,76.0,76.0,2877.0,0.565,11.2,0.812,0.373,0.133,0.105,0.202,0.188,0.602,0.776,0.494,0.415,0.447,0.406,0.378,0.553,0.109,144.0,0.161,0.488,0.0,0.0,"MVP-1,DPOY-2,AS,NBA1,DEF1"
17.0,Russell Westbrook,24.0,OKC,PG,82.0,82.0,2861.0,0.438,11.8,0.805,0.337,0.128,0.141,0.199,0.195,0.466,0.609,0.289,0.398,0.387,0.323,0.191,0.588,0.029,43.0,0.09,0.333,2.0,0.0,"MVP-9,DPOY-17,AS,NBA2"
18.0,Kemba Walker,22.0,CHA,PG,82.0,82.0,2859.0,0.423,13.4,0.733,0.302,0.113,0.129,0.189,0.267,0.459,0.548,0.312,0.413,0.438,0.322,0.258,0.738,0.004,5.0,0.075,0.32,7.0,0.0,
19.0,Deron Williams,28.0,BRK,PG,78.0,78.0,2842.0,0.44,16.1,0.602,0.17,0.157,0.09,0.186,0.398,0.482,0.665,0.42,0.416,0.397,0.378,0.316,0.734,0.004,2.0,0.163,0.479,3.0,0.0,
20.0,Nicolas Batum,24.0,POR,SF,73.0,73.0,2807.0,0.423,17.8,0.467,0.206,0.031,0.048,0.181,0.533,0.481,0.651,0.308,0.35,0.351,0.372,0.535,0.921,0.058,42.0,0.261,0.414,1.0,0.0,
21.0,Marc Gasol,28.0,MEM,C,80.0,80.0,2796.0,0.494,10.0,0.984,0.221,0.311,0.247,0.205,0.016,0.501,0.651,0.437,0.451,0.494,0.071,0.654,1.0,0.038,33.0,0.0,,2.0,0.0,"MVP-12,DPOY-1,NBA2,DEF2"
