Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,LeBron James,20.0,CLE,SF,80.0,80.0,3388.0,0.472,12.1,0.817,0.311,0.137,0.121,0.248,0.183,0.499,0.725,0.37,0.324,0.373,0.351,0.445,0.5,0.076,126.0,0.185,0.491,0.0,0.0,"MVP-6,AS,NBA2"
2.0,Stephon Marbury,27.0,NYK,PG,82.0,82.0,3281.0,0.462,12.1,0.752,0.363,0.108,0.061,0.219,0.248,0.497,0.562,0.44,0.488,0.422,0.354,0.213,0.635,0.001,1.0,0.089,0.414,1.0,0.0,
3.0,Gilbert Arenas,23.0,WAS,PG,80.0,80.0,3274.0,0.431,15.2,0.631,0.233,0.11,0.109,0.179,0.369,0.469,0.645,0.251,0.38,0.429,0.365,0.257,0.668,0.018,27.0,0.137,0.26,3.0,1.0,"MVP-12,AS,NBA3"
4.0,Joe Johnson,23.0,PHO,SF,82.0,82.0,3240.0,0.461,15.3,0.686,0.178,0.128,0.12,0.26,0.314,0.454,0.557,0.51,0.451,0.356,0.478,0.278,0.949,0.014,15.0,0.524,0.515,10.0,1.0,
5.0,Tracy McGrady,25.0,HOU,SF,78.0,78.0,3182.0,0.431,15.5,0.738,0.225,0.066,0.081,0.365,0.262,0.468,0.572,0.364,0.385,0.441,0.326,0.358,0.514,0.042,62.0,0.051,0.318,6.0,0.0,"MVP-7,AS,NBA3"
6.0,Allen Iverson,29.0,PHI,PG,75.0,75.0,3174.0,0.424,12.2,0.814,0.313,0.095,0.154,0.252,0.186,0.451,0.548,0.434,0.386,0.376,0.308,0.169,0.567,0.002,3.0,0.098,0.424,1.0,0.0,"MVP-5,DPOY-11,AS,NBA1"
7.0,Shawn Marion,26.0,PHO,PF,81.0,81.0,3146.0,0.476,11.4,0.735,0.344,0.126,0.164,0.1,0.265,0.526,0.667,0.417,0.434,0.333,0.334,0.681,0.965,0.119,143.0,0.393,0.328,0.0,0.0,"MVP-14,DPOY-5,AS,NBA3"
8.0,Kevin Garnett,28.0,MIN,PF,82.0,82.0,3121.0,0.502,9.8,0.982,0.275,0.207,0.265,0.234,0.018,0.507,0.652,0.461,0.429,0.465,0.24,0.665,0.667,0.068,86.0,0.0,,1.0,0.0,"MVP-11,DPOY-9,AS,NBA2,DEF1"
9.0,Mike Bibby,26.0,SAC,PG,80.0,80.0,3084.0,0.443,16.1,0.712,0.184,0.085,0.051,0.392,0.288,0.477,0.677,0.435,0.375,0.405,0.36,0.464,0.84,0.0,0.0,0.159,0.397,0.0,0.0,
