Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Michael Finley,26.0,DAL,SF,82.0,82.0,3464.0,0.457,13.8,0.849,0.16,0.175,0.23,0.284,0.151,0.467,0.698,0.385,0.41,0.434,0.401,0.421,0.939,0.043,68.0,0.304,0.48,5.0,1.0,"MVP-13,AS"
2.0,Gary Payton,31.0,SEA,PG,82.0,82.0,3425.0,0.448,13.8,0.688,0.228,0.206,0.102,0.151,0.312,0.497,0.739,0.395,0.347,0.373,0.34,0.314,0.633,0.0,0.0,0.181,0.33,1.0,0.0,"MVP-6,DPOY-5,AS,NBA1,DEF1"
3.0,Latrell Sprewell,29.0,NYK,SF,82.0,82.0,3276.0,0.435,13.1,0.903,0.2,0.157,0.269,0.277,0.097,0.445,0.609,0.332,0.376,0.457,0.346,0.349,0.841,0.025,29.0,0.276,0.4,1.0,0.0,
4.0,Kevin Garnett,23.0,MIN,PF,81.0,81.0,3243.0,0.497,12.0,0.947,0.183,0.244,0.223,0.296,0.053,0.504,0.724,0.485,0.39,0.471,0.37,0.69,0.9,0.063,92.0,0.136,0.182,0.0,0.0,"MVP-2,DPOY-7,AS,NBA1,DEF1"
5.0,Shareef Abdur-Rahim,23.0,VAN,SF,82.0,82.0,3223.0,0.465,9.8,0.925,0.306,0.284,0.151,0.183,0.075,0.478,0.652,0.41,0.358,0.393,0.302,0.494,1.0,0.086,101.0,0.563,0.37,2.0,0.0,
6.0,Allan Houston,28.0,NYK,SG,82.0,82.0,3169.0,0.483,15.6,0.809,0.129,0.091,0.257,0.332,0.191,0.494,0.47,0.371,0.489,0.54,0.436,0.451,0.896,0.009,7.0,0.309,0.453,3.0,0.0,AS
7.0,Shaquille O'Neal,27.0,LAL,C,79.0,79.0,3163.0,0.574,5.8,0.999,0.402,0.499,0.096,0.002,0.001,0.575,0.776,0.448,0.394,0.5,0.0,0.628,,0.147,236.0,0.0,,0.0,0.0,"MVP-1,DPOY-2,AS,NBA1,DEF2"
8.0,Mike Bibby,21.0,VAN,PG,82.0,82.0,3155.0,0.445,15.2,0.794,0.176,0.115,0.104,0.4,0.206,0.466,0.547,0.37,0.477,0.456,0.363,0.288,0.948,0.002,2.0,0.132,0.5,1.0,0.0,
9.0,Jerry Stackhouse,25.0,DET,SG,82.0,82.0,3148.0,0.428,13.5,0.801,0.357,0.082,0.127,0.236,0.199,0.462,0.585,0.297,0.342,0.399,0.288,0.485,0.88,0.097,132.0,0.33,0.389,2.0,0.0,AS
