Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Bradley Beal,25.0,WAS,SG,82.0,82.0,3028.0,0.475,14.7,0.63,0.281,0.1,0.103,0.145,0.37,0.548,0.697,0.422,0.464,0.406,0.351,0.425,0.718,0.042,61.0,0.141,0.417,1.0,0.0,AS
2.0,James Harden,29.0,HOU,PG,78.0,78.0,2867.0,0.442,16.4,0.461,0.235,0.166,0.042,0.018,0.539,0.528,0.6,0.467,0.444,0.343,0.368,0.105,0.161,0.012,20.0,0.079,0.358,1.0,0.0,"MVP-2,AS,NBA1"
3.0,Kemba Walker,28.0,CHO,PG,82.0,82.0,2863.0,0.434,15.8,0.566,0.252,0.107,0.1,0.106,0.434,0.494,0.576,0.343,0.479,0.466,0.356,0.2,0.438,0.0,0.0,0.052,0.395,10.0,1.0,"AS,NBA3"
4.0,Tobias Harris,26.0,2TM,PF,82.0,82.0,2847.0,0.487,13.4,0.687,0.242,0.192,0.158,0.095,0.313,0.528,0.66,0.461,0.434,0.487,0.397,0.393,0.808,0.047,55.0,0.17,0.448,3.0,0.0,
4.0,Tobias Harris,26.0,LAC,PF,55.0,55.0,1903.0,0.496,13.4,0.698,0.235,0.198,0.163,0.103,0.302,0.523,0.657,0.456,0.439,0.477,0.434,0.34,0.813,0.036,30.0,0.159,0.488,2.0,0.0,
4.0,Tobias Harris,26.0,PHI,PF,27.0,27.0,944.0,0.469,13.4,0.662,0.256,0.18,0.148,0.078,0.338,0.542,0.667,0.472,0.424,0.516,0.326,0.51,0.795,0.07,25.0,0.193,0.385,1.0,0.0,
5.0,Paul George,28.0,OKC,SF,77.0,77.0,2841.0,0.438,16.6,0.531,0.211,0.097,0.108,0.115,0.469,0.484,0.629,0.363,0.391,0.409,0.386,0.311,0.671,0.035,52.0,0.132,0.42,8.0,2.0,"MVP-3,DPOY-3,AS,NBA1,DEF1"
6.0,Damian Lillard,28.0,POR,PG,80.0,80.0,2838.0,0.444,15.7,0.581,0.297,0.073,0.078,0.132,0.419,0.499,0.564,0.357,0.429,0.473,0.369,0.194,0.46,0.023,24.0,0.05,0.313,3.0,0.0,"MVP-6,AS,NBA2"
7.0,P.J. Tucker,33.0,HOU,PF,82.0,82.0,2802.0,0.396,18.9,0.26,0.141,0.096,0.015,0.008,0.74,0.449,0.527,0.34,0.5,0.25,0.377,0.705,1.0,0.006,3.0,0.703,0.393,1.0,0.0,
