Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,Mikal Bridges,25,PHO,SF,82,82,2854,0,8,88,3,0,10.4,9.5,39,17,64,5,85,18,437,29,29,"DPOY-2,DEF1"
2,Miles Bridges,23,CHO,PF,80,80,2837,0,0,21,69,10,2.2,5.8,76,40,90,19,161,18,754,38,62,
3,DeMar DeRozan,32,CHI,PF,76,76,2743,0,0,11,81,8,1.2,5.1,86,61,89,18,287,12,948,74,84,"MVP-10,AS,NBA2"
4,Jayson Tatum,23,BOS,SF,76,76,2731,0,1,67,32,0,12.1,13.8,98,71,66,32,186,10,833,41,81,"MVP-6,AS,NBA1"
5,Saddiq Bey,22,DET,SF,82,82,2704,0,7,59,34,0,-9.5,-4.7,46,14,44,18,117,5,561,26,52,
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,33,63,4,0,0,-6.0,-1.5,136,34,52,9,81,11,1479,18,36,
6,Tyrese Haliburton,21,SAC,SG,51,51,1757,18,78,4,0,0,-5.8,-0.6,78,17,29,6,43,4,882,13,26,
6,Tyrese Haliburton,21,IND,PG,26,26,938,62,35,4,0,0,-6.5,-3.2,58,17,23,3,38,7,597,5,10,
7,Russell Westbrook,33,LAL,PG,78,78,2678,89,11,1,0,0,-4.3,-3.6,182,66,79,22,176,14,1303,36,81,
8,Trae Young,23,ATL,PG,76,76,2652,100,0,0,0,0,2.9,3.4,218,54,47,9,150,28,1709,31,91,"AS,NBA3"
9,Tyrese Maxey,21,PHI,PG,75,74,2650,99,1,0,0,0,3.4,2.2,48,22,83,9,116,4,774,36,54,
10,Dorian Finney-Smith,28,DAL,PF,80,80,2644,0,0,33,65,2,4.9,3.8,41,11,80,10,36,5,364,7,24,
11,Scottie Barnes,20,TOR,PF,74,74,2617,0,4,41,49,6,1.5,-2.0,82,25,81,12,106,16,622,30,38,ROY-1
12,Harrison Barnes,29,SAC,PF,77,77,2587,0,0,50,50,1,-6.7,-3.6,46,50,41,15,186,18,451,50,48,
13,Pascal Siakam,27,TOR,PF,68,68,2578,0,0,9,58,33,4.5,6.6,91,49,95,27,180,6,891,49,61,NBA3
14,Julius Randle,27,NYK,PF,72,72,2544,0,0,1,92,7,-3.0,-9.5,111,74,83,37,165,5,976,42,66,
15,Tobias Harris,29,PHI,PF,73,73,2543,0,0,0,97,3,3.3,1.7,43,42,91,23,100,2,597,30,71,
16,Jalen Brunson,25,DAL,SG,79,61,2524,35,61,5,0,0,4.4,2.3,71,29,60,14,83,44,945,26,38,
17,Buddy Hield,29,2TM,SG,81,32,2499,0,35,62,3,0,-4.0,1.3,84,45,86,10,29,7,548,8,57,
17,Buddy Hield,29,SAC,SG,55,6,1574,0,31,66,3,0,-5.2,0.4,47,28,50,5,22,3,250,4,31,
17,Buddy Hield,29,IND,SG,26,26,925,0,41,57,2,0,-1.9,2.9,37,17,36,5,7,4,298,4,26,
18,Nikola JokiÄ,26,DEN,C,74,74,2476,0,0,0,0,100,8.4,16.4,173,76,101,21,188,10,1356,72,66,"MVP-1,AS,NBA1"
19,Karl-Anthony Towns,26,MIN,C,74,74,2476,0,0,0,0,100,4.8,6.3,86,37,109,67,218,8,674,68,92,"AS,NBA3"
20,Anthony Edwards,20,MIN,SG,72,72,2466,2,25,70,4,0,3.7,3.4,87,61,59,16,124,4,703,30,44,
21,Fred VanVleet,27,TOR,PG,65,65,2462,97,3,0,0,0,3.8,4.1,105,44,64,10,78,21,1022,17,48,AS
22,Terry Rozier,27,CHO,SG,73,73,2458,31,69,0,0,0,1.2,1.6,60,22,62,7,71,25,795,29,46,
