Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,Gilbert Arenas,24,WAS,PG,80,80,3384,100.0,0.0,0.0,0.0,0.0,2.6,4.9,138,73,113,48,326,32,1071,66,62,"AS,NBA3"
2,LeBron James,21,CLE,SF,79,79,3361,0.0,1.0,97.0,2.0,0.0,4.1,10.4,120,68,59,35,362,16,1190,107,65,"MVP-2,AS,NBA1"
3,Joe Johnson,24,ATL,SG,82,82,3340,20.0,76.0,4.0,0.0,0.0,-6.5,-6.9,120,83,83,27,114,9,1179,36,40,
4,Antawn Jamison,29,WAS,SF,82,80,3288,0.0,1.0,53.0,45.0,1.0,3.4,8.3,60,47,122,17,109,20,360,30,60,
5,Kobe Bryant,27,LAL,SG,80,80,3277,1.0,89.0,10.0,0.0,0.0,4.6,12.5,66,104,69,48,297,12,834,68,82,"MVP-4,AS,NBA1,DEF1"
6,Shawn Marion,27,PHO,PF,81,81,3263,0.0,1.0,32.0,65.0,2.0,6.8,4.2,49,39,133,10,130,19,348,29,55,"MVP-10,DPOY-7,AS,NBA3"
7,Lamar Odom,26,LAL,PF,80,80,3221,0.0,0.0,12.0,78.0,10.0,3.4,4.7,96,45,116,43,131,11,1003,35,58,
8,Ricky Davis,26,2TM,SG,78,78,3207,0.0,49.0,46.0,5.0,0.0,-1.0,1.6,104,63,93,21,121,19,860,26,71,
8,Ricky Davis,26,BOS,SG,42,42,1747,0.0,85.0,14.0,1.0,0.0,0.5,3.9,55,33,42,13,60,7,496,16,37,
8,Ricky Davis,26,MIN,SF,36,36,1460,0.0,5.0,85.0,9.0,0.0,-2.9,-1.2,49,30,51,8,61,12,364,10,34,
9,Mike Bibby,27,SAC,PG,82,82,3167,100.0,0.0,0.0,0.0,0.0,2.2,2.6,128,50,64,14,118,30,956,24,33,
10,Morris Peterson,28,TOR,SG,82,77,3140,0.0,82.0,18.0,0.0,0.0,-4.0,-2.4,44,37,94,25,125,48,419,28,21,
11,Pau Gasol,25,MEM,PF,80,80,3135,0.0,0.0,0.0,57.0,43.0,5.5,4.9,99,83,98,32,243,22,916,45,114,AS
12,Michael Redd,26,MIL,SG,80,80,3130,0.0,71.0,29.0,0.0,0.0,0.9,10.4,64,58,47,27,206,6,507,47,84,
13,Allen Iverson,30,PHI,PG,72,72,3103,100.0,0.0,0.0,0.0,0.0,-0.2,8.6,131,79,49,17,343,44,1169,68,103,"MVP-10,AS,NBA3"
14,Elton Brand,26,LAC,PF,79,79,3099,0.0,0.0,0.0,85.0,15.0,2.8,4.6,45,69,113,22,248,14,459,68,65,"MVP-7,DPOY-10,AS,NBA2"
15,Dirk Nowitzki,27,DAL,PF,81,81,3089,0.0,0.0,0.0,90.0,10.0,8.4,8.2,71,50,102,18,219,12,502,57,71,"MVP-3,AS,NBA1"
16,Andre Iguodala,22,PHI,SF,82,82,3086,0.0,48.0,51.0,1.0,0.0,0.4,10.5,76,44,110,9,151,26,554,19,36,DPOY-12
17,Paul Pierce,28,BOS,SF,79,79,3084,0.0,36.0,59.0,5.0,0.0,-1.0,2.8,118,90,105,32,332,26,846,71,88,AS
18,Richard Jefferson,25,NJN,SF,78,78,3059,0.0,2.0,90.0,8.0,0.0,4.0,11.3,73,53,87,30,259,24,666,56,64,
19,Ray Allen,30,SEA,SG,78,78,3022,3.0,94.0,4.0,0.0,0.0,-1.2,8.8,88,64,64,23,125,15,635,29,50,AS
