Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,Damian Lillard,22,POR,PG,82,82,3167,94.0,6.0,0.0,0.0,0.0,-1.8,9.1,159,54,85,14,131,12,1230,26,78,ROY-1
2,Kevin Durant,24,OKC,SF,81,81,3119,0.0,0.0,77.0,23.0,0.0,11.3,7.2,119,115,75,25,293,14,900,56,44,"MVP-2,AS,NBA1"
3,Monta Ellis,27,MIL,SG,82,82,3076,24.0,76.0,0.0,0.0,0.0,-1.1,3.7,168,62,82,12,156,25,1127,29,47,
4,DeMar DeRozan,23,TOR,SG,82,82,3013,0.0,80.0,20.0,0.0,0.0,-2.0,-1.9,44,73,83,11,195,6,502,38,80,
5,Kobe Bryant,34,LAL,SG,78,78,3013,0.0,67.0,32.0,1.0,0.0,2.3,2.8,148,88,68,17,230,13,1092,43,71,"MVP-5,AS,NBA1"
6,James Harden,23,HOU,SG,78,78,2985,0.0,94.0,5.0,0.0,0.0,2.8,-3.6,143,102,70,37,350,13,1098,67,106,"MVP-8,AS,NBA3"
7,Stephen Curry,24,GSW,PG,78,78,2983,100.0,0.0,0.0,0.0,0.0,1.7,2.7,149,57,90,6,97,21,1181,19,45,MVP-11
8,Paul George,22,IND,SF,79,79,2972,0.0,2.0,98.0,0.0,0.0,7.0,8.7,130,58,96,27,107,8,736,26,77,"DPOY-8,MIP-1,AS,NBA3,DEF2"
9,Klay Thompson,22,GSW,SG,82,82,2936,0.0,61.0,39.0,0.0,0.0,1.4,1.1,70,41,108,20,60,8,401,4,36,
