Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Unnamed: 19_level_0,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,PGA,And1,Blkd,Awards
40,Chris Webber,27,SAC,PF,70,70,2836,0,0,0,91,9,6.7,1.6,92,46,114,35,190,669,41,90,"MVP-4,AS,NBA1"
41,Jeff McInnis,26,LAC,PG,81,81,2831,92,8,0,0,0,-5.3,-6.8,73,25,52,6,51,993,10,30,
42,Terrell Brandon,30,MIN,PG,78,78,2821,100,0,0,0,0,2.2,2.1,92,40,60,7,53,1231,4,40,
43,Glenn Robinson,28,MIL,SF,76,74,2813,0,2,78,20,1,3.6,-1.9,76,96,88,21,97,575,23,72,AS
44,P.J. Brown,31,CHH,C,80,79,2811,0,0,0,23,77,4.7,7.6,43,29,116,22,89,278,17,36,DEF2
45,Kobe Bryant,22,LAL,SG,68,68,2783,0,65,34,0,0,6.4,8.8,67,82,78,42,221,735,51,75,"MVP-9,DPOY-11,AS,NBA2,DEF2"
46,Clarence Weatherspoon,30,CLE,PF,82,82,2774,0,0,0,93,7,-5.6,-2.6,30,42,84,19,123,217,21,91,
47,Brian Grant,28,MIA,C,82,79,2771,0,0,0,13,87,3.3,2.4,60,39,121,46,136,221,34,117,
48,Charles Oakley,37,TOR,PF,78,77,2767,0,0,5,93,3,4.8,7.3,101,16,133,10,36,590,7,20,
49,Darrell Armstrong,32,ORL,PG,75,75,2767,100,1,0,0,0,3.9,9.4,141,35,42,7,55,1149,9,41,
50,Ben Wallace,26,DET,C,80,80,2760,0,0,0,24,76,0.6,7.8,52,26,110,12,82,281,17,40,DPOY-5
51,Clifford Robinson,34,PHO,PF,82,82,2751,0,0,3,64,34,2.5,0.6,92,48,107,23,159,519,35,66,
52,Antonio Davis,32,TOR,C,78,77,2729,0,0,0,13,87,4.9,7.3,36,44,114,33,185,233,35,98,AS
53,Rashard Lewis,21,SEA,PF,78,78,2720,0,0,53,45,3,1.6,5.4,54,41,87,18,80,284,17,54,
54,Sam Cassell,31,MIL,PG,76,75,2709,67,33,0,0,0,3.2,-3.0,112,52,64,28,105,1301,19,45,
55,Nick Van Exel,29,DEN,PG,71,70,2688,100,0,0,0,0,-0.9,4.4,125,23,38,4,75,1315,21,39,
56,Bruce Bowen,29,MIA,SF,82,72,2685,0,6,91,3,0,2.7,0.3,44,20,82,4,55,305,10,34,"DPOY-8,DEF2"
57,Damon Stoudamire,27,POR,PG,82,82,2655,100,0,0,0,0,6.8,7.0,89,51,37,14,50,992,12,53,
58,George Lynch,30,PHI,SF,82,80,2649,0,1,83,16,0,4.2,-1.6,54,31,98,14,74,292,15,73,
59,Jermaine O'Neal,22,IND,C,81,80,2641,0,0,0,34,66,0.7,2.1,30,50,150,41,167,223,38,88,
60,Michael Dickerson,25,VAN,SG,70,69,2618,0,69,31,0,0,-5.8,0.9,61,54,78,31,100,512,16,81,
61,Tim Hardaway,34,MIA,PG,77,77,2613,100,0,0,0,0,4.4,5.5,117,51,60,12,34,1048,3,18,
62,Dikembe Mutombo,34,2TM,C,75,75,2591,0,0,0,0,100,1.1,5.9,35,36,99,38,113,170,26,47,"DPOY-1,AS,NBA2,DEF1"
62,Dikembe Mutombo,34,ATL,C,49,49,1716,0,0,0,0,100,-0.6,9.1,24,19,72,27,65,123,17,33,
62,Dikembe Mutombo,34,PHI,C,26,26,875,0,0,0,0,100,4.5,-0.3,11,17,27,11,48,47,9,14,
63,Mark Jackson,35,2TM,PG,83,82,2588,100,0,0,0,0,0.8,-2.4,126,30,48,13,27,1415,9,38,
63,Mark Jackson,35,TOR,PG,54,54,1802,100,0,0,0,0,2.6,0.1,86,19,24,9,23,1071,8,30,
63,Mark Jackson,35,NYK,PG,29,28,786,100,0,0,0,0,-3.3,-8.1,40,11,24,4,4,344,1,8,
64,Stephon Marbury,23,NJN,PG,67,67,2557,88,12,0,0,0,-5.4,0.7,106,46,40,30,174,1116,41,90,AS
65,Antonio McDyess,26,DEN,PF,70,70,2555,0,0,0,93,7,0.0,6.5,53,50,77,35,150,368,34,70,AS
66,Steve Smith,31,POR,SG,81,36,2542,6,93,2,0,0,5.2,1.9,49,37,62,35,98,474,19,30,6MOY-6
67,Ron Mercer,24,CHI,SG,61,61,2535,0,49,51,0,0,-11.1,-2.0,54,39,69,14,93,449,20,47,
68,Bo Outlaw,29,ORL,PF,80,69,2534,0,0,18,72,10,3.7,7.3,72,27,113,20,90,512,18,38,
69,Richard Hamilton,22,WAS,SF,78,42,2519,2,38,60,0,0,-7.1,0.4,82,61,65,36,107,480,26,91,
70,Bryant Stith,30,BOS,SG,78,74,2504,1,97,3,0,0,-3.3,-2.3,43,24,72,14,66,397,10,43,
71,Bryon Russell,30,UTA,SF,78,46,2473,0,36,64,0,0,5.8,2.1,65,23,100,16,85,342,13,44,
72,Raef LaFrentz,24,DEN,C,78,74,2457,0,0,0,18,82,-0.7,4.2,28,26,173,22,118,240,27,88,
73,Travis Best,28,IND,PG,77,21,2457,99,1,0,0,0,1.9,5.1,78,25,103,18,77,1053,15,41,6MOY-5
74,Howard Eisley,28,DAL,SG,82,40,2426,22,67,11,1,0,3.4,-3.1,68,14,80,7,33,652,7,23,
75,Vlade Divac,32,SAC,C,81,81,2420,0,0,0,0,100,5.8,-0.9,87,65,119,22,148,521,31,84,AS
76,John Stockton,38,UTA,PG,82,82,2397,100,0,0,0,0,12.2,18.5,149,35,65,14,58,1501,15,36,MVP-15
77,Shandon Anderson,27,HOU,SG,82,82,2396,0,22,76,2,0,0.1,-6.3,70,32,97,16,90,423,22,39,
78,Alvin Williams,26,TOR,SG,82,34,2394,43,54,3,0,0,3.9,3.3,57,22,66,11,41,903,8,38,
79,Aaron McKie,28,PHI,SG,76,33,2394,2,72,26,0,0,7.1,6.0,116,48,58,19,73,799,20,56,6MOY-1
80,Mike Miller,20,ORL,SF,82,62,2390,0,23,76,1,0,2.6,3.9,40,28,98,17,45,313,12,27,ROY-1
81,Horace Grant,35,LAL,PF,77,77,2390,0,0,0,93,7,7.3,8.7,25,13,94,3,58,266,12,28,
82,Steve Nash,26,DAL,PG,70,70,2387,95,5,0,0,0,7.0,6.2,137,32,46,16,49,1132,7,44,
83,David Robinson,35,SAS,C,80,80,2371,0,0,0,0,100,12.5,8.9,47,29,118,22,208,260,33,68,"MVP-10,DPOY-5,AS,NBA3"
