Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Unnamed: 19_level_0,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,PGA,And1,Blkd,Awards
1,LeBron James,20,CLE,SF,80,80,3388,0,0,95,4,0,2.1,8.8,143,56,60,24,255,1234,65,71,"MVP-6,AS,NBA2"
2,Stephon Marbury,27,NYK,PG,82,82,3281,97,3,0,0,0,-0.9,11.9,130,63,73,22,221,1478,50,88,
3,Gilbert Arenas,23,WAS,PG,80,80,3274,88,12,0,0,0,1.3,9.3,112,65,96,43,254,903,59,69,"MVP-12,AS,NBA3"
4,Joe Johnson,23,PHO,SF,82,82,3240,0,7,91,2,0,8.6,6.2,66,52,64,11,64,709,9,54,
5,Tracy McGrady,25,HOU,SF,78,78,3182,0,2,90,7,0,4.4,-1.7,121,59,82,10,224,1026,46,51,"MVP-7,AS,NBA3"
6,Allen Iverson,29,PHI,PG,75,75,3174,100,0,0,0,0,0.1,4.6,183,102,34,24,294,1336,56,101,"MVP-5,DPOY-11,AS,NBA1"
7,Shawn Marion,26,PHO,PF,81,81,3146,0,0,10,90,0,10.2,13.4,71,35,129,5,113,373,27,51,"MVP-14,DPOY-5,AS,NBA3"
8,Kevin Garnett,28,MIN,PF,82,82,3121,0,0,0,62,38,1.7,0.7,81,57,81,37,228,1039,51,60,"MVP-11,DPOY-9,AS,NBA2,DEF1"
9,Mike Bibby,26,SAC,PG,80,80,3084,98,2,0,0,0,2.8,1.6,122,60,76,15,145,1184,30,29,
10,Ray Allen,29,SEA,SG,78,78,3064,0,75,25,0,0,4.1,6.3,79,56,70,25,141,678,21,71,"MVP-9,AS,NBA2"
11,Tayshaun Prince,24,DET,SF,82,82,3039,0,0,97,3,0,7.5,12.2,69,41,93,13,127,543,29,54,"DPOY-7,DEF2"
12,Dirk Nowitzki,26,DAL,PF,78,78,3020,0,0,0,66,34,9.3,13.4,101,38,122,25,280,532,52,56,"MVP-3,AS,NBA1"
13,Chris Bosh,20,TOR,PF,81,81,3017,0,0,3,69,29,-0.3,5.4,61,71,135,24,235,373,45,76,
14,Elton Brand,25,LAC,PF,81,81,3001,0,0,2,94,4,2.4,13.0,34,63,127,36,225,441,70,81,
15,Steve Francis,27,ORL,PG,78,78,2978,71,28,0,0,0,-1.0,6.8,157,71,101,40,228,1196,54,56,
16,Dwyane Wade,23,MIA,SG,77,77,2974,11,88,1,0,0,6.8,-1.9,142,104,80,47,303,1197,72,73,"MVP-8,DPOY-21,AS,NBA2,DEF2"
17,Paul Pierce,27,BOS,SF,82,82,2960,0,1,90,8,1,2.9,7.9,108,64,132,34,227,782,45,65,AS
18,Antoine Walker,28,2TM,PF,77,77,2955,0,0,1,89,10,-9.5,-4.3,104,71,113,40,172,574,43,104,
18,Antoine Walker,28,ATL,PF,53,53,2128,0,0,0,86,13,-13.3,-5.8,82,46,69,30,133,419,32,76,
