Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,Andrew Wiggins,21,MIN,SF,82,82,3048,0,20,79,1,0,-0.4,3.0,67,81,107,19,258,13,444,54,99,
2,Karl-Anthony Towns,21,MIN,C,82,82,3030,0,0,0,5,95,-0.7,1.7,83,49,105,51,205,7,507,56,92,
3,James Harden,27,HOU,PG,81,81,2947,98,1,0,0,0,7.0,3.3,294,114,84,34,312,10,2179,29,85,"MVP-2,AS,NBA1"
4,Giannis Antetokounmpo,22,MIL,SF,80,80,2845,0,3,66,31,0,1.0,3.2,83,69,103,40,282,7,1057,62,74,"MVP-7,MIP-1,AS,NBA2,DEF2"
5,John Wall,26,WAS,PG,78,78,2836,95,6,0,0,0,3.9,8.0,194,87,67,22,213,24,1943,55,88,"MVP-7,AS,NBA3"
6,Jimmy Butler,27,CHI,SF,76,75,2809,0,15,82,3,0,3.2,10.9,82,48,52,18,301,9,961,54,59,"AS,NBA3"
7,Harrison Barnes,24,DAL,PF,79,79,2803,0,0,8,91,1,-3.0,0.7,37,44,67,13,123,6,325,30,50,
8,Russell Westbrook,28,OKC,PG,81,81,2802,91,9,0,0,0,4.0,12.5,297,93,53,29,350,6,1886,65,90,"MVP-1,AS,NBA1"
9,CJ McCollum,25,POR,SG,80,80,2796,30,70,1,0,0,0.9,4.1,83,58,114,16,120,11,694,27,76,
10,LeBron James,32,CLE,SF,74,74,2794,0,0,57,40,3,8.4,17.2,179,73,54,30,263,12,1641,78,61,"MVP-4,DPOY-5,AS,NBA1"
11,Trevor Ariza,31,HOU,SF,80,80,2773,0,2,78,21,0,6.3,0.4,40,16,66,5,52,10,427,10,22,
12,Rudy Gobert,24,UTA,C,81,81,2744,0,0,0,0,100,8.2,11.6,38,42,127,33,209,16,235,50,55,"DPOY-2,NBA2,DEF1"
13,Kemba Walker,26,CHO,PG,79,79,2739,100,0,0,0,0,3.7,10.7,85,75,63,3,145,26,1021,36,112,AS
14,Devin Booker,20,PHO,SG,78,78,2730,1,79,20,0,0,-4.8,3.5,125,70,105,31,198,18,630,55,92,
15,Anthony Davis,23,NOP,C,75,75,2708,0,0,0,36,64,1.2,9.7,54,73,86,34,284,11,380,73,55,"MVP-9,AS,NBA1,DEF2"
16,Damian Lillard,26,POR,PG,75,75,2694,97,3,0,0,0,1.1,4.5,127,50,95,13,210,31,1037,47,101,
17,Paul George,26,IND,SF,75,75,2689,0,0,86,14,0,2.8,9.2,113,63,79,25,143,11,586,35,54,AS
18,Bradley Beal,23,WAS,SG,77,77,2684,3,94,3,0,0,5.7,12.3,83,44,99,14,124,9,617,35,61,
19,Jeff Teague,28,IND,PG,82,82,2657,99,1,0,0,0,1.1,4.0,131,58,86,9,161,20,1454,26,92,
20,Gorgui Dieng,27,MIN,PF,82,82,2653,0,0,0,82,18,0.4,4.3,38,23,141,17,71,6,373,17,47,
21,Klay Thompson,26,GSW,SG,78,78,2649,0,75,25,0,0,14.5,8.2,72,31,74,12,93,1,365,17,43,AS
22,Stephen Curry,28,GSW,PG,79,79,2638,100,0,0,0,0,17.1,17.2,163,43,87,11,137,11,1208,37,56,"MVP-6,AS,NBA2"
23,DeMar DeRozan,27,TOR,SG,74,74,2620,0,71,28,1,0,2.8,-5.2,84,72,56,14,286,6,712,47,93,"MVP-11,AS,NBA3"
24,Nicolas Batum,28,CHO,SG,77,77,2617,0,57,42,1,0,1.6,3.5,126,41,42,10,111,4,1047,27,41,
25,Otto Porter Jr.,23,WAS,SF,80,80,2605,0,1,77,23,0,3.0,3.8,27,7,106,5,53,12,274,22,14,
26,DeAndre Jordan,28,LAC,C,81,81,2570,0,0,0,0,100,9.2,14.7,40,28,97,32,139,5,234,34,23,"AS,NBA3"
27,Isaiah Thomas,27,BOS,PG,76,76,2569,100,0,0,0,0,4.5,4.3,102,78,71,10,245,23,1087,42,114,"MVP-5,AS,NBA2"
28,Tobias Harris,24,DET,PF,82,48,2567,0,0,28,72,0,-0.7,2.1,33,43,77,13,106,4,332,27,47,
29,Marcus Morris,27,DET,SF,79,79,2565,0,1,95,5,0,-2.5,-3.0,53,21,89,4,77,8,351,15,22,
30,Marcin Gortat,32,WAS,C,82,82,2556,0,0,0,10,90,2.9,3.3,44,29,98,34,77,13,301,15,51,
31,Myles Turner,20,IND,C,81,81,2541,0,0,0,1,99,2.7,8.1,36,28,159,33,149,8,265,39,45,
32,Carmelo Anthony,32,NYK,SF,74,74,2538,0,0,82,18,0,-4.7,-2.3,69,42,88,26,156,5,496,31,37,AS
33,Marc Gasol,32,MEM,C,74,74,2531,0,0,0,0,100,1.8,2.9,67,57,87,25,137,4,805,35,23,AS
34,Kentavious Caldwell-Pope,23,DET,SG,76,75,2529,0,100,0,0,0,-3.7,-6.1,46,30,58,4,69,8,444,13,29,
35,Kyrie Irving,24,CLE,PG,72,72,2525,100,0,0,0,0,6.0,7.4,95,56,65,12,130,7,1016,39,76,AS
36,Gordon Hayward,26,UTA,SF,73,73,2516,1,50,50,0,0,7.0,6.9,66,43,53,20,172,8,611,45,43,AS
37,Hassan Whiteside,27,MIA,C,77,77,2513,0,0,0,0,100,1.9,1.9,32,50,108,33,169,12,128,51,63,DPOY-5
38,Wesley Matthews,30,DAL,SG,73,73,2495,0,40,60,0,0,-3.8,-1.5,51,37,68,8,68,34,521,8,24,
39,Dennis SchrÃ¶der,23,ATL,PG,79,78,2485,100,0,0,0,0,-2.1,-2.4,155,66,63,14,100,18,1164,25,113,
40,Kawhi Leonard,25,SAS,SF,74,74,2474,0,8,89,4,0,8.5,1.6,63,54,48,15,222,13,641,47,33,"MVP-3,DPOY-3,AS,NBA1,DEF1"
41,Draymond Green,26,GSW,PF,76,76,2471,0,0,35,60,5,15.9,11.2,138,17,108,17,84,11,1241,10,40,"DPOY-1,AS,NBA3,DEF1"
42,Ricky Rubio,26,MIN,PG,75,75,2469,94,6,0,0,0,-0.9,0.3,151,24,90,6,89,24,1505,13,32,
43,DeMarcus Cousins,26,2TM,C,72,72,2465,0,0,0,36,64,-1.3,3.9,98,91,103,56,285,10,800,79,105,AS
43,DeMarcus Cousins,26,SAC,C,55,55,1891,0,0,0,46,54,-1.5,4.7,78,73,65,41,229,6,644,59,89,
43,DeMarcus Cousins,26,NOP,C,17,17,574,0,0,0,3,98,-0.8,1.3,20,18,38,15,56,4,156,20,16,
44,Courtney Lee,31,NYK,SG,77,74,2459,1,72,27,0,0,-5.0,-2.9,45,17,71,0,38,2,418,9,22,
45,Goran DragiÄ,30,MIA,PG,73,73,2459,58,42,0,0,0,1.2,0.2,109,64,88,16,136,12,1031,26,69,
46,Serge Ibaka,27,2TM,PF,79,79,2422,0,0,0,87,13,-3.0,1.2,38,36,126,17,52,3,179,16,30,
46,Serge Ibaka,27,ORL,PF,56,56,1710,0,0,0,95,5,-5.5,2.5,24,24,88,6,40,2,141,14,24,
46,Serge Ibaka,27,TOR,PF,23,23,712,0,0,0,68,32,3.0,-1.9,14,12,38,11,12,1,38,2,6,
47,Elfrid Payton,22,ORL,PG,82,58,2412,76,24,1,0,0,-3.1,10.0,95,51,72,7,95,10,1206,29,99,
48,Andre Drummond,23,DET,C,81,81,2409,0,0,0,0,100,-6.1,-11.6,48,47,107,31,158,6,209,39,58,
49,Marcus Smart,22,BOS,SG,79,24,2399,6,66,28,0,0,3.3,0.6,91,31,84,19,84,29,872,19,50,
50,Jordan Clarkson,24,LAL,SG,82,19,2397,11,80,9,0,0,-8.8,-4.2,83,45,48,10,80,8,477,23,58,
51,Steven Adams,23,OKC,C,80,80,2389,0,0,0,0,100,3.5,7.7,37,57,75,32,118,7,217,28,43,
52,Andre Roberson,25,OKC,SF,79,79,2376,0,9,88,3,0,3.6,7.8,23,17,99,5,41,13,193,7,36,"DPOY-5,DEF2"
53,Solomon Hill,25,NOP,SF,80,71,2374,0,2,87,12,0,0.8,6.8,49,17,90,8,56,6,325,8,25,
