Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,LeBron James,33,CLE,PF,82,82,3026,0,0,10,79,12,1.4,1.9,217,77,44,28,252,4,1836,85,68,"MVP-2,AS,NBA1"
2,Khris Middleton,26,MIL,SF,82,82,2982,0,3,74,23,0,1.2,5.3,106,47,114,17,134,2,758,30,55,
3,Andrew Wiggins,22,MIN,SF,82,82,2979,0,16,81,3,0,3.5,4.1,50,50,90,18,146,8,381,32,63,
4,Bradley Beal,24,WAS,SG,82,82,2977,41,59,0,0,0,2.8,8.1,115,74,89,6,139,14,877,43,62,AS
5,Jrue Holiday,27,NOP,SG,81,81,2927,1,40,59,0,0,5.2,12.8,133,51,93,7,89,10,1139,31,56,"DPOY-7,DEF1"
6,CJ McCollum,26,POR,SG,81,81,2923,9,83,8,0,0,2.1,-3.0,72,57,78,6,104,7,649,24,100,
7,Karl-Anthony Towns,22,MIN,C,82,82,2918,0,0,0,0,100,6.2,13.8,53,33,127,46,189,22,455,49,64,"AS,NBA3"
8,Russell Westbrook,29,OKC,PG,80,80,2914,87,13,0,0,0,6.3,12.1,243,99,56,16,257,6,1947,71,84,"MVP-5,AS,NBA2"
9,Paul George,27,OKC,SF,79,79,2891,0,19,81,0,0,3.3,0.0,118,54,83,28,170,19,626,42,64,"DPOY-4,AS,NBA3"
10,Giannis Antetokounmpo,23,MIL,PF,75,75,2756,0,0,0,93,7,2.8,9.4,79,67,83,39,316,3,890,78,85,"MVP-6,AS,NBA2"
11,Kemba Walker,27,CHO,PG,80,80,2736,100,0,0,0,0,3.6,11.1,122,41,60,1,166,25,1035,40,90,AS
12,Ben Simmons,21,PHI,PG,81,81,2732,74,26,0,0,0,7.0,7.3,167,50,74,27,121,9,1621,26,49,ROY-1
13,Anthony Davis,24,NOP,PF,75,75,2727,0,0,0,49,51,5.2,11.0,50,65,98,19,246,7,423,67,46,"MVP-3,DPOY-3,AS,NBA1,DEF1"
14,Taj Gibson,32,MIN,PF,82,82,2726,0,0,18,82,0,4.9,7.7,23,33,119,13,87,7,236,25,58,
15,DeMar DeRozan,28,TOR,SG,80,80,2711,0,59,40,1,0,7.5,-1.5,82,60,50,13,236,4,1034,53,77,"MVP-8,AS,NBA2"
16,Josh Richardson,24,MIA,SF,81,81,2689,0,19,78,3,0,1.1,0.5,65,38,93,10,54,18,549,20,38,
17,Will Barton,27,DEN,SG,81,40,2683,1,45,54,1,0,1.3,0.2,63,43,72,11,96,9,782,26,70,6MOY-4
18,Damian Lillard,27,POR,PG,73,73,2670,78,22,0,0,0,5.8,9.5,134,53,50,4,189,34,1109,33,89,"MVP-4,AS,NBA1"
19,Tobias Harris,25,2TM,PF,80,80,2668,0,0,14,86,0,-2.4,-3.6,47,24,87,16,109,1,472,29,67,
19,Tobias Harris,25,DET,PF,48,48,1563,0,0,19,81,0,-1.8,-2.7,17,11,42,12,69,1,240,19,34,
19,Tobias Harris,25,LAC,PF,32,32,1105,0,0,7,93,0,-3.1,-4.7,30,13,45,4,40,0,232,10,33,
20,Donovan Mitchell,21,UTA,SG,79,71,2638,34,66,0,0,0,6.9,6.5,101,74,95,12,127,20,711,35,80,ROY-2
21,Harrison Barnes,25,DAL,PF,77,77,2634,0,0,39,61,0,-6.6,-9.3,52,43,42,10,125,1,391,24,50,
22,Andre Drummond,24,DET,C,78,78,2625,0,0,0,0,100,-1.2,-3.1,83,53,88,32,184,8,525,32,59,"DPOY-15,AS"
23,Thaddeus Young,29,IND,PF,81,81,2607,0,0,0,98,2,4.5,8.4,56,27,78,9,44,8,367,10,64,
24,Lou Williams,31,LAC,SG,79,19,2589,44,48,9,0,0,1.0,2.2,171,39,38,10,179,7,929,28,81,6MOY-1
25,E'Twaun Moore,28,NOP,SG,82,80,2586,20,74,7,0,0,3.1,3.6,41,35,71,4,27,6,428,10,35,
26,Joe Ingles,30,UTA,SF,82,81,2578,0,0,54,46,0,5.1,0.9,111,22,75,9,31,7,886,9,23,
27,Jamal Murray,20,DEN,PG,81,80,2565,90,10,0,0,0,3.6,6.6,90,52,78,7,104,10,652,32,56,
28,Victor Oladipo,25,IND,SG,75,75,2552,1,92,7,0,0,6.4,13.7,100,73,71,15,158,10,751,31,88,"MVP-13,DPOY-15,MIP-1,AS,NBA3,DEF1"
29,James Harden,28,HOU,SG,72,72,2551,19,75,6,0,0,10.5,5.3,188,87,66,29,285,10,1499,56,98,"MVP-1,AS,NBA1"
30,Robert Covington,27,PHI,SF,80,80,2532,0,10,74,16,0,10.1,14.8,71,27,147,10,58,9,367,15,42,"DPOY-8,DEF1"
31,Kyle Lowry,31,TOR,PG,78,78,2510,100,0,0,0,0,7.7,-0.8,127,33,70,8,103,20,1209,25,43,AS
32,LaMarcus Aldridge,32,SAS,C,75,75,2509,0,0,0,38,62,5.5,6.7,34,35,96,18,185,3,373,53,44,"MVP-9,AS,NBA2"
33,Klay Thompson,27,GSW,SG,73,73,2506,8,87,6,0,0,7.7,4.0,69,31,59,12,40,2,411,6,31,"DPOY-11,AS"
34,Carmelo Anthony,33,OKC,PF,78,78,2501,0,0,0,90,10,5.0,4.8,32,21,89,20,81,8,262,13,54,
35,Steven Adams,24,OKC,C,76,76,2487,0,0,0,0,100,5.8,6.8,26,34,76,41,112,4,213,32,47,DPOY-12
36,Taurean Prince,23,ATL,SF,82,82,2464,0,1,86,13,0,-6.9,-2.7,101,60,77,14,80,13,504,20,63,
37,Bojan BogdanoviÄ,28,IND,SF,80,80,2464,0,0,87,13,0,2.1,1.4,40,36,57,7,85,10,278,19,62,
38,Dwight Howard,32,CHO,C,81,81,2463,0,0,0,1,99,1.4,3.3,34,48,103,57,253,2,250,63,79,
39,Kentavious Caldwell-Pope,24,LAL,SG,74,74,2458,11,75,14,0,0,-1.2,0.9,54,28,62,2,72,17,380,16,20,
40,Jayson Tatum,19,BOS,SF,80,80,2443,0,9,70,21,0,7.0,8.5,40,34,84,19,118,4,317,20,60,ROY-3
41,Nikola JokiÄ,22,DEN,C,75,73,2443,0,0,0,0,100,5.2,10.2,97,53,80,31,134,9,1065,43,44,
42,Otto Porter Jr.,24,WAS,SF,77,77,2432,0,0,66,34,0,5.4,11.8,39,18,72,8,57,3,365,15,19,
43,DeAndre Jordan,29,LAC,C,77,77,2424,0,0,0,0,100,-2.4,-6.9,70,26,90,23,113,2,270,29,32,
44,Marc Gasol,33,MEM,C,73,73,2408,0,0,0,0,100,-6.6,-0.2,78,51,84,26,125,3,739,29,45,
45,Kyle Kuzma,22,LAL,PF,77,37,2401,0,0,20,79,1,-2.2,-1.8,50,40,80,19,92,6,331,19,54,"ROY-4,6MOY-9"
46,Goran DragiÄ,31,MIA,PG,75,75,2378,51,49,0,0,0,0.2,-1.8,87,41,63,19,103,12,845,25,52,AS
47,Dillon Brooks,22,MEM,SF,82,74,2350,0,18,72,10,0,-5.1,3.5,64,22,90,10,83,18,313,20,48,
48,Wilson Chandler,30,DEN,SF,74,71,2346,0,0,69,31,0,1.6,0.9,38,30,68,11,54,4,403,14,24,
49,Kevin Durant,29,GSW,SF,68,68,2325,0,0,55,45,1,7.0,1.9,113,49,77,17,168,3,863,44,38,"MVP-7,DPOY-9,AS,NBA1"
50,Eric Bledsoe,28,2TM,PG,74,74,2322,100,0,0,0,0,2.5,8.1,132,49,62,18,122,15,840,39,45,
50,Eric Bledsoe,28,PHO,PG,3,3,83,88,12,0,0,0,-39.8,-30.9,3,4,1,3,7,1,19,4,1,
50,Eric Bledsoe,28,MIL,PG,71,71,2239,100,0,0,0,0,4.1,9.6,129,45,61,15,115,14,821,35,44,
51,Jeff Teague,29,MIN,PG,70,70,2311,97,3,0,0,0,2.8,0.6,118,41,84,7,83,11,1101,18,47,
52,Dario Å ariÄ,23,PHI,PF,78,73,2310,0,0,1,91,8,6.1,3.2,72,33,73,20,91,3,474,21,54,
53,Courtney Lee,32,NYK,SG,76,69,2310,0,45,54,2,0,-5.5,-3.7,54,17,45,1,41,3,411,3,29,
54,Spencer Dinwiddie,24,BRK,PG,80,58,2306,83,17,0,0,0,-2.1,4.3,77,21,71,15,116,24,1274,22,52,
55,Gary Harris,23,DEN,SG,67,65,2304,9,88,3,0,0,3.4,5.1,59,33,41,13,74,11,469,18,41,
56,Draymond Green,27,GSW,PF,70,70,2287,0,0,2,84,14,6.8,1.3,154,26,93,15,81,6,1167,16,33,"DPOY-6,AS,DEF2"
57,Yogi Ferrell,24,DAL,SG,82,21,2282,22,63,15,0,0,0.1,8.6,51,13,65,6,42,16,492,10,33,
58,P.J. Tucker,32,HOU,PF,82,34,2281,0,5,39,55,2,11.1,5.9,31,9,102,16,19,9,190,4,19,
59,Al Horford,31,BOS,C,72,72,2277,0,0,0,43,57,7.2,8.1,70,23,70,17,47,3,824,8,26,"DPOY-5,AS,DEF2"
60,Trevor Ariza,32,HOU,SF,67,67,2269,0,14,81,5,0,8.3,-0.7,22,17,34,7,36,9,269,13,21,
61,Justin Holiday,28,CHI,SG,72,72,2265,2,93,5,1,0,-4.6,7.1,50,23,72,1,58,8,351,16,30,
62,Ricky Rubio,27,UTA,PG,77,77,2254,100,0,0,0,0,4.8,0.0,143,38,82,7,72,31,976,11,43,
63,J.R. Smith,32,CLE,SG,80,61,2244,11,79,10,0,0,-2.3,-7.6,54,18,71,4,16,10,345,5,7,
64,Kelly Oubre Jr.,22,WAS,SF,81,11,2231,0,6,87,7,0,-2.0,-6.4,37,28,93,11,104,16,229,23,56,
65,Cory Joseph,26,IND,PG,82,17,2210,62,38,0,0,0,0.0,-3.5,50,18,68,4,29,18,609,6,27,
66,Allen Crabbe,25,BRK,SG,75,68,2197,13,74,13,0,0,-2.9,2.5,37,17,86,11,47,7,277,11,26,
67,Julius Randle,23,LAL,C,82,49,2190,0,0,0,51,49,-1.3,0.5,62,67,97,57,213,5,519,57,104,
68,DeMarre Carroll,31,BRK,PF,73,73,2180,0,0,13,76,11,-2.0,4.2,34,34,72,13,94,8,362,26,56,
69,Bogdan BogdanoviÄ,25,SAC,SG,78,52,2175,0,35,61,4,0,-8.9,-2.8,81,26,81,7,36,7,598,12,33,
70,Jimmy Butler,28,MIN,SG,59,59,2164,0,79,19,1,0,8.8,13.7,61,20,39,10,179,4,649,38,43,"MVP-10,DPOY-12,AS,NBA3,DEF2"
71,Eric Gordon,29,HOU,SG,69,30,2154,58,42,0,0,0,13.1,9.9,53,45,52,9,114,4,383,29,49,6MOY-2
72,Derrick Favors,26,UTA,C,77,77,2153,0,0,0,43,57,3.8,-2.0,22,23,93,16,109,8,254,29,41,
73,Jaylen Brown,21,BOS,SG,70,70,2152,2,51,45,3,0,7.4,8.2,47,44,58,15,121,12,268,30,52,DPOY-10
74,T.J. Warren,24,PHO,SF,65,65,2142,0,0,87,13,0,-9.8,-0.3,31,18,63,16,126,6,207,37,53,
75,Wesley Matthews,31,DAL,SF,63,63,2131,0,33,67,0,0,-8.1,-9.9,52,21,62,3,43,22,429,9,25,
76,JJ Redick,33,PHI,SG,70,70,2116,8,85,8,0,0,7.4,5.8,58,22,58,9,61,5,497,13,30,
77,Patty Mills,29,SAS,PG,82,36,2107,100,0,0,0,0,2.5,-0.9,68,24,44,6,26,33,531,6,14,
78,Denzel Valentine,24,CHI,SG,77,37,2095,1,29,71,0,0,-7.5,0.3,54,26,80,7,12,1,581,1,27,
79,Serge Ibaka,28,TOR,PF,76,76,2093,0,0,0,87,13,7.1,-1.9,22,25,96,22,58,1,152,15,29,
80,Jae Crowder,27,2TM,SF,80,47,2090,0,11,80,9,0,0.4,-3.4,39,15,86,15,63,5,243,6,34,
80,Jae Crowder,27,CLE,SF,53,47,1346,0,11,85,4,0,-4.8,-8.8,23,8,58,9,39,4,143,4,20,
80,Jae Crowder,27,UTA,SF,27,0,744,0,12,71,17,0,9.9,6.4,16,7,28,6,24,1,100,2,14,
81,Jusuf NurkiÄ,23,POR,C,79,79,2088,0,0,0,0,100,3.9,2.2,72,47,110,43,123,3,338,38,66,DPOY-15
82,Dennis SchrÃ¶der,24,ATL,PG,67,67,2078,95,5,0,0,0,-6.8,-1.7,112,42,57,13,108,18,1007,25,113,
83,Marcin Gortat,33,WAS,C,82,82,2075,0,0,0,1,99,2.2,3.0,35,12,80,30,74,6,361,16,53,
84,Al-Farouq Aminu,27,POR,PF,69,67,2072,0,0,3,96,1,5.2,4.9,34,21,62,8,33,8,197,5,16,
85,Dragan Bender,20,PHO,PF,82,37,2069,0,0,0,66,34,-11.3,-3.5,64,21,109,8,21,9,298,5,24,
86,Terry Rozier,23,BOS,PG,80,16,2068,78,22,0,0,0,2.5,-2.5,36,21,48,9,57,13,565,10,37,6MOY-10
87,Austin Rivers,25,LAC,SG,61,59,2057,7,73,20,0,0,-1.8,-4.2,53,38,66,6,72,9,586,17,57,
88,Tony Snell,26,MIL,SG,75,59,2053,0,66,31,3,0,-1.1,-2.1,22,6,58,4,20,2,233,2,18,
89,Tyler Johnson,25,MIA,PG,72,39,2052,98,2,0,0,0,2.1,2.4,50,16,88,7,51,13,410,14,39,
90,Dennis Smith Jr.,20,DAL,PG,69,69,2049,76,22,2,0,0,-8.0,-9.4,109,61,68,10,83,2,890,15,100,ROY-5
91,Willie Cauley-Stein,24,SAC,C,73,57,2044,0,0,0,17,84,-8.1,-0.8,42,32,101,23,125,7,386,26,68,
92,Ish Smith,29,DET,PG,82,35,2043,100,0,0,0,0,0.8,2.0,56,35,76,7,46,10,909,15,46,
93,Wayne Ellington,30,MIA,SG,77,2,2041,22,49,29,0,0,3.3,4.6,26,14,56,2,21,2,188,7,14,6MOY-5
94,Evan Turner,29,POR,SF,79,40,2034,0,4,93,4,0,-0.8,-7.5,51,33,76,4,46,11,412,10,15,
95,Clint Capela,23,HOU,C,74,74,2034,0,0,0,1,99,9.8,2.3,30,27,75,22,132,4,173,37,65,DPOY-14
96,Jonathon Simmons,28,ORL,SG,69,50,2029,4,76,20,1,0,-7.2,-4.5,59,59,69,12,121,14,428,33,54,
