Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Unnamed: 19_level_0,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,PGA,And1,Blkd,Awards
1,Antoine Walker,25,BOS,PF,81,81,3406,0,0,7,86,7,2.9,4.7,114,74,79,42,140,902,30,125,AS
2,Tim Duncan,25,SAS,PF,82,82,3329,0,0,0,61,39,8.7,9.4,119,82,96,35,304,684,70,113,"MVP-1,AS,NBA1,DEF1"
3,Latrell Sprewell,31,NYK,SF,81,81,3326,0,0,95,5,0,-3.7,3.2,112,66,62,26,135,711,32,73,
4,Baron Davis,22,CHH,PG,82,82,3318,89,11,0,0,0,2.1,7.0,138,60,110,26,144,1478,41,63,AS
5,Paul Pierce,24,BOS,SG,82,82,3302,0,74,26,0,0,4.4,12.4,104,86,109,33,259,609,56,97,"MVP-11,AS,NBA3"
6,Gary Payton,33,SEA,PG,82,82,3301,84,16,0,0,0,3.3,-0.4,106,64,65,19,119,1666,34,70,"MVP-6,AS,NBA2,DEF1"
7,Stephon Marbury,24,PHO,PG,82,80,3187,100,0,0,0,0,-1.8,-5.3,172,62,53,34,193,1439,42,92,
8,Kevin Garnett,25,MIN,PF,81,81,3175,0,0,37,54,9,5.8,10.1,97,56,71,33,173,904,33,57,"MVP-12,DPOY-2,AS,NBA2,DEF1"
9,Eddie Jones,30,MIA,SG,81,81,3156,0,56,44,0,0,0.9,13.1,80,40,111,14,118,551,24,36,
10,Jalen Rose,29,2TM,SF,83,83,3153,1,21,75,3,0,-2.4,2.1,109,43,101,35,121,770,29,61,
10,Jalen Rose,29,IND,SF,53,53,1937,1,28,70,1,0,1.0,1.9,54,20,64,22,66,431,18,44,
10,Jalen Rose,29,CHI,SF,30,30,1216,0,12,83,5,0,-7.9,2.4,55,23,37,13,55,339,11,17,
11,Anthony Mason,35,MIL,PF,82,82,3143,0,0,2,74,24,0.0,0.9,51,31,91,31,93,781,25,63,
12,Wally Szczerbiak,24,MIN,SF,82,82,3117,0,44,52,4,0,4.9,5.2,60,53,71,35,94,551,25,65,AS
13,Cuttino Mobley,26,HOU,SG,74,74,3116,0,79,21,0,0,-3.4,10.0,99,58,83,14,101,425,23,47,
14,Shawn Marion,23,PHO,SF,81,81,3109,0,1,83,17,0,-0.1,3.5,67,52,115,12,92,352,20,63,
15,Shane Battier,23,MEM,SF,78,78,3097,0,43,55,2,0,-5.2,14.1,73,48,120,24,102,467,18,73,
16,Kobe Bryant,23,LAL,SG,80,80,3063,0,96,4,0,0,7.0,-2.0,109,65,60,32,205,1036,48,88,"MVP-5,DPOY-3,AS,NBA1,DEF2"
17,Jason Kidd,28,NJN,PG,82,82,3056,100,0,0,0,0,5.6,5.7,229,39,49,12,75,1743,15,29,"MVP-2,AS,NBA1,DEF1"
18,Brent Barry,30,SEA,SG,81,81,3040,0,90,9,0,0,3.4,-0.1,103,39,81,15,85,912,18,32,
19,Karl Malone,38,UTA,PF,80,80,3040,0,0,0,72,28,1.1,-0.6,179,33,94,38,242,710,42,89,AS
20,Antawn Jamison,25,GSW,SF,82,82,3033,0,0,74,25,1,-6.3,-1.8,66,49,85,27,159,348,44,80,
21,Jeff McInnis,27,LAC,PG,81,80,3030,96,4,0,0,0,-1.5,-3.8,81,34,64,20,63,1088,11,52,
22,Andre Miller,25,CLE,PG,81,81,3023,97,4,0,0,0,-1.7,8.5,148,60,84,22,163,1938,20,91,
23,Elton Brand,22,LAC,PF,80,80,3020,0,0,0,80,21,0.7,5.2,49,64,122,26,232,447,73,72,"MVP-16,AS"
24,Pau Gasol,21,MEM,PF,82,79,3007,0,0,0,0,100,-5.8,10.2,84,89,105,22,191,487,54,105,ROY-1
25,Shareef Abdur-Rahim,25,ATL,PF,77,77,2980,0,0,6,91,3,-4.8,0.3,100,84,100,35,222,560,48,113,AS
26,Antonio Davis,33,TOR,PF,77,77,2978,0,0,6,85,9,-0.1,2.0,60,54,102,34,141,342,25,85,
27,Jason Terry,24,ATL,SG,78,78,2967,48,52,0,0,0,-3.8,4.4,113,47,72,8,116,954,16,65,
28,Rasheed Wallace,27,POR,PF,79,79,2963,0,0,0,93,7,6.6,11.9,63,49,124,12,123,326,34,37,
29,Alvin Williams,27,TOR,PG,82,82,2927,74,27,0,0,0,-0.8,-0.8,99,32,85,14,44,1035,11,33,
30,Ben Wallace,27,DET,C,80,80,2921,0,0,0,19,81,3.5,3.2,27,22,109,8,92,265,21,37,"MVP-10,DPOY-1,NBA3,DEF1"
31,Allan Houston,30,NYK,SG,77,77,2914,0,99,1,0,0,-6.3,-8.1,87,43,81,20,105,429,24,50,
32,Tracy McGrady,22,ORL,SG,76,76,2912,2,79,19,0,0,4.9,11.7,90,75,64,15,254,930,58,79,"MVP-4,AS,NBA1"
33,Dikembe Mutombo,35,PHI,C,80,80,2907,0,0,0,0,100,4.9,10.6,14,52,123,45,142,175,26,41,"DPOY-3,AS,NBA3,DEF2"
34,Dirk Nowitzki,23,DAL,C,76,76,2891,0,0,0,25,75,6.8,8.0,77,32,150,23,218,426,49,62,"MVP-8,AS,NBA2"
35,Reggie Miller,36,IND,SG,79,79,2889,6,92,3,0,0,-0.9,-3.4,62,33,44,14,89,535,14,25,
36,Clifford Robinson,35,DET,PF,80,80,2855,0,0,0,93,7,2.2,-1.8,73,50,124,18,80,457,20,47,DEF2
37,Steve Nash,27,DAL,PG,82,82,2837,77,23,0,0,0,5.2,2.1,163,45,62,14,71,1428,15,44,"MVP-14,AS,NBA3"
38,Doug Christie,31,SAC,SG,81,81,2798,0,94,6,0,0,8.3,1.2,99,36,87,17,74,718,16,43,DEF2
39,Damon Stoudamire,28,POR,PG,75,71,2796,100,0,0,0,0,4.0,1.2,81,41,52,10,44,1096,14,41,
40,Wesley Person,30,CLE,SG,78,78,2793,2,86,11,0,0,-1.1,9.0,38,22,34,12,31,371,10,29,
41,Kurt Thomas,29,NYK,C,82,82,2771,0,0,0,31,69,-5.4,-4.1,53,48,168,34,117,195,23,62,
42,Michael Finley,28,DAL,SF,69,69,2754,0,26,66,8,0,3.7,-3.0,58,39,73,10,108,543,21,47,
43,Darrell Armstrong,33,ORL,PG,82,79,2730,100,0,0,0,0,3.2,4.8,114,43,53,2,46,1031,7,38,
44,Jermaine O'Neal,23,IND,PF,72,72,2707,0,0,1,62,37,1.5,4.3,38,54,146,48,180,255,35,117,"MIP-1,AS,NBA3"
45,Jerry Stackhouse,27,DET,SF,76,76,2685,0,15,84,1,0,2.1,-2.1,117,91,61,35,184,932,32,74,MVP-15
46,Mike Bibby,23,SAC,PG,80,80,2659,78,22,0,0,0,7.3,-1.9,80,36,49,13,74,893,16,39,MVP-16
47,Peja StojakoviÄ,24,SAC,SF,71,71,2649,0,16,82,2,0,7.2,-2.4,58,47,54,21,106,392,22,62,"MVP-16,AS"
48,Juwan Howard,28,2TM,PF,81,72,2635,0,0,18,54,27,-2.4,-4.9,53,39,111,43,143,380,21,89,
48,Juwan Howard,28,DAL,PF,53,44,1659,0,0,28,66,6,0.4,-7.1,34,12,75,22,84,211,13,52,
48,Juwan Howard,28,DEN,PF,28,28,976,0,0,2,35,63,-7.3,-1.0,19,27,36,21,59,169,8,37,
49,Jason Richardson,21,GSW,SG,80,75,2629,0,82,18,0,0,-5.5,1.4,73,49,69,25,82,501,20,66,ROY-3
50,Allen Iverson,26,PHI,SG,60,59,2622,16,77,7,0,0,5.2,10.0,117,76,33,22,203,689,38,93,"MVP-9,AS,NBA2"
51,Sam Cassell,32,MIL,PG,74,73,2605,94,6,0,0,0,2.1,6.7,94,43,56,22,104,1095,17,37,
52,Kerry Kittles,27,NJN,SG,82,82,2601,12,88,0,0,0,4.4,0.2,64,30,41,11,79,484,20,32,
53,Rashard Lewis,22,SEA,SF,71,70,2585,0,0,51,48,2,5.7,6.8,34,33,84,13,89,287,26,53,
54,Michael Olowokandi,26,LAC,C,80,79,2568,0,0,0,0,100,-1.6,-2.8,46,42,90,40,80,223,16,53,
55,John Stockton,39,UTA,PG,82,82,2566,100,0,0,0,0,3.7,6.9,153,34,81,16,93,1418,21,52,
56,P.J. Brown,32,CHH,C,80,80,2563,0,0,0,34,66,2.8,5.1,41,19,116,17,77,242,17,35,
57,Matt Harpring,25,PHI,SF,81,81,2541,0,0,85,14,0,4.3,6.5,44,52,71,17,90,233,13,60,
58,Ray Allen,26,MIL,SG,69,67,2525,15,84,1,0,0,0.6,2.2,77,52,72,23,81,616,17,56,AS
59,Kenyon Martin,24,NJN,PF,73,73,2504,0,0,1,71,28,6.0,4.7,61,50,91,31,124,423,21,47,
60,Nick Van Exel,30,2TM,SG,72,46,2496,60,40,0,0,0,-2.9,0.5,111,30,42,6,88,1056,20,38,
60,Nick Van Exel,30,DEN,PG,45,44,1739,67,34,0,0,0,-6.1,0.9,82,22,27,5,59,799,17,27,
60,Nick Van Exel,30,DAL,SG,27,2,757,46,54,0,0,0,4.4,-0.2,29,8,15,1,29,257,3,11,
61,David Wesley,31,CHH,SG,67,63,2487,8,91,2,0,0,-1.7,-7.6,67,30,69,16,50,511,9,51,
62,Kenny Thomas,24,HOU,PF,72,71,2484,0,0,12,83,6,-6.1,-1.3,59,43,83,23,154,325,30,65,
63,Keith Van Horn,26,NJN,SF,81,81,2465,0,0,72,28,0,4.3,-0.1,57,48,100,15,78,355,14,69,
64,Anfernee Hardaway,30,PHO,SG,80,55,2462,4,89,7,0,0,-1.4,-1.7,108,46,76,20,78,695,21,63,
65,Alonzo Mourning,31,MIA,C,75,74,2455,0,0,0,6,94,0.9,7.1,38,50,97,52,175,190,36,61,AS
66,Raef LaFrentz,25,2TM,C,78,76,2455,0,0,0,25,75,-1.6,2.2,37,24,168,19,67,196,17,69,
66,Raef LaFrentz,25,DEN,C,51,51,1668,0,0,0,0,100,-5.0,2.8,20,17,96,12,45,130,13,54,
