Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,Kevin Durant,23,OKC,SF,66,66,2546,0,0,78,22,0,7.1,1.9,91,111,62,30,196,2,542,48,42,"MVP-2,AS,NBA1"
2,Pau Gasol,31,LAL,PF,65,65,2430,0,0,0,63,37,3.6,8.5,59,52,60,12,103,10,519,22,56,
3,Rudy Gay,25,MEM,SF,65,65,2422,0,0,83,17,0,2.3,-0.2,62,63,57,15,118,6,329,25,67,
4,Blake Griffin,22,LAC,PF,66,66,2392,0,0,0,65,35,7.7,18.7,53,41,86,21,208,20,525,58,56,"AS,NBA2"
5,John Wall,21,WAS,PG,66,66,2386,98,2,0,0,0,-6.8,-3.2,134,66,60,27,189,12,1200,49,67,
6,Marc Gasol,27,MEM,C,65,65,2370,0,0,0,1,99,5.3,11.6,49,38,108,24,138,10,460,27,41,"DPOY-12,AS"
7,Brandon Jennings,22,MIL,PG,66,66,2331,100,0,0,0,0,-2.4,-10.1,80,43,34,6,86,6,807,17,52,
8,Russell Westbrook,23,OKC,PG,66,66,2331,94,6,0,0,0,7.4,2.4,106,81,36,32,187,8,829,35,82,"MVP-12,DPOY-18,AS,NBA2"
9,Josh Smith,26,ATL,PF,66,66,2329,0,0,0,76,24,6.2,8.6,97,45,99,12,163,6,597,50,44,DPOY-10
10,LeBron James,27,MIA,SF,62,62,2326,0,0,74,26,0,10.4,14.0,125,52,41,16,212,13,872,51,31,"MVP-1,DPOY-4,AS,NBA1,DEF1"
11,Kobe Bryant,33,LAL,SG,58,58,2232,0,99,1,0,0,3.0,5.2,88,78,40,22,177,2,580,44,45,"MVP-4,AS,NBA1,DEF2"
12,Wesley Matthews,25,POR,SG,66,53,2228,0,74,26,0,0,1.0,7.2,22,32,59,13,70,16,258,8,53,
13,Andre Iguodala,28,PHI,SF,62,62,2209,0,34,65,2,0,5.7,3.1,58,34,43,9,87,15,741,12,18,"DPOY-7,AS"
14,DeMar DeRozan,22,TOR,SG,63,63,2206,0,68,32,0,0,-2.5,3.9,32,56,70,18,155,5,299,31,72,
15,Jrue Holiday,21,PHI,PG,65,65,2196,62,38,0,0,0,4.9,0.4,73,40,53,10,58,6,636,14,62,
16,Jeff Teague,23,ATL,PG,66,66,2183,98,2,0,0,0,5.3,4.7,58,49,69,17,74,12,734,12,60,
17,Chris Paul,26,LAC,PG,60,60,2181,100,0,0,0,0,7.3,14.0,67,40,38,12,70,18,1238,14,38,"MVP-3,DPOY-12,AS,NBA1,DEF1"
18,Mike Conley,24,MEM,PG,62,61,2174,100,0,0,0,0,5.8,10.9,66,47,62,5,50,13,856,12,40,DPOY-14
19,Tyreke Evans,22,SAC,SG,63,61,2162,3,62,35,0,0,-6.9,-2.6,67,51,55,20,122,6,663,27,75,
20,Kris Humphries,26,NJN,PF,62,62,2162,0,0,0,87,13,-4.3,7.8,33,53,78,20,112,11,207,20,86,
21,Antawn Jamison,35,CLE,PF,65,65,2151,0,0,0,99,1,-7.3,0.5,39,29,92,12,115,6,296,26,52,
22,Kevin Love,23,MIN,PF,55,55,2145,0,0,0,55,46,0.5,7.9,41,46,59,23,178,8,257,32,65,"MVP-6,AS,NBA2"
23,Brandon Knight,20,DET,PG,66,60,2129,90,10,0,0,0,-6.8,-3.7,94,48,70,17,49,24,550,12,48,ROY-8
24,Luol Deng,26,CHI,SF,54,54,2129,0,0,95,5,0,9.5,-0.4,49,32,39,11,68,7,346,15,41,"DPOY-9,AS,DEF2"
25,Joe Johnson,30,ATL,SG,60,60,2127,0,62,38,0,0,5.5,5.0,60,34,28,10,56,4,527,9,23,"MVP-15,AS"
26,Ty Lawson,24,DEN,PG,61,61,2124,100,0,0,0,0,2.7,-1.9,82,36,28,20,81,13,904,16,69,
27,David Lee,28,GSW,PF,57,57,2121,0,0,0,68,32,-3.7,-0.2,71,46,85,22,140,3,382,35,83,
28,Monta Ellis,26,2TM,SG,58,58,2120,19,81,1,0,0,-1.1,1.8,78,67,68,19,100,18,791,21,36,
28,Monta Ellis,26,GSW,SG,37,37,1365,18,81,1,0,0,-2.4,2.2,60,37,37,16,63,12,512,13,27,
28,Monta Ellis,26,MIL,SG,21,21,755,20,80,0,0,0,1.1,1.2,18,30,31,3,37,6,279,8,9,
29,Marcin Gortat,27,PHO,C,66,66,2114,0,0,0,0,100,1.6,6.1,18,40,75,19,113,16,139,21,57,
30,Andrew Bynum,24,LAL,C,60,60,2112,0,0,0,0,100,1.8,0.7,42,45,63,11,165,2,187,40,60,"AS,NBA2"
31,Paul Millsap,26,UTA,PF,64,62,2100,0,0,7,93,0,4.8,12.0,40,32,114,22,119,4,339,28,65,
32,Tayshaun Prince,31,DET,SF,63,63,2087,0,5,92,3,0,-6.7,-3.3,40,25,47,4,44,7,340,5,27,
33,Arron Afflalo,26,DEN,SG,62,62,2086,2,71,26,1,0,1.1,-6.2,24,24,71,18,95,6,357,19,62,
34,Greg Monroe,21,DET,C,66,66,2082,0,0,0,0,100,-6.1,-1.3,56,63,100,21,133,6,328,27,75,DPOY-18
35,Dirk Nowitzki,33,DAL,PF,62,62,2079,0,0,0,96,4,5.8,12.7,43,52,68,13,110,5,332,21,29,"MVP-12,AS,NBA3"
36,Gerald Wallace,29,2TM,SF,58,58,2076,0,13,68,19,0,2.3,9.1,48,28,69,22,94,21,376,21,58,
36,Gerald Wallace,29,POR,SF,42,42,1503,0,18,75,7,0,4.9,11.5,32,21,52,18,67,17,264,15,41,
36,Gerald Wallace,29,NJN,SF,16,16,573,0,0,51,49,0,-4.4,2.8,16,7,17,4,27,4,112,6,17,
37,Al Jefferson,27,UTA,C,61,61,2075,0,0,0,0,100,3.8,8.8,26,25,109,3,90,4,309,23,61,
38,Paul Pierce,34,BOS,SF,61,61,2075,0,3,87,10,0,4.6,5.0,79,57,81,20,142,4,588,30,48,AS
39,Dwight Howard,26,ORL,C,54,54,2070,0,0,0,0,100,4.1,8.8,25,65,72,46,238,2,270,58,55,"MVP-7,DPOY-3,AS,NBA1,DEF1"
40,Luis Scola,31,HOU,PF,66,66,2067,0,0,0,72,28,1.4,2.9,50,53,76,27,80,10,332,12,69,
41,Danny Granger,28,IND,SF,62,62,2062,0,0,97,4,0,7.2,11.2,34,30,47,28,106,5,251,19,68,
