Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,Kevin Durant,21,OKC,SF,82,82,3239,0.0,3.0,89.0,8.0,0.0,7.1,16.5,89,114,84,41,325,7,513,56,67,"MVP-2,AS,NBA1"
2,Andre Iguodala,26,PHI,SF,82,82,3193,0.0,33.0,63.0,3.0,0.0,-4.7,0.0,120,57,78,11,182,19,1031,30,33,
3,Rudy Gay,23,MEM,SF,80,80,3175,0.0,0.0,85.0,15.0,0.0,0.0,8.0,54,67,97,22,192,6,336,37,92,
4,Stephen Jackson,31,2TM,SG,81,81,3129,0.0,53.0,36.0,9.0,1.0,1.7,2.0,139,62,72,19,177,22,647,39,99,MVP-12
4,Stephen Jackson,31,GSW,PF,9,9,300,0.0,0.0,10.0,78.0,12.0,-2.6,1.2,14,6,6,0,16,0,93,1,10,
4,Stephen Jackson,31,CHA,SG,72,72,2829,0.0,59.0,39.0,2.0,0.0,2.2,2.1,125,56,66,19,161,22,554,38,89,
5,Gerald Wallace,27,CHA,SF,76,76,3119,0.0,0.0,76.0,24.0,0.0,2.0,1.8,64,55,86,32,251,44,363,49,106,"DPOY-3,AS,DEF1"
6,O.J. Mayo,22,MEM,SG,82,82,3113,0.0,98.0,1.0,0.0,0.0,-1.4,1.0,93,50,74,13,95,15,531,29,59,
7,Zach Randolph,28,MEM,PF,81,81,3051,0.0,0.0,0.0,87.0,13.0,-0.5,4.9,52,52,96,31,207,5,341,64,121,AS
8,Jeff Green,23,OKC,PF,82,82,3043,0.0,0.0,16.0,81.0,3.0,2.1,-8.9,40,42,119,25,123,14,306,37,44,
9,Dirk Nowitzki,31,DAL,PF,81,80,3039,0.0,0.0,0.0,78.0,22.0,5.1,9.3,57,62,114,23,218,20,521,41,50,"MVP-7,AS,NBA2"
10,Brook Lopez,21,NJN,C,82,82,3027,0.0,0.0,0.0,0.0,100.0,-10.7,-2.1,61,63,142,37,240,9,409,49,78,
11,David Lee,26,NYK,C,81,81,3019,0.0,0.0,0.0,5.0,95.0,-4.2,-1.6,87,68,132,24,177,8,738,52,105,"DPOY-17,AS"
12,LeBron James,25,CLE,SF,76,76,2966,0.0,1.0,84.0,15.0,0.0,11.5,16.8,148,57,52,27,331,7,1496,82,43,"MVP-1,DPOY-4,AS,NBA1,DEF1"
13,Rajon Rondo,23,BOS,PG,81,81,2963,89.0,11.0,0.0,0.0,0.0,4.7,2.4,172,35,62,14,118,12,1773,28,66,"DPOY-5,AS,DEF1"
14,David West,29,NOH,PF,81,81,2949,0.0,0.0,0.0,92.0,8.0,-3.4,-1.6,66,51,130,29,142,2,562,37,71,
15,LaMarcus Aldridge,24,POR,PF,78,78,2922,0.0,0.0,0.0,88.0,12.0,4.9,3.6,31,27,129,30,144,12,370,38,42,
16,Aaron Brooks,25,HOU,PG,82,82,2919,100.0,0.0,0.0,0.0,0.0,-0.4,0.4,111,75,106,18,88,20,985,23,80,MIP-1
17,Boris Diaw,27,CHA,PF,82,82,2906,0.0,0.0,1.0,79.0,19.0,2.4,3.2,98,26,111,33,59,14,738,20,30,
18,Stephen Curry,21,GSW,PG,80,77,2896,64.0,36.0,0.0,0.0,0.0,-3.2,2.2,134,61,149,10,71,33,1054,17,49,ROY-2
19,Joe Johnson,28,ATL,SG,76,76,2886,0.0,76.0,24.0,0.0,0.0,6.1,3.7,69,47,56,10,95,9,847,17,52,"MVP-12,AS,NBA3"
20,Jason Kidd,36,DAL,PG,80,80,2881,65.0,34.0,1.0,0.0,0.0,4.5,5.9,155,27,81,4,31,17,1567,4,13,AS
21,Josh Smith,24,ATL,PF,81,81,2871,0.0,0.0,1.0,99.0,1.0,7.1,7.3,104,55,144,22,219,26,792,66,63,"DPOY-2,DEF2"
22,Derrick Rose,21,CHI,PG,78,78,2871,90.0,10.0,0.0,0.0,0.0,-0.3,4.4,102,77,37,20,150,8,1043,31,93,AS
23,Al Horford,23,ATL,C,81,81,2845,0.0,0.0,0.0,6.0,94.0,8.1,10.4,37,33,119,27,136,7,434,40,53,AS
24,Dwight Howard,24,ORL,C,82,82,2843,0.0,0.0,0.0,0.0,100.0,11.0,9.4,51,79,134,72,355,3,362,67,63,"MVP-4,DPOY-1,AS,NBA1,DEF1"
25,Amar'e Stoudemire,27,PHO,PF,82,82,2838,0.0,0.0,0.0,83.0,17.0,5.1,-1.5,39,82,140,42,313,18,201,81,103,"MVP-10,AS,NBA2"
26,Kobe Bryant,31,LAL,SG,73,73,2835,1.0,78.0,21.0,0.0,0.0,8.6,12.4,109,66,60,35,233,11,831,46,67,"MVP-3,DPOY-12,AS,NBA1,DEF1"
27,John Salmons,30,2TM,SG,81,56,2824,0.0,63.0,36.0,1.0,0.0,2.9,4.4,59,33,90,13,132,7,510,30,68,
27,John Salmons,30,CHI,SG,51,28,1695,0.0,69.0,32.0,0.0,0.0,-0.9,1.1,33,19,59,6,63,4,272,14,35,
27,John Salmons,30,MIL,SG,30,28,1129,0.0,55.0,43.0,2.0,0.0,8.8,9.4,26,14,31,7,69,3,238,16,33,
28,Ray Allen,34,BOS,SG,80,80,2819,0.0,83.0,17.0,0.0,0.0,7.3,11.5,62,35,104,19,72,14,452,18,41,
29,Russell Westbrook,21,OKC,PG,82,82,2813,95.0,5.0,0.0,0.0,0.0,5.1,3.2,121,85,65,41,191,11,1442,45,99,
30,Deron Williams,25,UTA,PG,76,76,2802,93.0,7.0,0.0,0.0,0.0,7.7,7.3,146,60,94,22,169,27,1750,41,64,"MVP-9,AS,NBA2"
31,Andrea Bargnani,24,TOR,PF,80,80,2799,0.0,0.0,0.0,68.0,32.0,-4.1,-6.7,33,39,111,24,102,16,214,21,43,
32,Dwyane Wade,28,MIA,SG,77,77,2792,7.0,93.0,0.0,0.0,0.0,6.7,13.5,134,75,72,28,320,12,1148,74,64,"MVP-5,DPOY-10,AS,NBA1,DEF2"
33,Caron Butler,29,2TM,SG,74,74,2783,0.0,13.0,84.0,3.0,0.0,-1.0,3.1,48,41,90,30,118,1,357,15,69,
33,Caron Butler,29,WAS,SF,47,47,1853,0.0,4.0,93.0,3.0,0.0,-3.2,4.3,34,27,58,22,74,0,246,11,43,
33,Caron Butler,29,DAL,SG,27,27,930,0.0,31.0,67.0,2.0,0.0,3.4,0.7,14,14,32,8,44,1,111,4,26,
34,Nen̻,27,DEN,C,82,82,2755,0.0,0.0,0.0,9.0,91.0,5.5,4.3,39,39,148,26,193,25,467,48,58,
35,Danilo Gallinari,21,NYK,SF,81,74,2747,0.0,8.0,57.0,35.0,0.0,-2.5,4.3,35,36,102,15,121,35,306,18,25,
36,Rasual Butler,30,LAC,SF,82,64,2702,0.0,31.0,67.0,3.0,0.0,-5.7,4.2,40,17,68,7,50,8,250,9,28,
37,Tyreke Evans,20,SAC,SG,72,72,2677,10.0,71.0,19.0,0.0,0.0,-6.7,-6.2,74,60,80,31,209,18,960,49,83,ROY-1
38,Carlos Boozer,28,UTA,PF,78,78,2673,0.0,0.0,0.0,55.0,45.0,4.8,-2.5,79,66,133,39,201,5,535,63,96,
39,Brandon Jennings,20,MIL,PG,82,82,2671,100.0,0.0,0.0,0.0,0.0,2.4,1.5,113,57,92,6,84,9,1075,14,70,ROY-3
40,Luis Scola,29,HOU,PF,82,82,2671,0.0,0.0,0.0,88.0,12.0,-1.8,-3.8,54,53,89,28,113,41,415,25,75,
41,Steve Nash,35,PHO,PG,81,81,2660,82.0,18.0,0.0,0.0,0.0,6.7,3.9,237,50,64,3,57,37,2001,18,29,"MVP-8,AS,NBA2"
42,Luol Deng,24,CHI,SF,70,69,2651,0.0,1.0,85.0,14.0,0.0,1.1,8.0,37,47,65,16,147,13,316,32,53,
43,Monta Ellis,24,GSW,SG,64,64,2647,11.0,75.0,14.0,0.0,0.0,-7.5,-11.4,88,98,82,30,174,22,777,35,86,
44,Raymond Felton,25,CHA,PG,80,80,2643,91.0,9.0,0.0,0.0,0.0,2.3,2.0,122,25,83,11,57,10,1010,14,48,
45,Carmelo Anthony,25,DEN,SF,69,69,2634,0.0,0.0,83.0,17.0,0.0,5.3,3.4,60,61,83,49,256,16,504,59,109,"MVP-6,AS,NBA2"
46,Trevor Ariza,24,HOU,SF,72,71,2629,0.0,0.0,91.0,9.0,0.0,-0.7,-0.5,71,42,71,18,108,10,614,23,62,
47,Chris Kaman,27,LAC,C,76,76,2608,0.0,0.0,0.0,0.0,100.0,-6.1,2.7,76,74,133,26,143,4,274,33,66,AS
48,Metta World Peace,30,LAL,SF,77,77,2605,0.0,0.0,97.0,3.0,0.0,7.2,5.9,49,25,56,28,81,16,515,22,44,DPOY-6
49,Lamar Odom,30,LAL,PF,82,38,2585,0.0,0.0,4.0,92.0,4.0,6.1,2.7,84,28,122,17,98,3,594,29,46,6MOY-6
50,Mike Conley,22,MEM,PG,80,80,2569,100.0,1.0,0.0,0.0,0.0,0.4,5.8,107,41,87,6,74,7,925,16,47,
51,Jason Terry,32,DAL,SG,77,12,2540,0.0,89.0,12.0,0.0,0.0,3.1,0.7,60,24,61,8,95,13,672,17,41,6MOY-2
52,Chris Bosh,25,TOR,C,70,70,2526,0.0,0.0,0.0,5.0,95.0,0.0,5.8,46,62,89,27,283,14,388,64,74,"MVP-12,AS"
53,Baron Davis,30,LAC,PG,75,73,2523,91.0,9.0,0.0,0.0,0.0,-4.6,6.9,131,45,105,17,109,19,1306,26,58,
54,Richard Jefferson,29,SAS,SF,81,70,2520,0.0,0.0,74.0,26.0,0.0,7.1,3.9,39,32,89,21,145,13,356,39,47,
55,Andre Miller,33,POR,PG,82,66,2500,77.0,23.0,0.0,0.0,0.0,7.2,8.7,87,42,57,22,154,31,1003,33,72,
56,Rodney Stuckey,23,DET,PG,73,67,2499,61.0,39.0,0.0,0.0,0.0,-2.7,8.5,65,44,86,34,176,15,767,43,101,
57,Brandon Rush,24,IND,SG,82,64,2491,0.0,79.0,20.0,0.0,0.0,-4.1,-2.6,44,36,104,7,42,14,269,11,31,
58,Chauncey Billups,33,DEN,PG,73,73,2490,78.0,22.0,0.0,0.0,0.0,4.4,0.6,109,42,70,16,164,8,912,23,61,"MVP-12,AS"
59,Jason Richardson,29,PHO,SG,79,76,2485,1.0,95.0,4.0,0.0,0.0,6.5,2.9,40,30,74,13,83,14,330,16,36,
60,Corey Brewer,23,MIN,SG,82,82,2482,0.0,89.0,11.0,0.0,0.0,-10.2,-0.6,85,36,97,23,123,32,419,24,59,
61,Kirk Hinrich,29,CHI,SG,74,53,2481,19.0,78.0,3.0,0.0,0.0,-1.9,-1.0,60,27,104,9,42,21,698,10,43,
62,Beno Udrih,27,SAC,PG,79,41,2477,92.0,8.0,0.0,0.0,0.0,-4.9,-0.7,88,36,88,4,44,14,824,15,25,
63,Marc Gasol,25,MEM,C,69,69,2469,0.0,0.0,0.0,7.0,93.0,2.1,9.5,46,32,148,33,162,44,378,42,40,
64,Carl Landry,26,2TM,PF,80,29,2469,0.0,0.0,0.0,69.0,30.0,-2.7,-0.5,25,37,97,42,199,10,161,49,113,6MOY-8
64,Carl Landry,26,HOU,PF,52,1,1415,0.0,0.0,0.0,54.0,46.0,0.8,2.0,15,23,60,29,130,7,97,34,76,
64,Carl Landry,26,SAC,PF,28,28,1054,0.0,0.0,1.0,90.0,10.0,-7.4,-3.8,10,14,37,13,69,3,64,15,37,
65,Marvin Williams,23,ATL,SF,81,81,2468,0.0,0.0,89.0,11.0,0.0,6.0,2.6,20,31,85,14,85,10,207,14,40,
66,Al Jefferson,25,MIN,C,76,76,2463,0.0,0.0,0.0,32.0,68.0,-10.8,-2.1,37,55,132,8,141,18,306,44,59,
67,Jamal Crawford,29,ATL,SG,79,0,2460,43.0,56.0,0.0,0.0,0.0,4.4,-1.8,60,37,57,14,117,8,519,26,47,6MOY-1
68,Tim Duncan,33,SAS,C,78,77,2438,0.0,0.0,0.0,0.0,100.0,7.6,4.8,61,52,85,11,189,6,541,41,68,"DPOY-14,AS,NBA3,DEF2"
69,Grant Hill,37,PHO,SF,81,81,2430,0.0,1.0,90.0,9.0,0.0,3.8,-4.5,49,31,88,12,118,26,446,23,32,
70,Brandon Roy,25,POR,SG,65,65,2419,0.0,55.0,44.0,1.0,0.0,5.2,3.3,53,40,57,14,184,17,706,39,45,"AS,NBA3"
71,Paul Pierce,32,BOS,SF,71,71,2411,0.0,0.0,97.0,3.0,0.0,4.9,2.3,59,52,101,30,187,27,471,35,50,AS
72,Antawn Jamison,33,2TM,PF,66,64,2406,0.0,0.0,7.0,91.0,1.0,0.6,2.7,36,32,110,17,130,19,193,27,46,
72,Antawn Jamison,33,WAS,PF,41,41,1595,0.0,0.0,7.0,93.0,0.0,-3.8,2.9,24,22,67,14,96,14,120,18,31,
72,Antawn Jamison,33,CLE,PF,25,23,811,0.0,0.0,8.0,88.0,4.0,9.1,2.1,12,10,43,3,34,5,73,9,15,
73,Pau Gasol,29,LAL,C,65,65,2403,0.0,0.0,0.0,38.0,62.0,6.5,3.4,62,51,83,14,153,16,500,37,60,"AS,NBA3"
74,Shawn Marion,31,DAL,SF,75,75,2385,0.0,0.0,73.0,27.0,0.0,5.4,6.4,38,37,86,13,62,4,251,7,61,DPOY-13
75,Courtney Lee,24,NJN,SG,71,66,2375,3.0,91.0,6.0,0.0,0.0,-9.5,1.8,42,14,77,4,72,10,268,14,42,
76,Emeka Okafor,27,NOH,C,82,82,2370,0.0,0.0,0.0,1.0,99.0,-3.5,-1.5,29,23,114,26,144,10,127,31,60,
77,Rashard Lewis,30,ORL,PF,72,72,2369,0.0,0.0,2.0,96.0,1.0,7.7,-1.6,49,23,93,23,63,1,257,15,21,
