Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1,Kevin Durant,25,OKC,SF,81,81,3122,0,4,70,26,0,8.0,6.0,123,115,94,22,311,8,1004,68,42,"MVP-1,AS,NBA1"
2,Monta Ellis,28,DAL,SG,82,82,3023,4,95,1,0,0,0.4,-8.5,130,82,99,21,184,30,1105,38,44,
3,DeMar DeRozan,24,TOR,SG,79,79,3017,1,42,57,0,0,3.6,-0.4,52,84,89,19,278,8,786,53,57,AS
4,Carmelo Anthony,29,NYK,PF,77,77,2982,0,0,38,62,1,1.2,9.0,72,52,92,40,205,11,588,41,71,"MVP-15,AS"
5,John Wall,23,WAS,PG,82,82,2980,100,0,0,0,0,3.1,7.3,178,74,82,25,171,19,1684,43,53,AS
6,Nicolas Batum,25,POR,SF,82,82,2956,0,0,79,21,0,5.2,5.4,138,30,60,16,77,15,946,15,18,
7,Damian Lillard,23,POR,PG,82,82,2937,66,34,0,0,0,5.5,6.6,126,40,90,16,168,29,1068,26,85,"AS,NBA3"
8,LeBron James,29,MIA,PF,77,77,2902,0,0,12,83,5,7.2,7.0,152,69,36,26,252,6,1156,74,42,"MVP-2,DPOY-6,AS,NBA1,DEF2"
9,Paul George,23,IND,SF,80,80,2898,0,10,90,0,0,6.4,6.3,128,52,64,31,168,26,630,37,67,"MVP-9,DPOY-7,AS,NBA3,DEF1"
10,DeAndre Jordan,25,LAC,C,82,82,2870,0,0,0,1,99,9.0,6.8,35,27,167,29,113,7,166,29,31,DPOY-3
11,Klay Thompson,23,GSW,SG,81,81,2868,5,88,7,0,0,9.3,15.5,55,39,112,15,83,5,406,13,48,
12,Blake Griffin,24,LAC,PF,80,80,2863,0,0,0,91,9,9.3,8.3,77,65,123,46,280,24,710,70,68,"MVP-3,AS,NBA2"
13,Kyle Lowry,27,TOR,PG,79,79,2862,100,0,0,0,0,4.8,4.3,116,42,95,20,125,48,1317,25,51,
14,Stephen Curry,25,GSW,PG,78,78,2846,100,0,0,0,0,9.2,15.1,193,59,98,15,109,29,1485,33,34,"MVP-6,AS,NBA2"
15,Joakim Noah,28,CHI,C,80,80,2820,0,0,0,0,100,4.0,6.6,98,46,108,30,144,15,954,30,75,"MVP-4,DPOY-1,AS,NBA1,DEF1"
16,Jeff Green,27,BOS,SF,82,82,2805,0,0,94,6,0,-6.7,-5.7,53,50,82,36,165,14,318,37,49,
17,Gordon Hayward,23,UTA,SF,77,77,2800,0,58,41,1,0,-7.9,0.2,112,54,68,23,144,20,932,37,54,
18,Kevin Love,25,MIN,PF,77,77,2797,0,0,0,73,27,5.6,10.9,95,55,62,27,228,13,741,37,63,"MVP-11,AS,NBA2"
19,Chandler Parsons,25,HOU,SF,74,74,2783,0,1,86,12,0,5.6,2.5,71,44,67,14,107,17,695,28,64,
20,Wesley Matthews,27,POR,SG,82,82,2780,0,78,22,1,0,4.9,3.5,48,38,76,13,122,32,448,22,41,
21,James Harden,24,HOU,SG,73,73,2777,1,91,7,0,0,7.1,7.6,135,79,55,32,275,13,1040,43,61,"MVP-5,AS,NBA1"
22,Lance Stephenson,23,IND,SG,78,78,2752,2,93,5,0,0,5.5,2.6,109,50,67,31,89,21,809,29,44,
23,Josh Smith,28,DET,SF,77,76,2730,0,0,56,43,0,-3.8,0.8,104,76,101,11,142,16,574,43,39,
24,Brandon Jennings,24,DET,PG,80,79,2728,100,0,0,0,0,-3.8,0.8,130,65,59,8,114,9,1322,21,44,
25,Trevor Ariza,28,WAS,SF,77,77,2723,0,2,92,6,0,3.5,7.3,60,37,71,22,78,12,432,14,46,DPOY-15
26,Thaddeus Young,25,PHI,PF,79,78,2718,0,0,0,98,2,-12.0,-4.1,63,62,100,22,110,6,407,27,83,
27,Zach Randolph,32,MEM,PF,79,79,2705,0,0,0,88,12,3.2,3.5,63,58,71,36,140,9,446,32,115,
28,Greg Monroe,23,DET,PF,82,82,2690,0,0,0,65,36,-3.6,1.4,54,69,112,19,177,10,388,42,107,
29,Goran DragiÄ,27,PHO,SG,76,75,2668,52,47,1,0,0,5.5,9.3,101,63,76,24,147,20,1093,34,60,"MVP-16,MIP-1,NBA3"
30,Serge Ibaka,24,OKC,PF,81,81,2666,0,0,6,75,19,7.3,1.5,28,37,123,16,95,8,204,19,33,"DPOY-4,DEF1"
31,Marcin Gortat,29,WAS,C,81,80,2655,0,0,0,0,100,5.0,11.3,41,39,104,28,111,19,317,28,51,
32,Ricky Rubio,23,MIN,PG,82,82,2638,89,11,0,0,0,6.6,12.6,175,31,82,1,97,36,1582,18,67,
33,Dirk Nowitzki,35,DAL,PF,80,80,2628,0,0,0,73,28,4.5,6.1,54,43,109,9,129,13,490,29,19,"MVP-14,AS"
34,Andre Drummond,20,DET,C,81,81,2619,0,0,0,0,100,-4.2,-0.7,22,31,130,24,144,13,79,26,44,
35,Kemba Walker,23,CHA,PG,73,73,2614,100,0,0,0,0,2.9,9.0,88,65,69,1,109,34,998,15,73,
36,Corey Brewer,27,MIN,SF,81,81,2609,0,12,87,1,0,5.7,9.7,41,39,89,11,109,20,307,31,43,
37,Robin Lopez,25,POR,C,82,82,2603,0,0,0,0,100,6.0,6.2,20,27,130,24,104,6,176,19,30,
38,Tristan Thompson,22,CLE,PF,82,82,2594,0,0,0,94,6,-4.9,-4.0,23,29,63,28,143,1,170,26,101,
39,Jimmy Butler,24,CHI,SG,67,67,2591,0,71,29,0,0,4.4,6.5,48,25,52,13,151,17,394,22,49,DEF2
40,Mike Dunleavy,33,CHI,SF,82,61,2584,0,14,85,1,0,3.2,3.2,70,19,79,12,55,14,403,6,21,
41,Joe Johnson,32,BRK,SG,79,79,2575,1,61,38,1,0,0.7,3.9,62,30,47,17,65,2,515,17,17,AS
42,Jodie Meeks,26,LAL,SG,77,70,2556,15,70,15,0,0,-9.0,-8.3,53,41,50,7,117,9,325,33,56,
43,Al Jefferson,29,CHA,C,73,73,2553,0,0,0,0,100,0.4,1.7,32,47,120,10,144,10,360,39,74,"MVP-8,NBA3"
44,Arron Afflalo,28,ORL,SG,73,73,2552,0,49,50,1,0,-7.6,-5.0,53,42,52,20,136,14,571,31,59,
45,Jeff Teague,25,ATL,PG,79,79,2542,73,27,0,0,0,2.0,6.7,130,68,69,11,147,9,1222,35,73,
46,Chris Bosh,29,MIA,C,79,79,2531,0,0,0,6,94,9.0,10.2,52,44,80,14,130,8,206,24,32,AS
47,Rudy Gay,27,2TM,SF,73,73,2531,0,0,63,34,3,-1.8,0.3,87,96,73,24,166,6,469,31,79,
47,Rudy Gay,27,TOR,SF,18,18,639,0,1,74,24,1,-1.1,-5.6,18,28,15,9,40,3,97,7,24,
47,Rudy Gay,27,SAC,SF,55,55,1892,0,0,59,37,4,-2.0,2.3,69,68,58,15,126,3,372,24,55,
48,Bradley Beal,20,WAS,SG,73,73,2530,9,90,1,0,0,2.3,2.8,64,42,97,5,74,19,543,15,40,
49,LaMarcus Aldridge,28,POR,PF,69,69,2498,0,0,0,89,11,7.2,8.9,33,39,81,28,158,1,446,39,41,"MVP-10,AS,NBA3"
50,Isaiah Thomas,24,SAC,PG,72,54,2497,100,0,0,0,0,0.2,9.4,105,78,73,13,116,18,1012,30,57,
51,Kyrie Irving,21,CLE,PG,71,71,2496,100,0,0,0,0,-5.1,-4.3,96,60,70,12,128,8,965,36,57,AS
52,P.J. Tucker,28,PHO,SF,81,81,2490,0,3,92,6,0,2.1,-1.2,38,16,77,17,71,26,334,17,51,DPOY-12
53,Victor Oladipo,21,ORL,PG,80,44,2487,59,41,0,0,0,-5.4,1.0,122,87,99,22,140,17,728,25,90,ROY-2
54,Randy Foye,30,DEN,SG,81,78,2485,17,72,11,0,0,-3.1,-2.6,94,32,92,11,64,14,648,11,43,
55,Paul Millsap,28,ATL,PF,74,73,2482,0,0,0,93,7,2.2,6.8,69,59,104,29,181,7,549,38,69,AS
56,David West,33,IND,PF,80,80,2472,0,0,0,96,4,8.1,9.0,65,24,71,34,96,5,518,19,49,
57,Spencer Hawes,25,2TM,C,80,78,2470,0,0,0,0,100,-10.0,-2.5,92,35,156,25,72,4,522,14,55,
57,Spencer Hawes,25,PHI,C,53,53,1666,0,0,0,0,100,-12.0,-2.2,60,22,111,18,46,4,383,11,39,
57,Spencer Hawes,25,CLE,C,27,25,804,0,0,0,0,100,-5.9,-3.1,32,13,45,7,26,0,139,3,16,
58,JosÃ© CalderÃ³n,32,DAL,PG,81,81,2468,95,5,0,0,0,-0.9,-8.8,68,26,79,5,15,9,851,2,16,
59,Gerald Henderson,26,CHA,SG,77,77,2461,0,88,12,0,0,-1.4,-3.1,42,31,56,22,127,27,446,17,38,
60,Khris Middleton,22,MIL,SF,82,64,2460,0,27,70,3,0,-8.3,1.7,54,36,120,13,50,13,372,5,35,
61,Evan Turner,25,2TM,SF,81,56,2457,0,33,67,0,0,-7.2,1.3,90,71,102,14,111,6,596,21,108,
61,Evan Turner,25,PHI,SF,54,54,1886,0,26,74,1,0,-8.4,4.4,76,57,77,10,93,3,451,15,85,
61,Evan Turner,25,IND,SF,27,2,571,0,54,46,0,0,-3.1,-9.2,14,14,25,4,18,3,145,6,23,
62,Mike Conley,26,MEM,PG,73,73,2446,100,0,0,0,0,2.6,1.4,86,51,72,8,110,27,958,21,50,MVP-17
63,George Hill,27,IND,PG,76,76,2434,96,4,0,0,0,6.3,4.2,59,15,78,10,56,32,585,14,33,
64,J.R. Smith,28,NYK,SF,74,37,2421,0,24,72,5,0,-0.9,0.4,52,39,100,13,56,13,527,13,18,
65,Michael Carter-Williams,22,PHI,PG,70,70,2414,97,3,0,0,0,-9.3,3.6,144,65,83,18,148,23,1017,37,110,ROY-1
66,Roy Hibbert,27,IND,C,81,81,2409,0,0,0,0,100,7.4,6.8,30,48,153,48,107,5,206,26,47,"DPOY-2,AS,DEF2"
67,Shawn Marion,35,DAL,SF,76,76,2409,0,0,54,45,0,-1.4,-9.9,58,24,85,2,24,2,300,2,28,
68,Kyle Korver,32,ATL,SG,71,71,2408,0,68,31,0,0,3.0,8.5,59,26,87,9,21,5,467,11,13,
69,Brandon Knight,22,MIL,PG,72,69,2400,89,11,0,0,0,-9.4,-1.2,104,58,51,15,124,24,802,24,59,
70,Dwight Howard,28,HOU,C,71,71,2396,0,0,0,4,96,6.9,5.0,54,68,110,54,227,1,310,47,81,"DPOY-8,AS,NBA2"
71,Josh McRoberts,26,CHA,PF,78,78,2360,0,0,0,95,5,0.7,2.1,43,21,61,7,39,17,729,5,24,
72,Anthony Davis,20,NOP,PF,67,66,2358,0,0,0,71,29,-1.8,1.9,31,27,113,30,210,16,238,44,68,"DPOY-8,AS"
73,Taj Gibson,28,CHI,PF,82,8,2351,0,0,1,98,1,4.1,4.9,43,40,99,35,129,7,221,28,93,6MOY-2
74,DeMarre Carroll,27,ATL,SF,73,73,2341,0,7,89,4,0,3.8,10.0,30,24,66,16,66,17,323,17,35,
75,Kyle Singler,25,DET,SF,82,36,2337,0,23,69,8,0,-4.7,-1.7,24,24,108,10,78,13,172,11,43,
76,Gerald Green,28,PHO,SG,82,48,2330,0,78,22,0,0,-0.1,-6.3,61,44,109,12,80,7,289,8,21,
77,Channing Frye,30,PHO,PF,82,82,2312,0,0,0,59,41,5.7,7.7,34,14,120,29,29,13,240,7,15,
78,James Anderson,24,PHI,SG,80,62,2309,1,75,24,1,0,-11.2,-1.3,47,30,98,16,44,4,353,10,39,
79,DeMarcus Cousins,23,SAC,C,71,71,2298,0,0,0,1,100,-1.5,3.9,83,76,113,55,257,13,476,79,108,
80,David Lee,30,GSW,PF,69,67,2288,0,0,0,81,19,9.7,11.2,58,53,88,28,151,5,353,29,94,
81,Jonas ValanÄiÅ«nas,21,TOR,C,81,81,2282,0,0,0,0,100,2.7,-2.3,18,41,108,36,120,11,133,32,62,
82,Reggie Jackson,23,OKC,PG,80,36,2277,100,0,0,0,0,7.7,2.0,90,49,51,19,66,9,755,12,57,6MOY-5
83,Brandon Bass,28,BOS,PF,82,73,2266,0,0,0,97,2,-8.1,-7.0,28,36,103,22,110,6,201,20,48,
84,Trey Burke,21,UTA,PG,70,68,2262,100,0,0,0,0,-6.1,4.5,85,32,70,7,34,10,892,8,29,ROY-3
85,Jarrett Jack,30,CLE,PG,80,31,2252,50,50,0,0,0,-5.5,-4.6,79,32,67,6,51,8,749,10,34,
86,Wesley Johnson,26,LAL,SF,79,62,2240,0,3,64,33,0,-7.8,-4.1,57,16,123,5,35,5,283,9,23,
