Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Unnamed: 19_level_0,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,PGA,And1,Blkd,Awards
1,Allen Iverson,27,PHI,SG,82,82,3485,16,79,5,0,0,2.3,-1.2,157,83,48,26,262,948,43,96,"MVP-6,DPOY-6,AS,NBA2"
2,Kobe Bryant,24,LAL,SG,82,82,3401,0,90,10,0,0,3.8,10.0,140,93,58,37,263,1062,52,79,"MVP-3,DPOY-8,AS,NBA1,DEF1"
3,Shawn Marion,24,PHO,SF,81,81,3373,0,1,85,14,0,1.0,-1.5,69,56,115,10,104,424,27,57,"DPOY-13,AS"
4,Jalen Rose,30,CHI,SF,82,82,3351,0,36,64,0,0,-6.1,-4.2,141,67,94,54,167,857,39,63,
5,Kevin Garnett,26,MIN,PF,82,82,3321,0,0,6,82,13,6.1,23.6,82,66,86,30,214,1065,58,60,"MVP-2,DPOY-3,AS,NBA1,DEF1"
6,Jamal Mashburn,30,NOH,SF,82,81,3321,0,0,82,17,0,2.5,1.0,102,82,93,30,126,1009,33,81,"MVP-11,AS,NBA3"
7,Steve Francis,25,HOU,PG,81,81,3318,78,22,0,0,0,3.1,8.9,138,79,81,26,219,1141,43,84,AS
8,Stephon Marbury,25,PHO,PG,81,81,3240,100,0,0,0,0,1.3,1.0,148,63,56,29,176,1485,42,96,"AS,NBA3"
9,Antoine Walker,26,BOS,PF,78,78,3235,0,0,3,81,16,0.9,6.6,128,68,91,38,123,860,33,88,AS
10,Antawn Jamison,26,GSW,SF,82,82,3226,0,4,84,12,0,-2.1,-5.3,73,61,101,25,170,351,35,64,
11,Gary Payton,34,2TM,PG,80,80,3208,64,36,0,0,0,-0.9,-2.6,87,51,54,27,147,1467,40,73,"DPOY-11,AS"
11,Gary Payton,34,SEA,PG,52,52,2123,80,20,0,0,0,-1.7,-4.0,60,32,31,23,95,1001,21,50,
11,Gary Payton,34,MIL,PG,28,28,1085,33,67,0,0,0,0.7,0.3,27,19,23,4,52,466,19,23,
12,Tim Duncan,26,SAS,PF,81,81,3181,0,0,0,57,43,9.1,14.7,102,82,132,36,263,709,65,102,"MVP-1,DPOY-4,AS,NBA1,DEF1"
13,Ricky Davis,23,CLE,SG,79,76,3131,1,82,17,0,0,-10.6,-0.9,143,78,100,17,157,940,33,74,
14,Dirk Nowitzki,24,DAL,PF,80,80,3117,0,0,5,74,21,12.6,20.4,81,39,117,17,221,538,54,50,"MVP-7,AS,NBA2"
15,Allan Houston,31,NYK,SG,82,82,3108,3,97,0,0,0,-1.1,2.7,96,46,72,25,129,489,34,50,
16,Eric Snow,29,PHI,PG,82,82,3108,99,1,0,0,0,1.3,-5.2,123,50,106,9,132,1171,24,50,"DPOY-10,DEF2"
17,Paul Pierce,25,BOS,SG,79,79,3096,0,93,7,0,0,1.9,10.7,114,113,88,43,304,856,81,98,"MVP-11,AS,NBA3"
18,Shareef Abdur-Rahim,26,ATL,PF,81,81,3087,0,0,5,93,2,-3.5,1.5,80,63,95,35,228,555,41,106,
19,Jason Terry,25,ATL,PG,81,81,3081,97,3,0,0,0,-2.9,3.9,151,59,66,15,95,1290,9,46,
20,Rashard Lewis,23,SEA,SF,77,77,3044,0,2,68,30,1,-1.1,-5.5,44,52,86,35,121,296,25,57,
21,Cuttino Mobley,27,HOU,SG,73,73,3044,0,93,6,0,0,2.2,2.7,95,38,56,24,93,473,25,41,
22,Michael Jordan,39,WAS,SF,82,67,3031,0,17,79,5,0,-0.4,2.8,94,50,83,15,133,674,24,51,AS
