Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Kevin Durant,21.0,OKC,SF,82.0,82.0,3239.0,0.476,0.506,0.365,0.514,0.9,0.607,0.504,0.21,103.0,103.0,103.0,103.0,119.0,112.0,168.0,95.0,45.6,259.4,"MVP-2,AS,NBA1"
2.0,Andre Iguodala,26.0,PHI,SF,82.0,82.0,3193.0,0.443,0.492,0.31,0.485,0.733,0.535,0.384,0.271,96.0,100.0,87.0,97.0,97.0,99.0,128.0,122.0,-35.6,-20.6,
3.0,Rudy Gay,23.0,MEM,SF,80.0,80.0,3175.0,0.466,0.492,0.327,0.491,0.753,0.535,0.311,0.157,101.0,100.0,92.0,98.0,99.0,99.0,103.0,71.0,-23.9,-22.7,
4.0,Stephen Jackson,31.0,2TM,SG,81.0,81.0,3129.0,0.423,0.46,0.328,0.469,0.779,0.518,0.306,0.277,92.0,93.0,93.0,94.0,103.0,95.0,102.0,125.0,-91.1,-80.2,MVP-12
4.0,Stephen Jackson,31.0,GSW,PF,9.0,9.0,300.0,0.421,0.484,0.275,0.462,0.703,0.499,0.278,0.301,91.0,98.0,78.0,92.0,93.0,92.0,93.0,135.0,-10.2,-13.1,
4.0,Stephen Jackson,31.0,CHA,SG,72.0,72.0,2829.0,0.423,0.457,0.334,0.469,0.786,0.52,0.309,0.275,92.0,93.0,94.0,94.0,104.0,96.0,103.0,124.0,-80.9,-67.1,
5.0,Gerald Wallace,27.0,CHA,SF,76.0,76.0,3119.0,0.484,0.503,0.371,0.511,0.776,0.586,0.577,0.148,105.0,102.0,105.0,102.0,102.0,108.0,192.0,67.0,19.6,102.1,"DPOY-3,AS,DEF1"
6.0,O.J. Mayo,22.0,MEM,SG,82.0,82.0,3113.0,0.458,0.49,0.383,0.516,0.809,0.551,0.221,0.3,99.0,100.0,108.0,103.0,107.0,102.0,74.0,135.0,35.3,22.2,
7.0,Zach Randolph,28.0,MEM,PF,81.0,81.0,3051.0,0.488,0.496,0.288,0.494,0.778,0.546,0.348,0.039,106.0,101.0,81.0,99.0,103.0,100.0,116.0,18.0,-18.9,8.1,AS
8.0,Jeff Green,23.0,OKC,PF,82.0,82.0,3043.0,0.453,0.503,0.333,0.502,0.74,0.53,0.208,0.292,98.0,102.0,94.0,100.0,98.0,98.0,69.0,131.0,2.4,-29.5,
9.0,Dirk Nowitzki,31.0,DAL,PF,81.0,80.0,3039.0,0.481,0.487,0.421,0.498,0.915,0.578,0.392,0.081,104.0,99.0,119.0,100.0,121.0,106.0,130.0,36.0,-7.2,122.5,"MVP-7,AS,NBA2"
10.0,Brook Lopez,21.0,NJN,C,82.0,82.0,3027.0,0.499,0.5,0.0,0.499,0.817,0.57,0.451,0.002,108.0,102.0,0.0,100.0,108.0,105.0,150.0,1.0,-4.6,72.8,
11.0,David Lee,26.0,NYK,C,81.0,81.0,3019.0,0.545,0.549,0.0,0.545,0.812,0.584,0.262,0.006,118.0,112.0,0.0,109.0,107.0,108.0,87.0,3.0,112.2,116.3,"DPOY-17,AS"
12.0,LeBron James,25.0,CLE,SF,76.0,76.0,2966.0,0.503,0.56,0.333,0.545,0.767,0.604,0.506,0.253,109.0,114.0,94.0,109.0,101.0,111.0,168.0,114.0,134.8,229.4,"MVP-1,DPOY-4,AS,NBA1,DEF1"
13.0,Rajon Rondo,23.0,BOS,PG,81.0,81.0,2963.0,0.508,0.536,0.213,0.517,0.621,0.54,0.312,0.088,110.0,109.0,60.0,103.0,82.0,99.0,104.0,40.0,29.7,-6.4,"DPOY-5,AS,DEF1"
14.0,David West,29.0,NOH,PF,81.0,81.0,2949.0,0.505,0.51,0.259,0.508,0.865,0.56,0.279,0.022,109.0,104.0,73.0,101.0,114.0,103.0,93.0,10.0,17.2,46.3,
15.0,LaMarcus Aldridge,24.0,POR,PF,78.0,78.0,2922.0,0.495,0.498,0.313,0.497,0.757,0.535,0.26,0.014,107.0,101.0,88.0,99.0,100.0,98.0,87.0,6.0,-7.7,-21.7,
16.0,Aaron Brooks,25.0,HOU,PG,82.0,82.0,2919.0,0.432,0.454,0.398,0.511,0.822,0.549,0.224,0.394,94.0,92.0,112.0,102.0,108.0,101.0,75.0,178.0,26.1,16.3,MIP-1
17.0,Boris Diaw,27.0,CHA,PF,82.0,82.0,2906.0,0.483,0.541,0.32,0.525,0.769,0.552,0.19,0.266,105.0,110.0,90.0,105.0,101.0,102.0,63.0,120.0,37.9,15.4,
18.0,Stephen Curry,21.0,GSW,PG,80.0,77.0,2896.0,0.462,0.474,0.437,0.535,0.885,0.568,0.175,0.332,100.0,96.0,123.0,107.0,117.0,105.0,58.0,150.0,77.3,62.3,ROY-2
19.0,Joe Johnson,28.0,ATL,SG,76.0,76.0,2886.0,0.458,0.488,0.369,0.505,0.818,0.538,0.194,0.253,99.0,99.0,104.0,101.0,108.0,99.0,65.0,114.0,11.0,-14.6,"MVP-12,AS,NBA3"
20.0,Jason Kidd,36.0,DAL,PG,80.0,80.0,2881.0,0.423,0.42,0.425,0.554,0.808,0.577,0.148,0.617,92.0,85.0,120.0,111.0,106.0,106.0,49.0,278.0,72.0,48.1,AS
21.0,Josh Smith,24.0,ATL,PF,81.0,81.0,2871.0,0.505,0.508,0.0,0.505,0.618,0.536,0.422,0.007,109.0,103.0,0.0,101.0,82.0,99.0,141.0,3.0,7.5,-17.4,"DPOY-2,DEF2"
22.0,Derrick Rose,21.0,CHI,PG,78.0,78.0,2871.0,0.489,0.5,0.267,0.495,0.766,0.532,0.246,0.044,106.0,102.0,75.0,99.0,101.0,98.0,82.0,20.0,-15.0,-33.4,AS
23.0,Al Horford,23.0,ATL,C,81.0,81.0,2845.0,0.551,0.551,1.0,0.552,0.789,0.594,0.319,0.001,120.0,112.0,282.0,110.0,104.0,109.0,106.0,1.0,86.8,99.2,AS
24.0,Dwight Howard,24.0,ORL,C,82.0,82.0,2843.0,0.612,0.617,0.0,0.612,0.592,0.63,0.978,0.008,133.0,125.0,0.0,122.0,78.0,116.0,326.0,4.0,184.8,207.5,"MVP-4,DPOY-1,AS,NBA1,DEF1"
25.0,Amar'e Stoudemire,27.0,PHO,PF,82.0,82.0,2838.0,0.557,0.559,0.167,0.557,0.771,0.615,0.5,0.005,121.0,114.0,47.0,111.0,102.0,113.0,166.0,2.0,143.2,221.5,"MVP-10,AS,NBA2"
26.0,Kobe Bryant,31.0,LAL,SG,73.0,73.0,2835.0,0.456,0.487,0.329,0.488,0.811,0.545,0.345,0.192,99.0,99.0,93.0,97.0,107.0,100.0,115.0,86.0,-40.3,7.7,"MVP-3,DPOY-12,AS,NBA1,DEF1"
27.0,John Salmons,30.0,2TM,SG,81.0,56.0,2824.0,0.441,0.468,0.382,0.501,0.83,0.553,0.308,0.312,96.0,95.0,108.0,100.0,109.0,102.0,102.0,140.0,-0.4,23.2,
27.0,John Salmons,30.0,CHI,SG,51.0,28.0,1695.0,0.42,0.441,0.38,0.486,0.789,0.53,0.268,0.35,91.0,90.0,107.0,97.0,104.0,98.0,89.0,158.0,-15.8,-16.3,
27.0,John Salmons,30.0,MIL,SG,30.0,28.0,1129.0,0.467,0.497,0.385,0.518,0.867,0.581,0.357,0.264,101.0,101.0,108.0,103.0,114.0,107.0,119.0,119.0,15.4,39.5,
28.0,Ray Allen,34.0,BOS,SG,80.0,80.0,2819.0,0.477,0.556,0.363,0.551,0.913,0.601,0.26,0.41,103.0,113.0,102.0,110.0,120.0,111.0,87.0,185.0,98.6,126.5,
29.0,Russell Westbrook,21.0,OKC,PG,82.0,82.0,2813.0,0.418,0.438,0.221,0.428,0.78,0.491,0.364,0.09,91.0,89.0,62.0,85.0,103.0,90.0,121.0,40.0,-168.7,-139.3,
30.0,Deron Williams,25.0,UTA,PG,76.0,76.0,2802.0,0.469,0.501,0.371,0.515,0.801,0.574,0.397,0.246,102.0,102.0,105.0,103.0,106.0,106.0,132.0,111.0,29.5,75.8,"MVP-9,AS,NBA2"
31.0,Andrea Bargnani,24.0,TOR,PF,80.0,80.0,2799.0,0.47,0.509,0.372,0.523,0.774,0.552,0.205,0.284,102.0,103.0,105.0,104.0,102.0,102.0,68.0,128.0,50.3,23.0,
32.0,Dwyane Wade,28.0,MIA,SG,77.0,77.0,2792.0,0.476,0.509,0.3,0.5,0.761,0.562,0.465,0.161,103.0,104.0,85.0,100.0,100.0,103.0,155.0,72.0,-2.2,68.8,"MVP-5,DPOY-10,AS,NBA1,DEF2"
33.0,Caron Butler,29.0,2TM,SG,74.0,74.0,2783.0,0.428,0.45,0.29,0.448,0.838,0.507,0.3,0.138,93.0,92.0,82.0,89.0,110.0,93.0,100.0,62.0,-110.5,-85.8,
33.0,Caron Butler,29.0,WAS,SF,47.0,47.0,1853.0,0.422,0.447,0.263,0.44,0.877,0.506,0.304,0.137,92.0,91.0,74.0,88.0,116.0,93.0,101.0,62.0,-84.0,-58.4,
33.0,Caron Butler,29.0,DAL,SG,27.0,27.0,930.0,0.44,0.456,0.34,0.464,0.76,0.509,0.291,0.14,95.0,93.0,96.0,93.0,100.0,94.0,97.0,63.0,-26.5,-27.4,
34.0,Nen̻,27.0,DEN,C,82.0,82.0,2755.0,0.587,0.589,0.0,0.587,0.704,0.631,0.58,0.003,127.0,120.0,0.0,117.0,93.0,116.0,193.0,1.0,124.0,157.7,
35.0,Danilo Gallinari,21.0,NYK,SF,81.0,74.0,2747.0,0.423,0.469,0.381,0.523,0.818,0.575,0.331,0.526,92.0,95.0,107.0,104.0,108.0,106.0,110.0,237.0,41.6,67.7,
36.0,Rasual Butler,30.0,LAC,SF,82.0,64.0,2702.0,0.409,0.482,0.336,0.493,0.841,0.524,0.167,0.497,89.0,98.0,95.0,98.0,111.0,97.0,55.0,224.0,-14.3,-35.0,
