Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Kevin Durant,23.0,OKC,SF,66.0,66.0,2546.0,0.496,0.535,0.387,0.547,0.86,0.61,0.386,0.265,111.0,112.0,111.0,112.0,114.0,116.0,140.0,117.0,155.0,250.3,"MVP-2,AS,NBA1"
2.0,Pau Gasol,31.0,LAL,PF,65.0,65.0,2430.0,0.501,0.508,0.259,0.504,0.782,0.547,0.285,0.029,112.0,107.0,74.0,104.0,104.0,104.0,103.0,13.0,31.3,41.2,
3.0,Rudy Gay,25.0,MEM,SF,65.0,65.0,2422.0,0.455,0.482,0.312,0.48,0.791,0.521,0.246,0.162,101.0,101.0,90.0,98.0,105.0,99.0,89.0,72.0,-15.9,-14.8,
4.0,Blake Griffin,22.0,LAC,PF,66.0,66.0,2392.0,0.549,0.556,0.125,0.55,0.521,0.557,0.458,0.016,123.0,117.0,36.0,113.0,69.0,106.0,166.0,7.0,128.0,73.5,"AS,NBA2"
5.0,John Wall,21.0,WAS,PG,66.0,66.0,2386.0,0.423,0.44,0.071,0.424,0.789,0.502,0.45,0.047,94.0,92.0,20.0,87.0,105.0,95.0,163.0,21.0,-112.3,-52.9,
6.0,Marc Gasol,27.0,MEM,C,65.0,65.0,2370.0,0.482,0.489,0.083,0.483,0.748,0.541,0.428,0.016,108.0,103.0,24.0,99.0,99.0,103.0,155.0,7.0,-6.2,24.8,"DPOY-12,AS"
7.0,Brandon Jennings,22.0,MIL,PG,66.0,66.0,2331.0,0.418,0.464,0.332,0.476,0.808,0.514,0.213,0.346,93.0,97.0,95.0,98.0,107.0,97.0,77.0,153.0,-25.5,-32.6,
8.0,Russell Westbrook,23.0,OKC,PG,66.0,66.0,2331.0,0.457,0.482,0.316,0.481,0.823,0.538,0.326,0.155,102.0,101.0,91.0,99.0,109.0,102.0,118.0,69.0,-15.8,31.8,"MVP-12,DPOY-18,AS,NBA2"
9.0,Josh Smith,26.0,ATL,PF,66.0,66.0,2329.0,0.458,0.48,0.257,0.47,0.63,0.499,0.292,0.099,102.0,101.0,74.0,97.0,84.0,95.0,106.0,44.0,-37.0,-71.0,DPOY-10
10.0,LeBron James,27.0,MIA,SF,62.0,62.0,2326.0,0.531,0.556,0.362,0.554,0.771,0.605,0.429,0.127,119.0,117.0,104.0,114.0,102.0,115.0,156.0,56.0,156.7,217.8,"MVP-1,DPOY-4,AS,NBA1,DEF1"
11.0,Kobe Bryant,33.0,LAL,SG,58.0,58.0,2232.0,0.43,0.464,0.303,0.462,0.845,0.527,0.338,0.215,96.0,97.0,87.0,95.0,112.0,100.0,122.0,95.0,-67.1,-1.6,"MVP-4,AS,NBA1,DEF2"
12.0,Wesley Matthews,25.0,POR,SG,66.0,53.0,2228.0,0.412,0.434,0.383,0.496,0.86,0.539,0.224,0.442,92.0,91.0,110.0,102.0,114.0,102.0,81.0,196.0,13.4,20.3,
13.0,Andre Iguodala,28.0,PHI,SF,62.0,62.0,2209.0,0.454,0.481,0.394,0.514,0.617,0.537,0.31,0.305,101.0,101.0,113.0,106.0,82.0,102.0,112.0,135.0,34.1,13.8,"DPOY-7,AS"
14.0,DeMar DeRozan,22.0,TOR,SG,63.0,63.0,2206.0,0.422,0.44,0.261,0.435,0.81,0.503,0.367,0.102,94.0,92.0,75.0,89.0,108.0,95.0,133.0,45.0,-94.1,-51.5,
15.0,Jrue Holiday,21.0,PHI,PG,65.0,65.0,2196.0,0.432,0.445,0.38,0.471,0.783,0.496,0.144,0.205,96.0,93.0,109.0,97.0,104.0,94.0,52.0,91.0,-27.8,-55.9,
16.0,Jeff Teague,23.0,ATL,PG,66.0,66.0,2183.0,0.476,0.514,0.342,0.514,0.757,0.551,0.275,0.222,106.0,108.0,98.0,106.0,101.0,105.0,100.0,98.0,36.1,36.8,
17.0,Chris Paul,26.0,LAC,PG,60.0,60.0,2181.0,0.478,0.511,0.371,0.522,0.861,0.581,0.339,0.239,107.0,107.0,106.0,107.0,114.0,110.0,123.0,106.0,61.6,110.7,"MVP-3,DPOY-12,AS,NBA1,DEF1"
18.0,Mike Conley,24.0,MEM,PG,62.0,61.0,2174.0,0.433,0.45,0.377,0.477,0.861,0.523,0.231,0.232,97.0,94.0,108.0,98.0,114.0,99.0,84.0,103.0,-14.6,-6.4,DPOY-14
19.0,Tyreke Evans,22.0,SAC,SG,63.0,61.0,2162.0,0.453,0.484,0.202,0.464,0.779,0.512,0.287,0.11,101.0,102.0,58.0,95.0,104.0,97.0,104.0,49.0,-41.1,-31.5,
20.0,Kris Humphries,26.0,NJN,PF,62.0,62.0,2162.0,0.481,0.481,,0.481,0.752,0.539,0.414,0.0,107.0,101.0,,99.0,100.0,102.0,150.0,0.0,-8.0,18.7,
21.0,Antawn Jamison,35.0,CLE,PF,65.0,65.0,2151.0,0.403,0.425,0.341,0.447,0.683,0.481,0.26,0.256,90.0,89.0,98.0,92.0,91.0,91.0,94.0,113.0,-84.5,-108.3,
22.0,Kevin Love,23.0,MIN,PF,55.0,55.0,2145.0,0.448,0.475,0.372,0.497,0.824,0.568,0.434,0.266,100.0,100.0,107.0,102.0,109.0,108.0,157.0,118.0,20.9,102.2,"MVP-6,AS,NBA2"
23.0,Brandon Knight,20.0,DET,PG,66.0,60.0,2129.0,0.415,0.434,0.38,0.483,0.759,0.511,0.178,0.359,93.0,91.0,109.0,99.0,101.0,97.0,65.0,159.0,-6.5,-27.2,ROY-8
24.0,Luol Deng,26.0,CHI,SF,54.0,54.0,2129.0,0.412,0.43,0.367,0.464,0.77,0.5,0.219,0.285,92.0,90.0,105.0,95.0,102.0,95.0,79.0,126.0,-34.8,-44.5,"DPOY-9,AS,DEF2"
25.0,Joe Johnson,30.0,ATL,SG,60.0,60.0,2127.0,0.454,0.489,0.388,0.521,0.849,0.557,0.2,0.346,101.0,103.0,111.0,107.0,113.0,106.0,72.0,153.0,63.7,61.3,"MVP-15,AS"
26.0,Ty Lawson,24.0,DEN,PG,61.0,61.0,2124.0,0.488,0.531,0.365,0.535,0.824,0.579,0.282,0.261,109.0,111.0,105.0,110.0,110.0,110.0,102.0,116.0,73.5,90.2,
27.0,David Lee,28.0,GSW,PF,57.0,57.0,2121.0,0.503,0.506,0.0,0.503,0.782,0.549,0.304,0.005,112.0,106.0,0.0,103.0,104.0,104.0,110.0,2.0,29.4,45.1,
28.0,Monta Ellis,26.0,2TM,SG,58.0,58.0,2120.0,0.433,0.462,0.308,0.463,0.796,0.509,0.264,0.193,97.0,97.0,88.0,95.0,106.0,96.0,96.0,86.0,-51.6,-42.9,
28.0,Monta Ellis,26.0,GSW,SG,37.0,37.0,1365.0,0.433,0.465,0.321,0.469,0.812,0.516,0.264,0.222,97.0,98.0,92.0,96.0,108.0,98.0,96.0,98.0,-26.1,-17.4,
28.0,Monta Ellis,26.0,MIL,SG,21.0,21.0,755.0,0.432,0.457,0.267,0.449,0.764,0.493,0.265,0.134,96.0,96.0,76.0,92.0,102.0,94.0,96.0,59.0,-25.5,-25.5,
29.0,Marcin Gortat,27.0,PHO,C,66.0,66.0,2114.0,0.555,0.557,0.0,0.555,0.649,0.578,0.326,0.003,124.0,117.0,0.0,114.0,86.0,110.0,118.0,1.0,104.5,89.9,
30.0,Andrew Bynum,24.0,LAL,C,60.0,60.0,2112.0,0.558,0.56,0.2,0.558,0.692,0.594,0.425,0.006,125.0,117.0,57.0,115.0,92.0,113.0,154.0,3.0,113.2,127.1,"AS,NBA2"
31.0,Paul Millsap,26.0,UTA,PF,64.0,62.0,2100.0,0.495,0.505,0.226,0.499,0.792,0.545,0.296,0.036,110.0,106.0,65.0,102.0,105.0,103.0,107.0,16.0,19.9,35.0,
32.0,Tayshaun Prince,31.0,DET,SF,63.0,63.0,2087.0,0.421,0.431,0.356,0.444,0.774,0.47,0.144,0.13,94.0,90.0,102.0,91.0,103.0,89.0,52.0,58.0,-68.7,-96.6,
33.0,Arron Afflalo,26.0,DEN,SG,62.0,62.0,2086.0,0.471,0.504,0.398,0.534,0.798,0.584,0.353,0.316,105.0,106.0,114.0,110.0,106.0,111.0,128.0,140.0,64.8,91.5,
34.0,Greg Monroe,21.0,DET,C,66.0,66.0,2082.0,0.521,0.522,0.0,0.521,0.739,0.563,0.348,0.001,116.0,109.0,0.0,107.0,98.0,107.0,126.0,1.0,52.8,65.5,DPOY-18
35.0,Dirk Nowitzki,33.0,DAL,PF,62.0,62.0,2079.0,0.457,0.481,0.368,0.495,0.896,0.564,0.343,0.205,102.0,101.0,105.0,102.0,119.0,107.0,124.0,91.0,16.3,87.3,"MVP-12,AS,NBA3"
36.0,Gerald Wallace,29.0,2TM,SF,58.0,58.0,2076.0,0.454,0.5,0.307,0.491,0.8,0.547,0.356,0.237,101.0,105.0,88.0,101.0,106.0,104.0,129.0,105.0,4.0,29.4,
36.0,Gerald Wallace,29.0,POR,SF,42.0,42.0,1503.0,0.472,0.533,0.265,0.502,0.776,0.556,0.374,0.228,105.0,112.0,76.0,103.0,103.0,105.0,136.0,101.0,12.9,29.0,
36.0,Gerald Wallace,29.0,NJN,SF,16.0,16.0,573.0,0.416,0.427,0.385,0.465,0.859,0.528,0.317,0.257,93.0,89.0,110.0,95.0,114.0,100.0,115.0,114.0,-8.9,0.4,
