Year,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2000,0.42851030927835054,0.44910051546391755,0.26365721649484536,0.46026546391752576,0.7450231958762887,0.502229381443299,0.2885721649484536,0.19239175257731958,95.51030927835052,96.00515463917526,74.67268041237114,96.25515463917526,99.29896907216495,96.0360824742268,93.69845360824742,115.1520618556701,-1.6170103092783505,-1.6394329896907216
2001,0.4246196172248804,0.44069138755980863,0.26278229665071773,0.45455023923444976,0.7379832535885167,0.4964090909090909,0.2942129186602871,0.17771052631578949,95.88516746411483,95.56459330143541,74.33492822966507,96.11722488038278,98.70334928229666,95.85885167464114,95.34928229665071,104.49282296650718,-1.105263157894737,-1.1966507177033492
2002,0.4246425,0.4465025,0.264805,0.456905,0.7448075,0.49754,0.2745325,0.19799500000000003,95.4225,95.95,74.895,95.7325,98.9875,95.635,93.6125,109.1125,-0.7025,-1.1622499999999998
2003,0.42045,0.4409526315789474,0.26794210526315787,0.4525921052631579,0.7418,0.49513421052631584,0.28731842105263156,0.19553947368421054,95.07631578947368,95.29473684210527,76.65263157894736,95.51842105263158,97.86842105263158,95.34473684210526,94.99473684210527,107.59736842105264,-0.9373684210526317,-0.7192105263157893
2004,0.41899322799097066,0.4365553047404063,0.2702234762979684,0.45299548532731376,0.7464288939051918,0.4952483069977427,0.28205417607223476,0.20063882618510157,95.52821670428894,94.97291196388262,77.83069977426636,96.13995485327314,99.32505643340858,95.941309255079,93.00902934537245,107.27765237020316,-0.9715575620767494,-0.8237020316027087
2005,0.4249698924731183,0.4461397849462366,0.2686193548387097,0.4620043010752688,0.7432903225806452,0.5046967741935484,0.29841505376344085,0.21893548387096776,94.96559139784947,94.9268817204301,75.57849462365591,95.76559139784946,98.3225806451613,95.32043010752689,91.9978494623656,111.67956989247311,-2.21741935483871,-2.596774193548387
2006,0.4283879907621247,0.4517806004618938,0.2751039260969977,0.46600461893764433,0.7332956120092379,0.5094157043879908,0.31733025404157045,0.22705080831408778,94.41801385681293,94.52655889145497,76.78983833718245,95.10161662817552,98.39030023094688,95.11316397228637,95.28406466512702,112.18706697459584,-1.8189376443418015,-1.2498845265588914
2007,0.4355378973105134,0.4626968215158924,0.2718606356968215,0.47577995110024446,0.7519877750611247,0.5196821515892421,0.3148239608801956,0.2404083129584352,95.05134474327629,95.35696821515893,75.93887530562347,95.86063569682152,99.97799511002445,95.9877750611247,96.23716381418093,113.12224938875306,-2.468215158924205,-1.332762836185819
2008,0.4331079913606911,0.45947300215982717,0.2711684665226782,0.47582721382289417,0.745535637149028,0.5147688984881209,0.2866889848812095,0.25139308855291576,94.7451403887689,94.8488120950324,74.89848812095032,95.66738660907127,98.66738660907127,95.27861771058315,93.68466522678186,113.16198704103672,-2.11036717062635,-2.036501079913607
2009,0.43453205128205125,0.45781837606837605,0.29258974358974355,0.47844017094017094,0.7492735042735044,0.5180405982905983,0.2820705128205129,0.25266880341880343,94.73504273504274,94.34401709401709,79.77991452991454,95.7457264957265,97.22863247863248,95.1517094017094,92.26282051282051,112.82264957264957,-1.6499999999999995,-1.1664529914529913
2010,0.4384915966386555,0.47034243697478995,0.26893907563025204,0.47993907563025207,0.7346302521008404,0.5179831932773109,0.2924936974789916,0.25177100840336136,95.04201680672269,95.64915966386555,75.83403361344538,95.82773109243698,96.82773109243698,95.40126050420169,97.36134453781513,113.41806722689076,-2.956302521008403,-2.747058823529412
2011,0.43762776659959757,0.4644989939637827,0.28443460764587525,0.4825875251509054,0.7340060362173038,0.5192072434607645,0.282374245472837,0.2595412474849094,95.43259557344065,95.3420523138833,79.36619718309859,96.85915492957747,96.12273641851107,95.89134808853119,94.13883299798793,116.99195171026157,-1.7593561368209254,-1.409657947686117
2012,0.42485746606334845,0.4557533936651584,0.2731877828054299,0.4672307692307692,0.7338280542986425,0.503606334841629,0.26176923076923075,0.2603914027149321,94.8529411764706,95.59049773755656,78.35746606334841,95.86651583710407,97.5158371040724,95.54072398190046,94.8868778280543,115.36425339366515,-1.1757918552036197,-0.9312217194570136
2013,0.4256914893617021,0.45737021276595746,0.28330425531914893,0.4728425531914893,0.7391702127659575,0.5088212765957447,0.2539744680851064,0.28092978723404255,94.00638297872341,94.70638297872341,78.97872340425532,95.24255319148936,98.18936170212766,95.17021276595744,93.87659574468086,115.41063829787234,-1.633191489361702,-1.5561702127659574
2014,0.4276224899598393,0.4635240963855422,0.28915261044176704,0.47839357429718876,0.7403815261044177,0.5141787148594377,0.2653433734939759,0.30401204819277106,94.0863453815261,95.05622489959839,80.3995983935743,95.48995983935743,97.9136546184739,95.070281124498,93.37349397590361,117.16465863453816,-2.63995983935743,-2.1393574297188755
