Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Monta Ellis,25.0,GSW,SG,80.0,80.0,3227.0,0.451,0.478,0.361,0.493,0.789,0.536,0.268,0.235,98.0,98.0,101.0,99.0,103.0,99.0,89.0,106.0,-16.7,-20.8,
2.0,LaMarcus Aldridge,25.0,POR,PF,81.0,81.0,3211.0,0.5,0.505,0.174,0.501,0.791,0.549,0.314,0.016,109.0,104.0,49.0,101.0,104.0,101.0,105.0,7.0,7.6,25.3,NBA3
3.0,Luol Deng,25.0,CHI,SF,82.0,82.0,3208.0,0.46,0.506,0.345,0.51,0.753,0.549,0.291,0.288,100.0,104.0,96.0,102.0,99.0,101.0,97.0,130.0,25.8,19.3,DPOY-10
4.0,Dorell Wright,25.0,GSW,SF,82.0,82.0,3147.0,0.423,0.462,0.376,0.508,0.789,0.539,0.199,0.45,92.0,95.0,105.0,102.0,103.0,100.0,66.0,203.0,21.8,-5.5,
5.0,Blake Griffin,21.0,LAC,PF,82.0,82.0,3112.0,0.506,0.51,0.292,0.508,0.642,0.549,0.505,0.017,110.0,105.0,81.0,102.0,84.0,101.0,168.0,8.0,27.5,23.9,"MVP-10,ROY-1,AS"
6.0,LeBron James,26.0,MIA,SF,79.0,79.0,3063.0,0.51,0.552,0.33,0.541,0.759,0.594,0.446,0.188,111.0,113.0,92.0,109.0,99.0,110.0,149.0,85.0,127.9,187.1,"MVP-3,DPOY-9,AS,NBA1,DEF1"
7.0,Kevin Durant,22.0,OKC,SF,78.0,78.0,3038.0,0.462,0.504,0.35,0.509,0.88,0.589,0.439,0.269,101.0,103.0,98.0,102.0,115.0,109.0,146.0,121.0,34.0,174.0,"MVP-5,AS,NBA1"
8.0,Pau Gasol,30.0,LAL,C,82.0,82.0,3037.0,0.529,0.53,0.333,0.53,0.823,0.589,0.384,0.003,115.0,109.0,93.0,106.0,108.0,109.0,128.0,1.0,70.7,123.4,"AS,NBA2"
9.0,Derrick Rose,22.0,CHI,PG,81.0,81.0,3026.0,0.445,0.481,0.332,0.485,0.858,0.55,0.348,0.241,97.0,99.0,93.0,97.0,112.0,102.0,116.0,109.0,-41.8,32.3,"MVP-1,AS,NBA1"
10.0,Al Jefferson,26.0,UTA,C,82.0,82.0,2940.0,0.496,0.496,,0.496,0.761,0.528,0.219,0.0,108.0,102.0,,99.0,100.0,98.0,73.0,0.0,-6.7,-37.9,
