Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Allen Iverson,27.0,PHI,SG,82.0,82.0,3485.0,0.414,0.44,0.277,0.436,0.774,0.5,0.379,0.156,94.0,95.0,79.0,92.0,102.0,96.0,125.0,86.0,-146.7,-89.5,"MVP-6,DPOY-6,AS,NBA2"
2.0,Kobe Bryant,24.0,LAL,SG,82.0,82.0,3401.0,0.451,0.465,0.383,0.483,0.843,0.55,0.371,0.168,102.0,100.0,110.0,102.0,111.0,106.0,123.0,93.0,36.5,136.6,"MVP-3,DPOY-8,AS,NBA1,DEF1"
3.0,Shawn Marion,24.0,PHO,SF,81.0,81.0,3373.0,0.452,0.473,0.387,0.5,0.851,0.538,0.201,0.248,102.0,102.0,111.0,105.0,112.0,104.0,67.0,137.0,75.6,58.4,"DPOY-13,AS"
4.0,Jalen Rose,30.0,CHI,SF,82.0,82.0,3351.0,0.406,0.416,0.37,0.448,0.854,0.508,0.295,0.227,92.0,90.0,106.0,94.0,113.0,98.0,98.0,125.0,-83.3,-41.7,
5.0,Kevin Garnett,26.0,MIN,PF,82.0,82.0,3321.0,0.502,0.513,0.282,0.508,0.751,0.553,0.339,0.048,113.0,111.0,81.0,107.0,99.0,107.0,112.0,26.0,102.4,115.2,"MVP-2,DPOY-3,AS,NBA1,DEF1"
6.0,Jamal Mashburn,30.0,NOH,SF,82.0,81.0,3321.0,0.422,0.43,0.389,0.46,0.848,0.507,0.233,0.193,96.0,93.0,111.0,97.0,112.0,98.0,77.0,106.0,-44.2,-44.1,"MVP-11,AS,NBA3"
7.0,Steve Francis,25.0,HOU,PG,81.0,81.0,3318.0,0.435,0.453,0.354,0.468,0.8,0.541,0.454,0.183,98.0,98.0,101.0,99.0,106.0,104.0,150.0,101.0,-16.5,68.3,AS
8.0,Stephon Marbury,25.0,PHO,PG,81.0,81.0,3240.0,0.439,0.472,0.301,0.468,0.803,0.52,0.305,0.193,99.0,102.0,86.0,99.0,106.0,100.0,101.0,106.0,-19.1,3.3,"AS,NBA3"
9.0,Antoine Walker,26.0,BOS,PF,78.0,78.0,3235.0,0.388,0.427,0.323,0.449,0.615,0.467,0.184,0.375,88.0,92.0,92.0,95.0,81.0,90.0,61.0,206.0,-78.8,-174.9,AS
10.0,Antawn Jamison,26.0,GSW,SF,82.0,82.0,3226.0,0.47,0.496,0.311,0.492,0.789,0.542,0.323,0.142,106.0,107.0,89.0,104.0,104.0,104.0,107.0,78.0,52.8,77.0,
11.0,Gary Payton,34.0,2TM,PG,80.0,80.0,3208.0,0.454,0.476,0.297,0.472,0.71,0.504,0.24,0.124,103.0,103.0,85.0,100.0,94.0,97.0,79.0,68.0,-5.4,-49.7,"DPOY-11,AS"
