Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
23.0,Thaddeus Young,29.0,IND,PF,81.0,81.0,2607.0,0.487,0.531,0.32,0.521,0.598,0.528,0.106,0.209,106.0,104.0,89.0,100.0,78.0,95.0,42.0,62.0,-0.6,-51.0,
24.0,Lou Williams,31.0,LAC,SG,79.0,19.0,2589.0,0.435,0.484,0.359,0.505,0.88,0.574,0.367,0.387,95.0,95.0,99.0,97.0,115.0,103.0,146.0,115.0,-43.6,54.6,6MOY-1
25.0,E'Twaun Moore,28.0,NOP,SG,82.0,80.0,2586.0,0.508,0.556,0.425,0.585,0.706,0.593,0.082,0.362,110.0,109.0,118.0,112.0,92.0,107.0,32.0,107.0,106.8,63.3,
26.0,Joe Ingles,30.0,UTA,SF,82.0,81.0,2578.0,0.467,0.516,0.44,0.609,0.795,0.623,0.116,0.646,101.0,101.0,122.0,117.0,104.0,112.0,46.0,192.0,125.6,100.8,
27.0,Jamal Murray,20.0,DEN,PG,81.0,80.0,2565.0,0.451,0.502,0.378,0.529,0.905,0.576,0.238,0.411,98.0,98.0,105.0,101.0,118.0,104.0,95.0,122.0,16.0,46.9,
28.0,Victor Oladipo,25.0,IND,SG,75.0,75.0,2552.0,0.477,0.528,0.371,0.537,0.799,0.577,0.274,0.323,104.0,103.0,103.0,103.0,104.0,104.0,109.0,96.0,42.2,62.2,"MVP-13,DPOY-15,MIP-1,AS,NBA3,DEF1"
29.0,James Harden,28.0,HOU,SG,72.0,72.0,2551.0,0.449,0.531,0.367,0.541,0.858,0.619,0.502,0.498,98.0,104.0,101.0,104.0,112.0,111.0,199.0,148.0,56.6,223.5,"MVP-1,AS,NBA1"
30.0,Robert Covington,27.0,PHI,SF,80.0,80.0,2532.0,0.413,0.497,0.369,0.534,0.853,0.563,0.163,0.658,90.0,97.0,102.0,102.0,111.0,101.0,65.0,195.0,21.6,12.6,"DPOY-8,DEF1"
31.0,Kyle Lowry,31.0,TOR,PG,78.0,78.0,2510.0,0.427,0.474,0.399,0.553,0.854,0.598,0.276,0.631,93.0,93.0,110.0,106.0,111.0,108.0,110.0,187.0,60.0,89.3,AS
32.0,LaMarcus Aldridge,32.0,SAS,C,75.0,75.0,2509.0,0.51,0.526,0.293,0.52,0.837,0.57,0.296,0.068,111.0,103.0,81.0,100.0,109.0,102.0,118.0,20.0,-3.1,41.5,"MVP-9,AS,NBA2"
33.0,Klay Thompson,27.0,GSW,SG,73.0,73.0,2506.0,0.488,0.526,0.44,0.585,0.837,0.598,0.083,0.442,106.0,103.0,122.0,112.0,109.0,107.0,33.0,131.0,150.1,101.6,"DPOY-11,AS"
34.0,Carmelo Anthony,33.0,OKC,PF,78.0,78.0,2501.0,0.404,0.437,0.357,0.476,0.767,0.503,0.165,0.406,88.0,86.0,99.0,91.0,100.0,90.0,66.0,120.0,-104.5,-132.6,
35.0,Steven Adams,24.0,OKC,C,76.0,76.0,2487.0,0.629,0.631,0.0,0.629,0.559,0.63,0.402,0.003,137.0,124.0,0.0,121.0,73.0,113.0,159.0,1.0,153.8,124.1,DPOY-12
36.0,Taurean Prince,23.0,ATL,SF,82.0,82.0,2464.0,0.426,0.461,0.385,0.516,0.844,0.549,0.185,0.469,92.0,90.0,106.0,99.0,110.0,99.0,73.0,139.0,-10.3,-14.6,
37.0,Bojan BogdanoviÄ,28.0,IND,SF,80.0,80.0,2464.0,0.474,0.534,0.402,0.565,0.868,0.605,0.241,0.453,103.0,105.0,111.0,108.0,113.0,109.0,96.0,134.0,74.9,93.0,
38.0,Dwight Howard,32.0,CHO,C,81.0,81.0,2463.0,0.555,0.559,0.143,0.556,0.574,0.577,0.639,0.008,121.0,109.0,39.0,107.0,75.0,104.0,254.0,2.0,63.4,48.9,
39.0,Kentavious Caldwell-Pope,24.0,LAL,SG,74.0,74.0,2458.0,0.426,0.473,0.383,0.526,0.789,0.561,0.243,0.52,93.0,93.0,106.0,101.0,103.0,101.0,97.0,154.0,7.2,9.4,
