Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Kevin Durant,25.0,OKC,SF,81.0,81.0,3122.0,0.503,0.549,0.391,0.56,0.873,0.635,0.477,0.291,111.0,113.0,109.0,112.0,116.0,117.0,168.0,112.0,198.4,383.9,"MVP-1,AS,NBA1"
2.0,Monta Ellis,28.0,DAL,SG,82.0,82.0,3023.0,0.451,0.474,0.33,0.478,0.788,0.532,0.336,0.164,99.0,97.0,92.0,95.0,104.0,98.0,118.0,63.0,-59.8,-27.1,
3.0,DeMar DeRozan,24.0,TOR,SG,79.0,79.0,3017.0,0.429,0.451,0.305,0.452,0.824,0.532,0.448,0.149,94.0,93.0,85.0,90.0,109.0,98.0,158.0,58.0,-138.0,-30.9,AS
4.0,Carmelo Anthony,29.0,NYK,PF,77.0,77.0,2982.0,0.452,0.469,0.402,0.503,0.848,0.561,0.329,0.253,100.0,96.0,112.0,100.0,112.0,104.0,116.0,97.0,6.5,77.2,"MVP-15,AS"
5.0,John Wall,23.0,WAS,PG,82.0,82.0,2980.0,0.433,0.458,0.351,0.473,0.805,0.524,0.295,0.23,95.0,94.0,97.0,94.0,106.0,97.0,104.0,89.0,-73.9,-50.8,AS
6.0,Nicolas Batum,25.0,POR,SF,82.0,82.0,2956.0,0.465,0.566,0.361,0.554,0.803,0.589,0.248,0.491,102.0,116.0,100.0,111.0,106.0,109.0,87.0,189.0,86.2,87.4,
7.0,Damian Lillard,23.0,POR,PG,82.0,82.0,2937.0,0.424,0.447,0.394,0.508,0.871,0.568,0.327,0.425,93.0,92.0,109.0,101.0,115.0,105.0,115.0,164.0,17.2,81.6,"AS,NBA3"
8.0,LeBron James,29.0,MIA,PF,77.0,77.0,2902.0,0.567,0.622,0.379,0.61,0.75,0.649,0.432,0.226,125.0,128.0,105.0,122.0,99.0,120.0,152.0,87.0,294.1,347.0,"MVP-2,DPOY-6,AS,NBA1,DEF2"
9.0,Paul George,23.0,IND,SF,80.0,80.0,2898.0,0.424,0.458,0.364,0.49,0.864,0.555,0.341,0.367,93.0,94.0,101.0,98.0,114.0,103.0,120.0,141.0,-28.9,42.8,"MVP-9,DPOY-7,AS,NBA3,DEF1"
10.0,DeAndre Jordan,25.0,LAC,C,82.0,82.0,2870.0,0.676,0.676,,0.676,0.428,0.63,0.726,0.0,149.0,139.0,,135.0,57.0,116.0,256.0,0.0,179.9,120.9,DPOY-3
11.0,Klay Thompson,23.0,GSW,SG,81.0,81.0,2868.0,0.444,0.464,0.417,0.533,0.795,0.555,0.147,0.425,98.0,95.0,116.0,106.0,105.0,103.0,52.0,164.0,79.3,38.0,
12.0,Blake Griffin,24.0,LAC,PF,80.0,80.0,2863.0,0.528,0.537,0.273,0.533,0.715,0.583,0.496,0.032,116.0,110.0,76.0,106.0,95.0,108.0,174.0,12.0,86.1,139.1,"MVP-3,AS,NBA2"
13.0,Kyle Lowry,27.0,TOR,PG,79.0,79.0,2862.0,0.423,0.46,0.38,0.511,0.813,0.567,0.356,0.463,93.0,94.0,106.0,102.0,108.0,105.0,125.0,178.0,21.7,65.5,
14.0,Stephen Curry,25.0,GSW,PG,78.0,78.0,2846.0,0.471,0.509,0.424,0.566,0.885,0.61,0.252,0.445,104.0,104.0,118.0,113.0,117.0,113.0,89.0,171.0,179.0,211.3,"MVP-6,AS,NBA2"
15.0,Joakim Noah,28.0,CHI,C,80.0,80.0,2820.0,0.475,0.476,0.0,0.475,0.737,0.531,0.419,0.003,105.0,98.0,0.0,95.0,98.0,98.0,147.0,1.0,-41.7,-17.8,"MVP-4,DPOY-1,AS,NBA1,DEF1"
16.0,Jeff Green,27.0,BOS,SF,82.0,82.0,2805.0,0.412,0.448,0.341,0.469,0.795,0.52,0.304,0.338,91.0,92.0,95.0,94.0,105.0,96.0,107.0,130.0,-74.5,-54.2,
17.0,Gordon Hayward,23.0,UTA,SF,77.0,77.0,2800.0,0.413,0.453,0.304,0.454,0.816,0.52,0.369,0.271,91.0,93.0,84.0,91.0,108.0,96.0,130.0,105.0,-97.2,-49.7,
18.0,Kevin Love,25.0,MIN,PF,77.0,77.0,2797.0,0.457,0.502,0.376,0.524,0.821,0.591,0.445,0.355,101.0,103.0,105.0,105.0,109.0,109.0,157.0,137.0,65.9,171.6,"MVP-11,AS,NBA2"
19.0,Chandler Parsons,25.0,HOU,SF,74.0,74.0,2783.0,0.472,0.528,0.37,0.538,0.742,0.565,0.224,0.356,104.0,108.0,103.0,107.0,98.0,105.0,79.0,137.0,72.9,53.1,
20.0,Wesley Matthews,27.0,POR,SG,82.0,82.0,2780.0,0.441,0.49,0.393,0.541,0.837,0.588,0.298,0.506,97.0,100.0,109.0,108.0,111.0,109.0,105.0,195.0,79.8,108.3,
21.0,James Harden,24.0,HOU,SG,73.0,73.0,2777.0,0.456,0.515,0.366,0.529,0.866,0.618,0.552,0.401,100.0,106.0,102.0,106.0,115.0,114.0,194.0,154.0,67.4,231.0,"MVP-5,AS,NBA1"
22.0,Lance Stephenson,23.0,IND,SG,78.0,78.0,2752.0,0.491,0.545,0.352,0.54,0.711,0.564,0.226,0.28,108.0,112.0,98.0,108.0,94.0,104.0,80.0,108.0,68.1,45.1,
23.0,Josh Smith,28.0,DET,SF,77.0,76.0,2730.0,0.419,0.462,0.264,0.448,0.532,0.463,0.244,0.215,92.0,95.0,73.0,89.0,70.0,86.0,86.0,83.0,-131.7,-213.1,
24.0,Brandon Jennings,24.0,DET,PG,80.0,79.0,2728.0,0.373,0.397,0.337,0.441,0.751,0.486,0.283,0.403,82.0,81.0,94.0,88.0,99.0,90.0,100.0,155.0,-137.4,-139.6,
25.0,Trevor Ariza,28.0,WAS,SF,77.0,77.0,2723.0,0.456,0.509,0.407,0.562,0.772,0.59,0.226,0.518,100.0,104.0,113.0,112.0,102.0,109.0,80.0,200.0,103.2,92.4,DPOY-15
26.0,Thaddeus Young,25.0,PHI,PF,79.0,78.0,2718.0,0.454,0.496,0.308,0.489,0.712,0.512,0.178,0.228,100.0,102.0,86.0,98.0,94.0,95.0,63.0,88.0,-31.8,-79.9,
27.0,Zach Randolph,32.0,MEM,PF,79.0,79.0,2705.0,0.467,0.474,0.1,0.468,0.742,0.51,0.281,0.017,103.0,97.0,28.0,93.0,98.0,94.0,99.0,6.0,-78.6,-84.3,
28.0,Greg Monroe,23.0,DET,PF,82.0,82.0,2690.0,0.497,0.497,0.0,0.497,0.657,0.531,0.362,0.001,109.0,102.0,0.0,99.0,87.0,98.0,127.0,0.0,-9.2,-23.7,
29.0,Goran DragiÄ,27.0,PHO,SG,76.0,75.0,2668.0,0.505,0.542,0.408,0.561,0.76,0.604,0.381,0.274,111.0,111.0,113.0,112.0,100.0,112.0,134.0,105.0,130.6,161.6,"MVP-16,MIP-1,NBA3"
30.0,Serge Ibaka,24.0,OKC,PF,81.0,81.0,2666.0,0.536,0.546,0.383,0.548,0.784,0.576,0.203,0.061,118.0,112.0,107.0,109.0,104.0,106.0,72.0,24.0,90.9,74.3,"DPOY-4,DEF1"
31.0,Marcin Gortat,29.0,WAS,C,81.0,80.0,2655.0,0.542,0.541,1.0,0.542,0.686,0.568,0.273,0.001,119.0,111.0,278.0,108.0,91.0,105.0,96.0,0.0,69.2,50.3,
32.0,Ricky Rubio,23.0,MIN,PG,82.0,82.0,2638.0,0.381,0.393,0.331,0.413,0.802,0.491,0.422,0.199,84.0,81.0,92.0,83.0,106.0,91.0,149.0,77.0,-117.4,-78.5,
33.0,Dirk Nowitzki,35.0,DAL,PF,80.0,80.0,2628.0,0.497,0.532,0.398,0.549,0.899,0.603,0.295,0.258,109.0,109.0,111.0,110.0,119.0,112.0,104.0,100.0,121.3,179.0,"MVP-14,AS"
34.0,Andre Drummond,20.0,DET,C,81.0,81.0,2619.0,0.623,0.625,0.0,0.623,0.418,0.599,0.427,0.003,137.0,128.0,0.0,124.0,55.0,111.0,150.0,1.0,187.3,107.0,
35.0,Kemba Walker,23.0,CHA,PG,73.0,73.0,2614.0,0.393,0.417,0.333,0.441,0.837,0.499,0.295,0.286,86.0,85.0,93.0,88.0,111.0,92.0,104.0,110.0,-138.5,-107.8,
36.0,Corey Brewer,27.0,MIN,SF,81.0,81.0,2609.0,0.481,0.552,0.28,0.517,0.718,0.55,0.281,0.261,106.0,113.0,78.0,103.0,95.0,102.0,99.0,101.0,26.3,17.0,
37.0,Robin Lopez,25.0,POR,C,82.0,82.0,2603.0,0.551,0.552,0.0,0.551,0.818,0.605,0.376,0.002,121.0,113.0,0.0,110.0,108.0,112.0,132.0,1.0,64.6,96.2,
38.0,Tristan Thompson,22.0,CLE,PF,82.0,82.0,2594.0,0.477,0.478,0.0,0.477,0.693,0.528,0.445,0.001,105.0,98.0,0.0,95.0,92.0,98.0,157.0,1.0,-36.6,-23.6,
39.0,Jimmy Butler,24.0,CHI,SG,67.0,67.0,2591.0,0.397,0.457,0.283,0.446,0.769,0.522,0.488,0.346,87.0,94.0,79.0,89.0,102.0,96.0,172.0,133.0,-76.5,-32.5,DEF2
40.0,Mike Dunleavy,33.0,CHI,SF,82.0,61.0,2584.0,0.43,0.467,0.38,0.51,0.854,0.549,0.212,0.419,95.0,96.0,106.0,102.0,113.0,101.0,75.0,161.0,13.3,13.7,
41.0,Joe Johnson,32.0,BRK,SG,79.0,79.0,2575.0,0.454,0.489,0.401,0.533,0.815,0.564,0.192,0.397,100.0,100.0,111.0,106.0,108.0,104.0,67.0,153.0,65.8,51.0,AS
42.0,Jodie Meeks,26.0,LAL,SG,77.0,70.0,2556.0,0.463,0.514,0.401,0.554,0.857,0.601,0.289,0.453,102.0,105.0,111.0,111.0,113.0,111.0,102.0,175.0,94.1,121.3,
43.0,Al Jefferson,29.0,CHA,C,73.0,73.0,2553.0,0.509,0.512,0.2,0.51,0.69,0.532,0.201,0.011,112.0,105.0,56.0,102.0,91.0,98.0,71.0,4.0,24.0,-26.3,"MVP-8,NBA3"
44.0,Arron Afflalo,28.0,ORL,SG,73.0,73.0,2552.0,0.459,0.473,0.427,0.522,0.815,0.574,0.332,0.297,101.0,97.0,119.0,104.0,108.0,106.0,117.0,114.0,42.8,76.4,
45.0,Jeff Teague,25.0,ATL,PG,79.0,79.0,2542.0,0.438,0.469,0.329,0.474,0.846,0.541,0.362,0.216,96.0,96.0,91.0,95.0,112.0,100.0,127.0,83.0,-56.2,0.0,
46.0,Chris Bosh,29.0,MIA,C,79.0,79.0,2531.0,0.516,0.569,0.339,0.555,0.82,0.597,0.285,0.229,114.0,117.0,94.0,111.0,108.0,110.0,100.0,88.0,102.9,120.6,AS
47.0,Rudy Gay,27.0,2TM,SF,73.0,73.0,2531.0,0.455,0.481,0.33,0.483,0.822,0.54,0.328,0.167,100.0,99.0,92.0,96.0,109.0,100.0,115.0,64.0,-42.5,-2.6,
47.0,Rudy Gay,27.0,TOR,SF,18.0,18.0,639.0,0.388,0.391,0.373,0.421,0.773,0.468,0.263,0.176,85.0,80.0,104.0,84.0,102.0,87.0,92.0,68.0,-53.7,-54.3,
47.0,Rudy Gay,27.0,SAC,SF,55.0,55.0,1892.0,0.482,0.516,0.312,0.508,0.836,0.567,0.354,0.164,106.0,106.0,87.0,101.0,111.0,105.0,125.0,63.0,11.2,51.7,
48.0,Bradley Beal,20.0,WAS,SG,73.0,73.0,2530.0,0.419,0.426,0.402,0.479,0.788,0.507,0.164,0.299,92.0,87.0,112.0,96.0,104.0,94.0,58.0,115.0,-51.5,-83.9,
49.0,LaMarcus Aldridge,28.0,POR,PF,69.0,69.0,2498.0,0.458,0.461,0.2,0.459,0.822,0.507,0.253,0.011,101.0,95.0,56.0,92.0,109.0,94.0,89.0,4.0,-119.1,-107.7,"MVP-10,AS,NBA3"
50.0,Isaiah Thomas,24.0,SAC,PG,72.0,54.0,2497.0,0.453,0.504,0.349,0.51,0.85,0.574,0.371,0.332,100.0,103.0,97.0,102.0,112.0,106.0,131.0,128.0,20.6,85.7,
51.0,Kyrie Irving,21.0,CLE,PG,71.0,71.0,2496.0,0.43,0.458,0.358,0.48,0.861,0.533,0.273,0.278,95.0,94.0,99.0,96.0,114.0,99.0,96.0,107.0,-52.7,-21.0,AS
52.0,P.J. Tucker,28.0,PHO,SF,81.0,81.0,2490.0,0.431,0.45,0.387,0.491,0.776,0.54,0.327,0.311,95.0,92.0,108.0,98.0,103.0,100.0,115.0,120.0,-12.3,-0.9,DPOY-12
53.0,Victor Oladipo,21.0,ORL,PG,80.0,44.0,2487.0,0.419,0.448,0.327,0.458,0.78,0.514,0.34,0.241,92.0,92.0,91.0,91.0,103.0,95.0,120.0,93.0,-80.0,-57.9,ROY-2
54.0,Randy Foye,30.0,DEN,SG,81.0,78.0,2485.0,0.413,0.456,0.38,0.521,0.849,0.558,0.211,0.569,91.0,94.0,106.0,104.0,112.0,103.0,74.0,219.0,34.1,33.4,
55.0,Paul Millsap,28.0,ATL,PF,74.0,73.0,2482.0,0.461,0.487,0.358,0.498,0.731,0.545,0.373,0.202,102.0,100.0,100.0,99.0,97.0,101.0,131.0,78.0,-7.3,9.3,AS
56.0,David West,33.0,IND,PF,80.0,80.0,2472.0,0.488,0.491,0.267,0.49,0.789,0.533,0.267,0.016,107.0,101.0,74.0,98.0,104.0,98.0,94.0,6.0,-21.0,-17.2,
57.0,Spencer Hawes,25.0,2TM,C,80.0,78.0,2470.0,0.456,0.478,0.416,0.529,0.783,0.554,0.172,0.349,100.0,98.0,116.0,106.0,104.0,102.0,61.0,134.0,49.1,25.4,
57.0,Spencer Hawes,25.0,PHI,C,53.0,53.0,1666.0,0.451,0.478,0.399,0.52,0.782,0.546,0.172,0.346,99.0,98.0,111.0,104.0,103.0,101.0,61.0,134.0,21.7,6.0,
57.0,Spencer Hawes,25.0,CLE,C,27.0,25.0,804.0,0.468,0.479,0.448,0.547,0.784,0.571,0.172,0.354,103.0,98.0,124.0,109.0,104.0,106.0,60.0,136.0,27.4,19.4,
58.0,JosÃ© CalderÃ³n,32.0,DAL,PG,81.0,81.0,2468.0,0.456,0.464,0.449,0.584,0.825,0.596,0.084,0.568,100.0,95.0,125.0,116.0,109.0,110.0,30.0,219.0,123.4,85.9,
59.0,Gerald Henderson,26.0,CHA,SG,77.0,77.0,2461.0,0.433,0.445,0.348,0.455,0.761,0.507,0.332,0.124,95.0,91.0,97.0,91.0,101.0,94.0,117.0,48.0,-86.0,-72.1,
60.0,Khris Middleton,22.0,MIL,SF,82.0,64.0,2460.0,0.44,0.454,0.414,0.511,0.861,0.541,0.16,0.34,97.0,93.0,115.0,102.0,114.0,100.0,56.0,131.0,16.2,1.0,
61.0,Evan Turner,25.0,2TM,SF,81.0,56.0,2457.0,0.425,0.444,0.321,0.45,0.813,0.498,0.257,0.153,94.0,91.0,89.0,90.0,108.0,92.0,90.0,59.0,-105.2,-98.2,
61.0,Evan Turner,25.0,PHI,SF,54.0,54.0,1886.0,0.428,0.455,0.288,0.451,0.829,0.504,0.274,0.159,94.0,93.0,80.0,90.0,110.0,93.0,97.0,61.0,-82.8,-68.5,
61.0,Evan Turner,25.0,IND,SF,27.0,2.0,571.0,0.411,0.398,0.5,0.442,0.706,0.468,0.179,0.126,90.0,82.0,139.0,88.0,93.0,87.0,63.0,49.0,-22.4,-29.7,
62.0,Mike Conley,26.0,MEM,PG,73.0,73.0,2446.0,0.45,0.484,0.361,0.5,0.815,0.545,0.268,0.283,99.0,99.0,100.0,100.0,108.0,101.0,94.0,109.0,-1.2,10.4,MVP-17
63.0,George Hill,27.0,IND,PG,76.0,76.0,2434.0,0.442,0.497,0.365,0.519,0.807,0.563,0.286,0.422,97.0,102.0,102.0,104.0,107.0,104.0,101.0,163.0,21.7,30.9,
64.0,J.R. Smith,28.0,NYK,SF,74.0,37.0,2421.0,0.415,0.436,0.394,0.514,0.652,0.527,0.145,0.503,91.0,89.0,109.0,103.0,86.0,97.0,51.0,194.0,23.9,-27.8,
65.0,Michael Carter-Williams,22.0,PHI,PG,70.0,70.0,2414.0,0.405,0.44,0.264,0.431,0.703,0.48,0.348,0.197,89.0,90.0,74.0,86.0,93.0,89.0,123.0,76.0,-147.3,-147.8,ROY-1
66.0,Roy Hibbert,27.0,IND,C,81.0,81.0,2409.0,0.439,0.439,0.4,0.44,0.77,0.499,0.357,0.007,97.0,90.0,111.0,88.0,102.0,92.0,126.0,3.0,-91.6,-72.7,"DPOY-2,AS,DEF2"
67.0,Shawn Marion,35.0,DAL,SF,76.0,76.0,2409.0,0.482,0.518,0.358,0.523,0.785,0.537,0.092,0.229,106.0,106.0,100.0,104.0,104.0,99.0,32.0,88.0,30.5,-5.8,
68.0,Kyle Korver,32.0,ATL,SG,71.0,71.0,2408.0,0.475,0.479,0.472,0.626,0.926,0.653,0.154,0.644,104.0,98.0,131.0,125.0,122.0,121.0,54.0,248.0,152.7,146.5,
69.0,Brandon Knight,22.0,MIL,PG,72.0,69.0,2400.0,0.422,0.466,0.325,0.473,0.802,0.523,0.296,0.31,93.0,95.0,90.0,94.0,106.0,97.0,104.0,119.0,-62.4,-44.0,
70.0,Dwight Howard,28.0,HOU,C,71.0,71.0,2396.0,0.591,0.594,0.286,0.593,0.547,0.6,0.798,0.009,130.0,122.0,79.0,118.0,72.0,111.0,281.0,3.0,146.3,127.9,"DPOY-8,AS,NBA2"
