Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,LeBron James,33.0,CLE,PF,82.0,82.0,3026.0,10.2,18.8,0.542,1.8,4.8,0.367,8.4,14.0,0.603,0.59,4.6,6.3,0.731,1.2,7.3,8.4,8.9,1.4,0.8,4.1,1.6,26.8,"MVP-2,AS,NBA1"
2.0,Khris Middleton,26.0,MIL,SF,82.0,82.0,2982.0,7.2,15.4,0.466,1.8,4.9,0.359,5.4,10.4,0.517,0.524,3.9,4.4,0.884,0.5,4.6,5.2,4.0,1.4,0.3,2.3,3.3,19.9,
3.0,Andrew Wiggins,22.0,MIN,SF,82.0,82.0,2979.0,6.9,15.7,0.438,1.4,4.1,0.331,5.5,11.6,0.475,0.481,2.4,3.8,0.643,1.0,3.3,4.3,1.9,1.1,0.6,1.7,2.0,17.5,
4.0,Bradley Beal,24.0,WAS,SG,82.0,82.0,2977.0,8.3,17.9,0.46,2.4,6.4,0.375,5.9,11.5,0.507,0.527,3.5,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,1.9,22.5,AS
5.0,Jrue Holiday,27.0,NOP,SG,81.0,81.0,2927.0,7.6,15.3,0.494,1.5,4.4,0.337,6.1,10.9,0.557,0.543,2.3,2.9,0.786,0.8,3.7,4.5,6.0,1.5,0.8,2.6,2.5,18.9,"DPOY-7,DEF1"
6.0,CJ McCollum,26.0,POR,SG,81.0,81.0,2923.0,8.2,18.5,0.443,2.3,5.9,0.397,5.9,12.7,0.465,0.506,2.6,3.1,0.836,0.7,3.3,4.0,3.3,0.9,0.4,1.9,2.1,21.3,
7.0,Karl-Anthony Towns,22.0,MIN,C,82.0,82.0,2918.0,7.9,14.5,0.545,1.5,3.5,0.421,6.4,10.9,0.585,0.596,4.3,5.0,0.858,2.9,9.5,12.5,2.5,0.8,1.4,2.0,3.5,21.5,"AS,NBA3"
8.0,Russell Westbrook,29.0,OKC,PG,80.0,80.0,2914.0,9.4,20.8,0.449,1.2,4.0,0.298,8.2,16.8,0.485,0.477,5.2,7.0,0.737,1.9,8.1,9.9,10.1,1.8,0.2,4.7,2.5,25.1,"MVP-5,AS,NBA2"
9.0,Paul George,27.0,OKC,SF,79.0,79.0,2891.0,7.2,16.7,0.43,3.0,7.6,0.401,4.1,9.1,0.454,0.521,4.2,5.1,0.822,0.9,4.7,5.6,3.3,2.0,0.5,2.6,2.9,21.6,"DPOY-4,AS,NBA3"
10.0,Giannis Antetokounmpo,23.0,MIL,PF,75.0,75.0,2756.0,9.7,18.3,0.529,0.6,1.8,0.307,9.1,16.5,0.554,0.545,6.4,8.4,0.76,2.0,7.8,9.8,4.7,1.4,1.4,2.9,3.0,26.3,"MVP-6,AS,NBA2"
11.0,Kemba Walker,27.0,CHO,PG,80.0,80.0,2736.0,7.7,17.9,0.431,3.0,7.9,0.384,4.7,10.0,0.469,0.516,4.8,5.5,0.864,0.4,2.8,3.3,5.8,1.2,0.3,2.4,1.3,23.3,AS
12.0,Ben Simmons,21.0,PHI,PG,81.0,81.0,2732.0,7.2,13.2,0.545,0.0,0.1,0.0,7.2,13.0,0.551,0.545,2.5,4.5,0.56,1.9,6.8,8.7,8.7,1.8,0.9,3.7,2.8,16.9,ROY-1
13.0,Anthony Davis,24.0,NOP,PF,75.0,75.0,2727.0,10.3,19.3,0.534,0.7,2.1,0.34,9.6,17.2,0.558,0.552,6.5,7.9,0.828,2.5,8.5,11.0,2.3,1.5,2.5,2.1,2.1,27.9,"MVP-3,DPOY-3,AS,NBA1,DEF1"
