Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Gilbert Arenas,24.0,WAS,PG,80.0,80.0,3384.0,7.9,17.7,0.447,2.1,5.7,0.369,5.8,12.0,0.485,0.507,7.0,8.5,0.82,0.6,2.4,3.0,5.1,1.7,0.3,3.2,3.0,25.0,"AS,NBA3"
2.0,LeBron James,21.0,CLE,SF,79.0,79.0,3361.0,9.4,19.5,0.48,1.4,4.1,0.335,8.0,15.5,0.518,0.515,6.4,8.7,0.738,0.8,5.2,6.0,5.6,1.3,0.7,2.8,1.9,26.5,"MVP-2,AS,NBA1"
3.0,Joe Johnson,24.0,ATL,SG,82.0,82.0,3340.0,6.8,15.0,0.453,1.4,3.9,0.356,5.4,11.2,0.487,0.499,2.8,3.6,0.791,1.1,2.6,3.6,5.8,1.1,0.3,2.9,2.0,17.8,
4.0,Antawn Jamison,29.0,WAS,SF,82.0,80.0,3288.0,7.2,16.4,0.442,1.6,4.1,0.394,5.6,12.3,0.458,0.491,2.4,3.3,0.731,1.8,6.5,8.4,1.7,1.0,0.1,1.5,2.1,18.4,
5.0,Kobe Bryant,27.0,LAL,SG,80.0,80.0,3277.0,10.7,23.9,0.45,2.0,5.7,0.347,8.8,18.2,0.482,0.491,7.6,9.0,0.85,0.8,3.9,4.7,4.0,1.6,0.3,2.7,2.6,31.1,"MVP-4,AS,NBA1,DEF1"
6.0,Shawn Marion,27.0,PHO,PF,81.0,81.0,3263.0,7.9,15.1,0.525,1.1,3.2,0.331,6.8,11.9,0.577,0.56,2.7,3.3,0.809,2.7,7.8,10.6,1.6,1.8,1.5,1.4,2.5,19.5,"MVP-10,DPOY-7,AS,NBA3"
7.0,Lamar Odom,26.0,LAL,PF,80.0,80.0,3221.0,5.0,10.3,0.481,0.9,2.4,0.372,4.1,7.9,0.514,0.524,2.4,3.5,0.69,2.0,6.2,8.2,5.0,0.8,0.7,2.4,2.9,13.3,
8.0,Ricky Davis,26.0,2TM,SG,78.0,78.0,3207.0,6.6,14.6,0.448,0.8,2.7,0.302,5.7,11.9,0.481,0.476,3.1,3.9,0.797,0.7,3.2,3.9,4.4,1.0,0.2,2.4,2.1,17.0,
8.0,Ricky Davis,26.0,BOS,SG,42.0,42.0,1747.0,6.8,14.6,0.464,0.8,2.6,0.32,6.0,12.0,0.495,0.492,2.7,3.4,0.787,0.8,3.0,3.9,4.6,1.0,0.2,2.4,1.9,17.0,
8.0,Ricky Davis,26.0,MIN,SF,36.0,36.0,1460.0,6.3,14.7,0.429,0.8,2.9,0.282,5.5,11.8,0.464,0.456,3.6,4.5,0.807,0.6,3.4,4.0,4.3,1.0,0.2,2.4,2.4,17.0,
