Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Michael Finley,26.0,DAL,SF,82.0,82.0,3464.0,7.8,17.0,0.457,1.0,2.6,0.401,6.7,14.4,0.467,0.487,2.7,3.3,0.82,1.3,4.1,5.4,4.6,1.1,0.3,2.0,1.8,19.3,"MVP-13,AS"
2.0,Gary Payton,31.0,SEA,PG,82.0,82.0,3425.0,7.9,17.5,0.448,1.9,5.5,0.34,6.0,12.0,0.497,0.502,3.3,4.4,0.735,1.1,4.5,5.6,7.7,1.6,0.2,2.4,1.9,20.8,"MVP-6,DPOY-5,AS,NBA1,DEF1"
3.0,Latrell Sprewell,29.0,NYK,SF,82.0,82.0,3276.0,6.2,14.3,0.435,0.5,1.4,0.346,5.8,12.9,0.445,0.452,3.8,4.4,0.866,0.5,3.3,3.8,3.6,1.2,0.2,2.5,2.0,16.7,
4.0,Kevin Garnett,23.0,MIN,PF,81.0,81.0,3243.0,8.4,16.9,0.497,0.3,0.9,0.37,8.1,16.0,0.504,0.507,3.4,4.5,0.765,2.5,8.1,10.6,4.5,1.3,1.4,3.0,2.3,20.6,"MVP-2,DPOY-7,AS,NBA1,DEF1"
5.0,Shareef Abdur-Rahim,23.0,VAN,SF,82.0,82.0,3223.0,6.6,14.3,0.465,0.3,1.1,0.302,6.3,13.2,0.478,0.477,5.0,6.2,0.809,2.4,6.8,9.2,3.0,1.0,1.0,2.8,2.7,18.6,
6.0,Allan Houston,28.0,NYK,SG,82.0,82.0,3169.0,7.0,14.4,0.483,1.2,2.8,0.436,5.8,11.7,0.494,0.525,3.2,3.8,0.838,0.4,2.6,3.1,2.5,0.7,0.2,2.1,2.5,18.3,AS
7.0,Shaquille O'Neal,27.0,LAL,C,79.0,79.0,3163.0,10.9,19.0,0.574,0.0,0.0,0.0,10.9,18.9,0.575,0.574,4.9,9.4,0.524,3.8,8.4,12.3,3.4,0.4,2.7,2.5,2.9,26.7,"MVP-1,DPOY-2,AS,NBA1,DEF2"
8.0,Mike Bibby,21.0,VAN,PG,82.0,82.0,3155.0,5.2,11.8,0.445,0.9,2.4,0.363,4.4,9.3,0.466,0.483,2.2,2.9,0.78,0.8,2.7,3.5,7.6,1.5,0.2,2.8,2.0,13.6,
9.0,Jerry Stackhouse,25.0,DET,SG,82.0,82.0,3148.0,7.1,16.5,0.428,0.9,3.3,0.288,6.1,13.3,0.462,0.456,7.1,8.7,0.815,1.3,2.3,3.6,4.2,1.2,0.4,3.6,2.1,22.2,AS
10.0,Anthony Mason,33.0,CHH,SF,82.0,81.0,3133.0,3.6,7.6,0.48,0.0,0.0,0.0,3.6,7.6,0.48,0.48,3.6,4.8,0.746,1.7,6.4,8.0,4.2,0.9,0.3,1.8,2.5,10.9,DPOY-8
