Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
51.0,Yao Ming,28.0,HOU,C,77.0,77.0,2589.0,7.9,14.3,0.548,0.0,0.0,1.0,7.9,14.3,0.548,0.549,5.3,6.1,0.866,2.8,7.7,10.6,1.9,0.4,2.1,3.3,3.6,21.1,"MVP-12,AS,NBA2"
52.0,Caron Butler,28.0,WAS,SG,67.0,67.0,2585.0,6.8,15.1,0.453,0.9,2.9,0.31,5.9,12.2,0.487,0.482,4.8,5.6,0.858,1.6,4.1,5.8,4.0,1.5,0.3,2.9,2.3,19.4,
53.0,Thaddeus Young,20.0,PHI,PF,75.0,71.0,2580.0,6.6,13.4,0.495,0.8,2.3,0.341,5.8,11.1,0.526,0.524,1.9,2.6,0.735,1.9,3.3,5.3,1.2,1.4,0.3,1.6,2.3,16.0,
54.0,Udonis Haslem,28.0,MIA,PF,75.0,75.0,2560.0,4.7,9.0,0.518,0.0,0.0,,4.7,9.0,0.518,0.518,1.8,2.4,0.753,2.4,6.3,8.7,1.2,0.6,0.4,1.2,2.9,11.2,
55.0,Al Harrington,28.0,2TM,PF,73.0,56.0,2546.0,7.5,17.1,0.439,2.4,6.6,0.364,5.1,10.5,0.487,0.509,3.3,4.2,0.793,1.4,5.0,6.4,1.4,1.2,0.3,2.3,3.2,20.8,
55.0,Al Harrington,28.0,GSW,PF,5.0,5.0,166.0,5.0,15.2,0.329,2.4,6.1,0.393,2.6,9.1,0.286,0.407,1.1,2.2,0.5,2.2,3.9,6.1,2.2,1.5,0.0,1.5,3.0,13.4,
55.0,Al Harrington,28.0,NYK,PF,68.0,51.0,2380.0,7.7,17.3,0.446,2.4,6.7,0.362,5.3,10.6,0.499,0.516,3.5,4.3,0.804,1.3,5.1,6.5,1.4,1.2,0.3,2.3,3.2,21.3,
56.0,Tim Duncan,32.0,SAS,C,75.0,75.0,2524.0,8.0,15.8,0.504,0.0,0.0,0.0,8.0,15.8,0.505,0.504,4.8,6.9,0.692,2.9,8.5,11.4,3.8,0.5,1.8,2.4,2.5,20.7,"MVP-11,DPOY-11,AS,NBA2,DEF2"
57.0,Marc Gasol,24.0,MEM,C,82.0,75.0,2521.0,5.0,9.4,0.53,0.0,0.0,0.0,5.0,9.4,0.53,0.53,3.9,5.4,0.733,2.9,5.8,8.6,2.0,0.9,1.3,2.3,3.8,13.9,ROY-8
58.0,Rodney Stuckey,22.0,DET,PG,79.0,65.0,2517.0,5.7,13.1,0.439,0.3,1.1,0.295,5.4,11.9,0.453,0.452,3.3,4.1,0.803,1.0,2.9,3.9,5.5,1.1,0.2,2.5,3.1,15.1,
