Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,James Harden,25.0,HOU,SG,81.0,81.0,2981.0,7.8,17.8,0.44,2.5,6.7,0.375,5.3,11.0,0.48,0.511,8.6,10.0,0.868,0.9,4.6,5.5,6.8,1.9,0.7,3.9,2.5,26.8,"MVP-2,AS,NBA1"
2.0,Andrew Wiggins,19.0,MIN,SF,82.0,82.0,2969.0,6.0,13.8,0.437,0.5,1.5,0.31,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.5,2.1,1.0,0.6,2.1,2.3,16.8,ROY-1
3.0,Trevor Ariza,29.0,HOU,SF,82.0,82.0,2930.0,4.5,11.2,0.402,2.4,6.8,0.35,2.1,4.4,0.485,0.509,1.5,1.8,0.853,0.9,4.7,5.6,2.6,1.9,0.2,1.7,2.3,12.9,DPOY-13
4.0,Damian Lillard,24.0,POR,PG,82.0,82.0,2925.0,7.3,16.7,0.434,2.4,7.0,0.343,4.8,9.7,0.5,0.506,4.2,4.9,0.864,0.6,4.0,4.7,6.2,1.2,0.3,2.7,2.0,21.2,AS
5.0,Chris Paul,29.0,LAC,PG,82.0,82.0,2857.0,7.2,14.7,0.485,1.8,4.4,0.398,5.4,10.3,0.523,0.545,3.6,4.0,0.9,0.7,4.1,4.7,10.6,2.0,0.2,2.4,2.6,19.7,"MVP-6,DPOY-15,AS,NBA2,DEF1"
6.0,John Wall,24.0,WAS,PG,79.0,79.0,2837.0,6.6,14.8,0.445,0.8,2.8,0.3,5.8,12.0,0.478,0.473,3.6,4.6,0.785,0.5,4.2,4.6,10.1,1.8,0.6,3.9,2.3,17.6,"AS,DEF2"
7.0,DeAndre Jordan,26.0,LAC,C,82.0,82.0,2820.0,4.8,6.8,0.71,0.0,0.1,0.25,4.8,6.8,0.713,0.711,2.4,6.0,0.397,5.1,10.6,15.7,0.8,1.0,2.3,1.4,3.1,12.1,"DPOY-3,NBA3,DEF1"
8.0,Eric Bledsoe,25.0,PHO,PG,81.0,81.0,2800.0,6.0,13.4,0.447,1.1,3.5,0.324,4.9,10.0,0.491,0.489,4.5,5.7,0.8,0.9,4.5,5.4,6.3,1.6,0.6,3.5,2.4,17.7,
9.0,Joe Johnson,33.0,BRK,SG,80.0,80.0,2791.0,5.8,13.2,0.435,1.6,4.3,0.359,4.2,8.9,0.472,0.494,1.8,2.3,0.801,0.7,4.3,5.0,3.8,0.8,0.2,1.8,1.5,14.9,
10.0,Kyrie Irving,22.0,CLE,PG,75.0,75.0,2730.0,7.6,16.3,0.468,2.1,5.0,0.415,5.6,11.3,0.491,0.532,4.2,4.8,0.863,0.7,2.4,3.1,5.1,1.5,0.3,2.5,1.9,21.5,"AS,NBA3"
11.0,Monta Ellis,29.0,DAL,SG,80.0,80.0,2699.0,8.0,18.1,0.445,1.1,3.8,0.285,6.9,14.3,0.487,0.475,3.0,4.0,0.752,0.5,2.1,2.5,4.4,2.0,0.3,2.6,2.6,20.2,
12.0,Tyreke Evans,25.0,NOP,SG,79.0,76.0,2690.0,7.0,15.6,0.447,0.9,3.0,0.304,6.0,12.6,0.482,0.477,2.7,3.9,0.694,1.1,4.5,5.6,7.0,1.3,0.5,3.3,2.6,17.6,
13.0,Marc Gasol,30.0,MEM,C,81.0,81.0,2687.0,7.1,14.4,0.494,0.0,0.2,0.176,7.1,14.1,0.5,0.496,4.7,5.9,0.795,1.5,6.9,8.4,4.1,0.9,1.8,2.4,2.8,18.9,"MVP-8,DPOY-10,AS,NBA1"
14.0,Pau Gasol,34.0,CHI,PF,78.0,78.0,2681.0,7.7,15.5,0.494,0.2,0.3,0.462,7.5,15.1,0.495,0.5,3.9,4.9,0.803,3.0,9.4,12.3,2.8,0.3,2.0,2.1,2.0,19.4,"AS,NBA2"
15.0,Ben McLemore,21.0,SAC,SG,82.0,82.0,2670.0,4.9,11.2,0.437,1.9,5.3,0.358,3.0,5.9,0.507,0.521,1.8,2.2,0.813,0.4,2.8,3.2,1.9,1.0,0.3,1.9,3.0,13.4,
16.0,Ty Lawson,27.0,DEN,PG,75.0,75.0,2665.0,5.5,12.5,0.436,0.9,2.8,0.341,4.5,9.7,0.463,0.474,3.6,4.9,0.73,0.6,2.6,3.2,9.7,1.2,0.1,2.5,1.7,15.4,
17.0,Goran DragiÄ,28.0,2TM,PG,78.0,78.0,2640.0,6.8,13.7,0.501,1.2,3.5,0.347,5.6,10.1,0.555,0.546,2.5,3.2,0.774,1.1,2.6,3.7,4.8,1.1,0.2,2.4,2.7,17.4,
17.0,Goran DragiÄ,28.0,PHO,SG,52.0,52.0,1735.0,7.1,14.1,0.501,1.4,3.9,0.355,5.7,10.2,0.556,0.549,2.0,2.7,0.746,1.1,2.8,3.8,4.4,1.0,0.2,2.4,2.5,17.5,
17.0,Goran DragiÄ,28.0,MIA,PG,26.0,26.0,905.0,6.4,12.8,0.502,1.0,2.9,0.329,5.5,9.9,0.552,0.539,3.3,4.1,0.808,1.2,2.3,3.5,5.5,1.1,0.2,2.3,3.0,17.2,
18.0,Gordon Hayward,24.0,UTA,SF,76.0,76.0,2618.0,6.7,14.9,0.445,1.7,4.5,0.364,5.0,10.4,0.481,0.5,5.2,6.4,0.812,0.7,4.4,5.1,4.3,1.5,0.4,2.8,1.8,20.1,
19.0,Stephen Curry,26.0,GSW,PG,80.0,80.0,2613.0,9.0,18.5,0.487,3.9,8.9,0.443,5.1,9.6,0.528,0.594,4.2,4.6,0.914,0.8,3.9,4.7,8.5,2.2,0.2,3.4,2.2,26.2,"MVP-1,AS,NBA1"
20.0,Kentavious Caldwell-Pope,21.0,DET,SG,82.0,82.0,2587.0,5.4,13.5,0.401,2.1,6.2,0.345,3.3,7.3,0.449,0.48,1.5,2.2,0.696,0.6,2.9,3.5,1.5,1.3,0.3,1.3,2.2,14.5,
21.0,Markieff Morris,25.0,PHO,PF,82.0,82.0,2581.0,7.1,15.3,0.465,0.8,2.5,0.318,6.3,12.8,0.494,0.491,2.5,3.2,0.763,1.5,5.5,7.1,2.7,1.4,0.5,2.4,3.4,17.5,
22.0,Victor Oladipo,22.0,ORL,SG,72.0,71.0,2573.0,6.6,15.2,0.436,1.2,3.5,0.339,5.4,11.7,0.464,0.474,3.7,4.5,0.819,0.7,3.5,4.2,4.1,1.7,0.3,2.9,2.6,18.1,
23.0,Giannis Antetokounmpo,20.0,MIL,SG,81.0,71.0,2541.0,5.4,11.1,0.491,0.1,0.6,0.159,5.3,10.4,0.511,0.496,3.6,4.9,0.741,1.4,6.3,7.7,2.9,1.0,1.2,2.5,3.6,14.6,
