Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Allen Iverson,32.0,DEN,SG,82.0,82.0,3424.0,7.5,16.4,0.458,1.0,2.9,0.345,6.5,13.5,0.482,0.488,6.8,8.4,0.809,0.5,2.1,2.6,6.2,1.7,0.1,2.6,1.1,22.8,AS
2.0,Joe Johnson,26.0,ATL,SG,82.0,82.0,3343.0,7.0,16.1,0.432,1.8,4.8,0.381,5.1,11.3,0.454,0.489,3.4,4.1,0.834,0.9,3.1,4.0,5.1,0.9,0.2,2.4,1.8,19.2,AS
3.0,Andre Iguodala,24.0,PHI,SF,82.0,82.0,3242.0,6.5,14.2,0.456,1.1,3.4,0.329,5.3,10.8,0.496,0.495,4.1,5.6,0.721,0.9,4.0,5.0,4.3,1.9,0.5,2.4,2.1,18.1,
4.0,Richard Jefferson,27.0,NJN,SF,82.0,82.0,3200.0,7.0,14.9,0.466,0.9,2.4,0.362,6.1,12.5,0.486,0.495,6.1,7.6,0.798,1.0,2.8,3.8,2.8,0.9,0.2,2.2,2.5,20.9,
5.0,Baron Davis,28.0,GSW,PG,82.0,82.0,3196.0,7.3,17.2,0.426,1.9,5.9,0.33,5.4,11.3,0.477,0.483,3.6,4.8,0.75,1.1,3.3,4.3,7.0,2.2,0.5,2.6,2.8,20.2,
6.0,Kobe Bryant,29.0,LAL,SG,82.0,82.0,3192.0,8.7,19.1,0.459,1.7,4.7,0.361,7.0,14.4,0.49,0.503,7.0,8.4,0.84,1.1,4.8,5.8,5.0,1.7,0.5,2.9,2.6,26.2,"MVP-1,DPOY-5,AS,NBA1,DEF1"
7.0,Jamal Crawford,27.0,NYK,SG,80.0,80.0,3190.0,6.4,15.7,0.41,2.0,5.6,0.356,4.4,10.1,0.439,0.473,3.7,4.3,0.864,0.4,1.9,2.3,4.5,0.9,0.2,2.2,1.6,18.6,
8.0,Jason Richardson,27.0,CHA,SF,82.0,82.0,3149.0,7.4,16.8,0.441,2.8,6.8,0.406,4.6,9.9,0.466,0.524,2.8,3.8,0.752,0.9,4.1,5.0,2.9,1.3,0.7,1.9,2.8,20.4,
9.0,Dwight Howard,22.0,ORL,C,82.0,82.0,3088.0,6.8,11.4,0.599,0.0,0.0,0.0,6.8,11.3,0.601,0.599,6.2,10.5,0.59,3.3,10.3,13.5,1.3,0.9,2.1,3.1,3.2,19.8,"MVP-5,DPOY-7,AS,NBA1,DEF2"
10.0,Rashard Lewis,28.0,ORL,PF,81.0,81.0,3076.0,6.0,13.3,0.455,2.6,6.5,0.409,3.4,6.8,0.498,0.554,2.6,3.0,0.838,1.1,4.0,5.1,2.3,1.2,0.4,1.6,2.5,17.3,
11.0,Monta Ellis,22.0,GSW,SG,81.0,72.0,3071.0,7.6,14.4,0.531,0.1,0.6,0.231,7.5,13.8,0.545,0.536,3.8,4.9,0.767,1.6,3.2,4.7,3.7,1.5,0.3,2.0,2.3,19.2,
