Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Allen Iverson,27.0,PHI,SG,82.0,82.0,3485.0,8.3,20.0,0.414,0.9,3.1,0.277,7.4,16.9,0.44,0.436,5.9,7.6,0.774,0.7,2.9,3.6,4.7,2.3,0.1,3.0,1.5,23.4,"MVP-6,DPOY-6,AS,NBA2"
2.0,Kobe Bryant,24.0,LAL,SG,82.0,82.0,3401.0,9.2,20.4,0.451,1.3,3.4,0.383,7.9,16.9,0.465,0.483,6.4,7.5,0.843,1.1,4.8,6.0,5.1,1.9,0.7,3.0,2.3,26.0,"MVP-3,DPOY-8,AS,NBA1,DEF1"
3.0,Shawn Marion,24.0,PHO,SF,81.0,81.0,3373.0,7.1,15.6,0.452,1.5,3.9,0.387,5.6,11.8,0.473,0.5,2.7,3.1,0.851,2.1,6.1,8.3,2.1,2.0,1.0,1.7,2.2,18.3,"DPOY-13,AS"
4.0,Jalen Rose,30.0,CHI,SF,82.0,82.0,3351.0,6.9,17.0,0.406,1.4,3.9,0.37,5.5,13.1,0.416,0.448,4.3,5.0,0.854,0.7,3.0,3.8,4.2,0.8,0.2,3.1,2.9,19.5,
5.0,Kevin Garnett,26.0,MIN,PF,82.0,82.0,3321.0,8.1,16.1,0.502,0.2,0.8,0.282,7.8,15.3,0.513,0.508,4.1,5.4,0.751,2.6,9.3,11.9,5.4,1.2,1.4,2.5,2.2,20.4,"MVP-2,DPOY-3,AS,NBA1,DEF1"
6.0,Jamal Mashburn,30.0,NOH,SF,82.0,81.0,3321.0,7.3,17.2,0.422,1.3,3.3,0.389,6.0,13.9,0.43,0.46,3.4,4.0,0.848,0.7,4.7,5.4,5.0,0.9,0.2,2.5,2.1,19.2,"MVP-11,AS,NBA3"
7.0,Steve Francis,25.0,HOU,PG,81.0,81.0,3318.0,6.2,14.2,0.435,0.9,2.6,0.354,5.3,11.6,0.453,0.468,5.2,6.5,0.8,1.7,3.7,5.4,5.4,1.5,0.4,3.2,2.7,18.5,AS
8.0,Stephon Marbury,25.0,PHO,PG,81.0,81.0,3240.0,7.5,17.0,0.439,1.0,3.3,0.301,6.5,13.7,0.472,0.468,4.2,5.2,0.803,0.6,2.3,2.9,7.3,1.2,0.2,2.9,2.2,20.1,"AS,NBA3"
9.0,Antoine Walker,26.0,BOS,PF,78.0,78.0,3235.0,6.7,17.3,0.388,2.1,6.5,0.323,4.6,10.8,0.427,0.449,2.0,3.2,0.615,1.1,5.2,6.3,4.2,1.3,0.3,2.9,2.5,17.5,AS
10.0,Antawn Jamison,26.0,GSW,SF,82.0,82.0,3226.0,7.7,16.4,0.47,0.7,2.3,0.311,7.0,14.1,0.496,0.492,4.2,5.3,0.789,2.2,4.3,6.5,1.7,0.8,0.5,2.0,2.2,20.3,
