Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Kevin Durant,21.0,OKC,SF,82.0,82.0,3239.0,8.8,18.5,0.476,1.4,3.9,0.365,7.4,14.6,0.506,0.514,8.4,9.3,0.9,1.2,5.8,6.9,2.6,1.2,0.9,3.0,1.9,27.5,"MVP-2,AS,NBA1"
2.0,Andre Iguodala,26.0,PHI,SF,82.0,82.0,3193.0,5.6,12.6,0.443,1.1,3.4,0.31,4.5,9.2,0.492,0.485,3.6,4.8,0.733,0.9,5.0,6.0,5.3,1.6,0.6,2.5,1.6,15.8,
3.0,Rudy Gay,23.0,MEM,SF,80.0,80.0,3175.0,6.8,14.6,0.466,0.7,2.3,0.327,6.1,12.3,0.492,0.491,3.4,4.5,0.753,1.3,4.0,5.4,1.7,1.3,0.7,1.9,2.3,17.8,
4.0,Stephen Jackson,31.0,2TM,SG,81.0,81.0,3129.0,6.9,16.3,0.423,1.5,4.5,0.328,5.4,11.8,0.46,0.469,3.9,5.0,0.779,0.9,3.7,4.6,3.5,1.5,0.5,3.0,2.3,19.2,MVP-12
4.0,Stephen Jackson,31.0,GSW,PF,9.0,9.0,300.0,6.7,16.0,0.421,1.3,4.8,0.275,5.4,11.2,0.484,0.462,3.1,4.4,0.703,0.7,3.5,4.2,5.0,1.7,0.7,3.1,1.9,17.9,
4.0,Stephen Jackson,31.0,CHA,SG,72.0,72.0,2829.0,6.9,16.4,0.423,1.5,4.5,0.334,5.4,11.9,0.457,0.469,4.0,5.1,0.786,0.9,3.7,4.7,3.3,1.5,0.5,3.0,2.3,19.3,
5.0,Gerald Wallace,27.0,CHA,SF,76.0,76.0,3119.0,5.3,10.9,0.484,0.6,1.6,0.371,4.7,9.3,0.503,0.511,4.9,6.3,0.776,1.7,7.1,8.8,1.9,1.4,1.0,2.1,2.2,16.0,"DPOY-3,AS,DEF1"
6.0,O.J. Mayo,22.0,MEM,SG,82.0,82.0,3113.0,6.3,13.7,0.458,1.6,4.1,0.383,4.7,9.6,0.49,0.516,2.5,3.0,0.809,0.7,2.9,3.6,2.8,1.1,0.2,2.0,2.0,16.6,
7.0,Zach Randolph,28.0,MEM,PF,81.0,81.0,3051.0,7.7,15.8,0.488,0.2,0.6,0.288,7.5,15.2,0.496,0.494,4.3,5.5,0.778,3.9,7.3,11.2,1.8,0.9,0.4,2.1,2.7,19.8,AS
8.0,Jeff Green,23.0,OKC,PF,82.0,82.0,3043.0,5.7,12.7,0.453,1.2,3.7,0.333,4.5,9.0,0.503,0.502,2.0,2.6,0.74,1.3,4.5,5.8,1.6,1.2,0.9,1.6,2.6,14.7,
9.0,Dirk Nowitzki,31.0,DAL,PF,81.0,80.0,3039.0,8.5,17.7,0.481,0.6,1.4,0.421,7.9,16.3,0.487,0.498,6.3,6.9,0.915,0.9,6.4,7.3,2.6,0.8,0.9,1.8,2.5,24.0,"MVP-7,AS,NBA2"
10.0,Brook Lopez,21.0,NJN,C,82.0,82.0,3027.0,6.7,13.4,0.499,0.0,0.0,0.0,6.7,13.4,0.5,0.499,4.9,6.1,0.817,3.2,5.2,8.4,2.2,0.7,1.7,2.4,3.0,18.3,
11.0,David Lee,26.0,NYK,C,81.0,81.0,3019.0,8.2,15.0,0.545,0.0,0.1,0.0,8.2,14.9,0.549,0.545,3.2,3.9,0.812,2.7,8.6,11.3,3.5,1.0,0.5,2.3,3.1,19.6,"DPOY-17,AS"
12.0,LeBron James,25.0,CLE,SF,76.0,76.0,2966.0,9.3,18.5,0.503,1.6,4.7,0.333,7.8,13.8,0.56,0.545,7.2,9.4,0.767,0.9,5.9,6.7,7.9,1.5,0.9,3.2,1.4,27.4,"MVP-1,DPOY-4,AS,NBA1,DEF1"
13.0,Rajon Rondo,23.0,BOS,PG,81.0,81.0,2963.0,5.6,11.0,0.508,0.2,1.0,0.213,5.4,10.0,0.536,0.517,2.1,3.4,0.621,1.2,3.2,4.4,9.6,2.3,0.1,3.0,2.4,13.5,"DPOY-5,AS,DEF1"
14.0,David West,29.0,NOH,PF,81.0,81.0,2949.0,7.6,15.0,0.505,0.1,0.3,0.259,7.5,14.6,0.51,0.508,3.6,4.2,0.865,2.0,5.4,7.4,2.9,0.9,0.7,2.1,2.8,18.8,
15.0,LaMarcus Aldridge,24.0,POR,PF,78.0,78.0,2922.0,7.1,14.4,0.495,0.1,0.2,0.313,7.1,14.2,0.498,0.497,2.8,3.7,0.757,2.4,5.4,7.7,2.0,0.8,0.6,1.3,2.8,17.2,
16.0,Aaron Brooks,25.0,HOU,PG,82.0,82.0,2919.0,7.1,16.4,0.432,2.6,6.5,0.398,4.5,9.9,0.454,0.511,3.0,3.7,0.822,0.7,2.0,2.7,5.4,0.9,0.2,2.9,2.5,19.8,MIP-1
17.0,Boris Diaw,27.0,CHA,PF,82.0,82.0,2906.0,4.6,9.6,0.483,0.8,2.6,0.32,3.8,7.0,0.541,0.525,1.4,1.8,0.769,1.6,3.6,5.3,4.0,0.7,0.7,2.2,2.7,11.5,
18.0,Stephen Curry,21.0,GSW,PG,80.0,77.0,2896.0,6.6,14.2,0.462,2.1,4.7,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.8,4.4,5.9,1.9,0.2,3.0,3.1,17.4,ROY-2
19.0,Joe Johnson,28.0,ATL,SG,76.0,76.0,2886.0,7.9,17.3,0.458,1.6,4.4,0.369,6.3,12.9,0.488,0.505,2.7,3.4,0.818,0.9,3.5,4.4,4.6,1.0,0.1,1.8,1.8,20.2,"MVP-12,AS,NBA3"
20.0,Jason Kidd,36.0,DAL,PG,80.0,80.0,2881.0,3.5,8.4,0.423,2.2,5.2,0.425,1.3,3.2,0.42,0.554,1.0,1.2,0.808,0.6,5.0,5.6,9.0,1.8,0.4,2.4,1.8,10.3,AS
21.0,Josh Smith,24.0,ATL,PF,81.0,81.0,2871.0,6.3,12.5,0.505,0.0,0.1,0.0,6.3,12.4,0.508,0.505,3.3,5.3,0.618,2.8,6.0,8.8,4.3,1.6,2.2,2.5,3.0,15.9,"DPOY-2,DEF2"
22.0,Derrick Rose,21.0,CHI,PG,78.0,78.0,2871.0,8.4,17.2,0.489,0.2,0.8,0.267,8.2,16.5,0.5,0.495,3.2,4.2,0.766,0.8,2.9,3.7,5.9,0.7,0.3,2.7,1.2,20.3,AS
23.0,Al Horford,23.0,ATL,C,81.0,81.0,2845.0,5.9,10.7,0.551,0.0,0.0,1.0,5.9,10.7,0.551,0.552,2.7,3.4,0.789,3.0,7.1,10.1,2.4,0.7,1.2,1.5,2.8,14.5,AS
24.0,Dwight Howard,24.0,ORL,C,82.0,82.0,2843.0,6.5,10.6,0.612,0.0,0.1,0.0,6.5,10.5,0.617,0.612,6.1,10.3,0.592,3.6,10.1,13.7,1.8,0.9,2.9,3.5,3.6,19.0,"MVP-4,DPOY-1,AS,NBA1,DEF1"
