Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Allen Iverson,27.0,PHI,SG,82.0,82.0,3485.0,12.1,29.2,0.414,1.3,4.6,0.277,10.8,24.7,0.44,0.436,8.6,11.1,0.774,1.0,4.2,5.2,6.8,3.4,0.2,4.3,2.2,34.1,103.0,102.0,"MVP-6,DPOY-6,AS,NBA2"
2.0,Kobe Bryant,24.0,LAL,SG,82.0,82.0,3401.0,13.2,29.4,0.451,1.9,4.9,0.383,11.4,24.4,0.465,0.483,9.2,10.9,0.843,1.6,7.0,8.6,7.3,2.8,1.0,4.4,3.3,37.6,111.0,103.0,"MVP-3,DPOY-8,AS,NBA1,DEF1"
3.0,Shawn Marion,24.0,PHO,SF,81.0,81.0,3373.0,10.3,22.8,0.452,2.2,5.7,0.387,8.1,17.1,0.473,0.5,3.9,4.6,0.851,3.1,8.9,12.0,3.1,2.9,1.5,2.4,3.2,26.7,111.0,98.0,"DPOY-13,AS"
4.0,Jalen Rose,30.0,CHI,SF,82.0,82.0,3351.0,9.8,24.2,0.406,2.0,5.5,0.37,7.8,18.7,0.416,0.448,6.1,7.2,0.854,1.0,4.3,5.4,6.0,1.1,0.4,4.4,4.1,27.8,100.0,109.0,
5.0,Kevin Garnett,26.0,MIN,PF,82.0,82.0,3321.0,11.7,23.3,0.502,0.3,1.1,0.282,11.4,22.2,0.513,0.508,5.9,7.9,0.751,3.8,13.5,17.3,7.8,1.8,2.0,3.6,3.1,29.6,113.0,98.0,"MVP-2,DPOY-3,AS,NBA1,DEF1"
6.0,Jamal Mashburn,30.0,NOH,SF,82.0,81.0,3321.0,10.8,25.7,0.422,1.9,4.9,0.389,8.9,20.7,0.43,0.46,5.1,6.0,0.848,1.1,7.0,8.1,7.5,1.3,0.3,3.7,3.2,28.7,105.0,103.0,"MVP-11,AS,NBA3"
7.0,Steve Francis,25.0,HOU,PG,81.0,81.0,3318.0,9.3,21.4,0.435,1.4,3.9,0.354,7.9,17.5,0.453,0.468,7.8,9.7,0.8,2.6,5.5,8.1,8.2,2.3,0.7,4.9,4.1,27.8,109.0,103.0,AS
8.0,Stephon Marbury,25.0,PHO,PG,81.0,81.0,3240.0,10.9,24.8,0.439,1.4,4.8,0.301,9.4,20.0,0.472,0.468,6.1,7.6,0.803,0.9,3.4,4.3,10.6,1.7,0.3,4.3,3.2,29.2,108.0,106.0,"AS,NBA3"
9.0,Antoine Walker,26.0,BOS,PF,78.0,78.0,3235.0,9.8,25.4,0.388,3.1,9.5,0.323,6.8,15.9,0.427,0.449,2.9,4.7,0.615,1.6,7.6,9.2,6.1,1.9,0.5,4.2,3.6,25.6,92.0,101.0,AS
10.0,Antawn Jamison,26.0,GSW,SF,82.0,82.0,3226.0,10.9,23.2,0.47,1.0,3.3,0.311,9.9,19.9,0.496,0.492,5.9,7.5,0.789,3.1,6.0,9.1,2.5,1.2,0.7,2.8,3.1,28.8,113.0,111.0,
11.0,Gary Payton,34.0,2TM,PG,80.0,80.0,3208.0,11.2,24.7,0.454,0.9,3.1,0.297,10.3,21.6,0.476,0.472,4.2,5.9,0.71,1.3,4.3,5.6,11.2,2.2,0.3,3.1,3.0,27.5,108.0,107.0,"DPOY-11,AS"
11.0,Gary Payton,34.0,SEA,PG,52.0,52.0,2123.0,11.4,25.5,0.448,0.9,2.9,0.298,10.5,22.5,0.467,0.465,4.2,6.0,0.692,1.4,4.9,6.4,11.7,2.4,0.3,3.4,3.0,27.8,107.0,105.0,
11.0,Gary Payton,34.0,MIL,PG,28.0,28.0,1085.0,10.8,23.2,0.466,1.0,3.3,0.294,9.8,19.9,0.495,0.487,4.3,5.8,0.746,1.1,3.1,4.2,10.1,2.0,0.4,2.7,3.1,26.9,111.0,111.0,
12.0,Tim Duncan,26.0,SAS,PF,81.0,81.0,3181.0,12.0,23.3,0.513,0.1,0.4,0.273,11.9,23.0,0.517,0.515,7.5,10.6,0.71,4.3,13.1,17.5,5.3,0.9,4.0,4.2,3.9,31.6,112.0,94.0,"MVP-1,DPOY-4,AS,NBA1,DEF1"
13.0,Ricky Davis,23.0,CLE,SG,79.0,76.0,3131.0,9.8,24.0,0.41,1.2,3.3,0.363,8.6,20.7,0.417,0.435,5.7,7.6,0.748,1.6,4.8,6.4,7.1,2.0,0.6,4.5,2.9,26.5,98.0,108.0,
14.0,Dirk Nowitzki,24.0,DAL,PF,80.0,80.0,3117.0,11.5,24.8,0.463,2.5,6.5,0.379,9.0,18.3,0.493,0.513,8.0,9.1,0.881,1.3,11.8,13.2,4.0,1.8,1.4,2.5,3.4,33.5,117.0,98.0,"MVP-7,AS,NBA2"
15.0,Allan Houston,31.0,NYK,SG,82.0,82.0,3108.0,11.1,24.9,0.445,3.0,7.7,0.396,8.1,17.3,0.467,0.506,6.2,6.7,0.919,0.4,3.5,3.9,3.7,0.9,0.1,3.0,3.3,31.4,109.0,110.0,
16.0,Eric Snow,29.0,PHI,PG,82.0,82.0,3108.0,6.1,13.5,0.452,0.1,0.5,0.219,6.0,13.0,0.462,0.456,5.5,6.4,0.858,1.2,3.9,5.1,9.2,2.2,0.2,3.3,4.0,17.8,112.0,105.0,"DPOY-10,DEF2"
17.0,Paul Pierce,25.0,BOS,SG,79.0,79.0,3096.0,11.3,27.2,0.416,2.0,6.7,0.302,9.3,20.5,0.454,0.454,10.3,12.8,0.802,1.8,8.1,9.9,6.0,2.4,1.1,4.9,3.9,34.9,104.0,100.0,"MVP-11,AS,NBA3"
18.0,Shareef Abdur-Rahim,26.0,ATL,PF,81.0,81.0,3087.0,9.7,20.2,0.478,0.4,1.0,0.35,9.3,19.2,0.485,0.487,7.8,9.2,0.841,3.0,8.6,11.6,4.1,1.5,0.6,3.6,4.1,27.5,111.0,106.0,
19.0,Jason Terry,25.0,ATL,PG,81.0,81.0,3081.0,8.4,19.5,0.428,2.7,7.4,0.371,5.6,12.2,0.462,0.498,4.4,5.0,0.887,0.6,4.1,4.8,10.3,2.2,0.2,4.3,3.0,23.9,109.0,108.0,
20.0,Rashard Lewis,23.0,SEA,SF,77.0,77.0,3044.0,9.3,20.6,0.452,1.3,3.9,0.346,8.0,16.7,0.476,0.484,5.1,6.2,0.82,2.7,6.3,9.0,2.4,1.8,0.6,2.6,3.7,25.0,108.0,105.0,
