Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
338.0,JÃ©rÃ´me MoÃ¯so,25.0,TOR,PF,35.0,1.0,417.0,5.3,11.1,0.476,0.0,0.1,0.0,5.3,11.0,0.482,0.476,2.9,5.0,0.579,5.4,9.6,15.0,1.1,2.3,1.6,3.3,5.6,13.5,95.0,97.0,
339.0,Scottie Pippen,38.0,CHI,SF,23.0,6.0,412.0,6.7,17.7,0.379,1.6,6.1,0.271,5.1,11.6,0.435,0.425,2.1,3.4,0.63,2.5,6.1,8.6,6.3,2.7,1.1,3.7,4.8,17.2,92.0,102.0,
340.0,Rick Brunson,31.0,2TM,PG,40.0,0.0,412.0,5.1,13.3,0.381,1.4,2.9,0.478,3.7,10.4,0.354,0.433,3.4,3.9,0.871,1.1,3.5,4.7,10.4,3.2,0.4,4.2,5.6,14.9,100.0,103.0,
340.0,Rick Brunson,31.0,TOR,PG,3.0,0.0,10.0,11.1,22.1,0.5,0.0,0.0,,11.1,22.1,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,22.1,119.0,110.0,
340.0,Rick Brunson,31.0,CHI,PG,37.0,0.0,402.0,4.9,13.1,0.376,1.4,3.0,0.478,3.5,10.1,0.346,0.431,3.5,4.0,0.871,1.2,3.6,4.8,10.4,3.2,0.4,4.3,5.7,14.8,99.0,103.0,
341.0,Brandon Hunter,23.0,BOS,PF,36.0,12.0,406.0,6.7,14.7,0.457,0.0,0.4,0.0,6.7,14.3,0.469,0.457,2.4,5.5,0.442,6.3,8.6,15.0,2.4,1.6,0.1,2.8,5.1,15.9,98.0,103.0,
342.0,Mikki Moore,28.0,2TM,C,32.0,0.0,395.0,7.0,13.9,0.505,0.0,0.0,,7.0,13.9,0.505,0.505,4.2,4.9,0.857,4.1,7.7,11.8,2.7,1.0,1.8,3.1,9.1,18.2,110.0,103.0,
342.0,Mikki Moore,28.0,NJN,C,4.0,0.0,10.0,5.4,26.8,0.2,0.0,0.0,,5.4,26.8,0.2,0.2,0.0,0.0,,5.4,5.4,10.7,0.0,0.0,0.0,0.0,5.4,10.7,57.0,104.0,
342.0,Mikki Moore,28.0,UTA,PF,28.0,0.0,385.0,7.1,13.5,0.521,0.0,0.0,,7.1,13.5,0.521,0.521,4.3,5.0,0.857,4.0,7.8,11.8,2.7,1.0,1.9,3.2,9.2,18.4,112.0,103.0,
343.0,Ryan Bowen,28.0,DEN,PF,52.0,1.0,392.0,2.4,7.0,0.34,0.0,0.0,,2.4,7.0,0.34,0.34,1.3,1.6,0.833,5.1,6.3,11.4,2.4,2.4,2.1,0.8,6.2,6.0,109.0,101.0,
344.0,Keith McLeod,24.0,MIN,PG,33.0,0.0,391.0,3.7,11.3,0.329,0.1,1.4,0.1,3.6,9.9,0.361,0.335,4.6,5.9,0.767,0.7,4.0,4.7,8.1,2.2,0.1,4.0,5.4,12.1,89.0,102.0,
345.0,Kevin Willis,41.0,SAS,C,48.0,0.0,373.0,10.1,21.6,0.467,0.0,0.1,0.0,10.1,21.5,0.47,0.467,3.5,5.6,0.615,5.3,8.8,14.1,1.6,3.0,1.3,4.6,8.8,23.7,93.0,91.0,
346.0,Jumaine Jones,24.0,BOS,SG,42.0,2.0,373.0,4.6,13.3,0.344,1.8,6.1,0.295,2.8,7.2,0.385,0.411,1.9,3.2,0.609,3.3,6.1,9.4,1.9,1.7,1.2,2.6,6.6,12.8,90.0,104.0,
347.0,John Wallace,29.0,MIA,SF,37.0,0.0,368.0,9.0,21.5,0.421,0.7,1.9,0.385,8.3,19.6,0.424,0.438,4.6,5.9,0.775,1.8,7.0,8.7,2.1,0.7,1.2,3.6,5.6,23.4,93.0,103.0,
348.0,Mamadou N'Diaye,28.0,2TM,C,28.0,1.0,366.0,3.9,10.0,0.391,0.0,0.0,,3.9,10.0,0.391,0.391,6.3,8.5,0.746,6.2,10.0,16.2,0.0,1.2,3.6,2.6,8.5,14.1,106.0,102.0,
348.0,Mamadou N'Diaye,28.0,DAL,C,3.0,0.0,7.0,0.0,7.4,0.0,0.0,0.0,,0.0,7.4,0.0,0.0,0.0,0.0,,0.0,7.4,7.4,0.0,0.0,7.4,7.4,7.4,0.0,0.0,104.0,
348.0,Mamadou N'Diaye,28.0,ATL,C,25.0,1.0,359.0,4.0,10.0,0.397,0.0,0.0,,4.0,10.0,0.397,0.397,6.5,8.7,0.746,6.3,10.0,16.3,0.0,1.2,3.5,2.5,8.5,14.4,108.0,102.0,
349.0,Reece Gaines,23.0,ORL,PG,38.0,1.0,364.0,3.6,12.5,0.291,0.4,1.5,0.3,3.2,11.0,0.289,0.308,2.3,3.6,0.64,1.2,4.5,5.7,5.8,1.6,0.3,2.6,3.2,10.0,82.0,112.0,
350.0,Joel Przybilla,24.0,2TM,C,17.0,12.0,347.0,2.7,7.6,0.36,0.0,0.0,,2.7,7.6,0.36,0.36,2.0,4.7,0.419,4.9,12.0,16.9,1.1,0.8,2.6,2.7,8.1,7.5,82.0,103.0,
350.0,Joel Przybilla,24.0,MIL,C,5.0,0.0,33.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.6,3.2,0.5,1.6,14.3,15.9,4.8,0.0,0.0,3.2,7.9,1.6,80.0,104.0,
350.0,Joel Przybilla,24.0,ATL,C,12.0,12.0,314.0,3.0,8.4,0.36,0.0,0.0,,3.0,8.4,0.36,0.36,2.0,4.9,0.414,5.2,11.8,17.0,0.7,0.8,2.9,2.7,8.1,8.1,82.0,102.0,
351.0,Gerald Wallace,21.0,SAC,SF,37.0,1.0,337.0,4.9,13.7,0.36,0.0,0.3,0.0,4.9,13.4,0.368,0.36,1.7,3.7,0.458,5.4,6.0,11.4,2.9,2.1,2.1,1.2,5.7,11.5,96.0,104.0,
352.0,Raef LaFrentz,27.0,BOS,C,17.0,1.0,328.0,9.0,19.5,0.46,1.3,6.3,0.2,7.7,13.2,0.583,0.492,1.6,2.0,0.769,4.7,7.7,12.4,3.8,1.3,2.0,1.7,7.4,20.7,110.0,103.0,
353.0,Roger Mason,23.0,2TM,SG,26.0,3.0,328.0,5.4,16.4,0.327,2.2,6.5,0.333,3.2,9.9,0.322,0.393,3.2,3.7,0.864,0.2,5.0,5.2,4.3,1.8,1.0,3.3,6.0,16.1,86.0,102.0,
353.0,Roger Mason,23.0,CHI,SG,3.0,0.0,43.0,1.2,13.3,0.091,1.2,7.3,0.167,0.0,6.1,0.0,0.136,0.0,0.0,,0.0,3.6,3.6,3.6,1.2,0.0,2.4,6.1,3.6,38.0,108.0,
353.0,Roger Mason,23.0,TOR,SG,23.0,3.0,285.0,6.0,16.9,0.356,2.3,6.4,0.364,3.7,10.5,0.352,0.425,3.7,4.3,0.864,0.2,5.2,5.4,4.5,1.9,1.2,3.5,6.0,18.1,91.0,101.0,
354.0,Nikoloz Tskitishvili,20.0,DEN,PF,39.0,0.0,307.0,6.7,20.4,0.328,0.5,1.8,0.273,6.2,18.6,0.333,0.34,3.9,4.9,0.793,4.0,6.5,10.6,1.7,1.0,1.3,2.8,8.4,17.8,86.0,104.0,
355.0,Dan Dickau,25.0,2TM,PG,43.0,0.0,294.0,6.8,18.1,0.378,1.8,5.5,0.333,5.0,12.6,0.397,0.429,2.0,2.6,0.786,1.3,3.5,4.8,7.0,3.1,0.0,4.8,8.1,17.5,89.0,106.0,
355.0,Dan Dickau,25.0,ATL,PG,23.0,0.0,143.0,7.8,18.1,0.429,1.1,3.7,0.3,6.7,14.4,0.462,0.459,1.5,2.2,0.667,1.5,4.4,5.9,6.7,3.3,0.0,4.8,8.1,18.1,90.0,105.0,
