Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Andre Iguodala,25.0,PHI,SF,82.0,82.0,3269.0,8.8,18.7,0.473,1.3,4.3,0.307,7.5,14.5,0.521,0.507,6.2,8.5,0.724,1.5,6.2,7.7,7.1,2.1,0.6,3.6,2.5,25.2,112.0,108.0,DPOY-13
2.0,Joe Johnson,27.0,ATL,SG,79.0,79.0,3124.0,10.6,24.3,0.437,2.6,7.1,0.36,8.1,17.2,0.468,0.489,5.1,6.2,0.826,1.1,4.8,5.9,7.8,1.4,0.3,3.3,3.0,28.9,110.0,110.0,AS
3.0,O.J. Mayo,21.0,MEM,SG,82.0,82.0,3120.0,9.6,21.9,0.438,2.5,6.5,0.384,7.1,15.4,0.461,0.495,4.2,4.8,0.879,1.0,4.3,5.3,4.5,1.6,0.2,3.9,3.5,25.9,103.0,112.0,ROY-2
4.0,Antawn Jamison,32.0,WAS,PF,81.0,81.0,3096.0,11.5,24.6,0.468,1.9,5.4,0.351,9.6,19.1,0.501,0.507,5.8,7.7,0.754,3.3,8.9,12.3,2.6,1.6,0.4,2.1,3.7,30.7,114.0,113.0,
5.0,Raymond Felton,24.0,CHA,PG,82.0,81.0,3086.0,7.8,19.1,0.408,1.0,3.6,0.285,6.7,15.4,0.437,0.435,3.9,4.8,0.805,1.0,4.5,5.5,9.7,2.2,0.5,4.0,3.4,20.5,101.0,107.0,
6.0,Tayshaun Prince,28.0,DET,SF,82.0,82.0,3057.0,8.3,18.5,0.45,1.0,2.6,0.397,7.3,15.9,0.458,0.477,3.4,4.4,0.778,2.3,6.3,8.6,4.6,0.8,0.9,1.8,1.9,21.1,110.0,110.0,
7.0,LeBron James,24.0,CLE,SF,81.0,81.0,3054.0,14.0,28.6,0.489,2.3,6.8,0.344,11.6,21.8,0.535,0.53,10.5,13.5,0.78,1.9,9.0,10.9,10.4,2.4,1.6,4.3,2.5,40.8,122.0,99.0,"MVP-1,DPOY-2,AS,NBA1,DEF1"
8.0,Dirk Nowitzki,30.0,DAL,PF,81.0,81.0,3050.0,13.3,27.8,0.479,1.0,2.9,0.359,12.3,24.9,0.493,0.498,8.3,9.4,0.89,1.5,10.2,11.7,3.4,1.0,1.1,2.7,3.0,36.0,114.0,108.0,"MVP-10,AS,NBA1"
9.0,Dwyane Wade,27.0,MIA,SG,79.0,79.0,3048.0,15.0,30.5,0.491,1.5,4.9,0.317,13.4,25.6,0.524,0.516,10.3,13.5,0.765,1.6,5.4,7.0,10.3,3.0,1.9,4.8,3.1,41.8,115.0,105.0,"MVP-3,DPOY-3,AS,NBA1,DEF2"
10.0,Paul Pierce,31.0,BOS,SF,81.0,81.0,3035.0,9.4,20.7,0.457,2.1,5.3,0.391,7.4,15.3,0.48,0.508,8.0,9.7,0.83,1.0,7.0,8.0,5.1,1.4,0.5,4.0,3.8,29.0,112.0,104.0,"MVP-7,AS,NBA2"
11.0,LaMarcus Aldridge,23.0,POR,PF,81.0,81.0,3004.0,11.1,22.9,0.484,0.1,0.5,0.25,11.0,22.4,0.489,0.486,4.8,6.2,0.781,4.3,6.8,11.2,2.9,1.4,1.4,2.2,3.8,27.1,115.0,108.0,
12.0,Chris Paul,23.0,NOH,PG,78.0,78.0,3002.0,11.5,22.9,0.503,1.2,3.2,0.364,10.3,19.6,0.525,0.528,8.3,9.5,0.868,1.3,6.6,7.9,15.7,3.9,0.2,4.2,3.9,32.4,124.0,103.0,"MVP-5,DPOY-6,AS,NBA2,DEF1"
13.0,Derrick Rose,20.0,CHI,PG,81.0,80.0,3000.0,9.9,20.8,0.475,0.3,1.2,0.222,9.6,19.5,0.491,0.482,3.4,4.3,0.788,1.7,3.8,5.4,8.8,1.1,0.3,3.5,2.1,23.4,108.0,113.0,ROY-1
14.0,Ben Gordon,25.0,CHI,SG,82.0,76.0,2999.0,10.3,22.6,0.455,3.0,7.3,0.41,7.3,15.4,0.476,0.521,5.7,6.6,0.864,0.9,4.0,4.9,4.8,1.2,0.4,3.4,3.2,29.2,112.0,112.0,
15.0,Pau Gasol,28.0,LAL,C,81.0,81.0,2999.0,10.0,17.7,0.567,0.0,0.0,0.5,10.0,17.7,0.567,0.567,5.8,7.5,0.781,4.4,8.8,13.2,4.8,0.9,1.4,2.7,2.9,25.9,126.0,105.0,"AS,NBA3"
16.0,David West,28.0,NOH,PF,76.0,76.0,2982.0,11.2,23.7,0.472,0.1,0.5,0.24,11.1,23.2,0.477,0.474,6.7,7.6,0.884,2.9,8.9,11.8,3.2,0.9,1.2,3.0,3.8,29.2,109.0,107.0,AS
17.0,Andre Miller,32.0,PHI,PG,82.0,82.0,2976.0,8.8,18.7,0.473,0.3,1.0,0.283,8.6,17.7,0.483,0.48,6.1,7.3,0.826,2.2,4.4,6.6,9.6,2.0,0.3,3.6,3.5,24.0,115.0,110.0,
18.0,Kobe Bryant,30.0,LAL,SG,82.0,82.0,2960.0,13.8,29.4,0.467,2.0,5.8,0.351,11.7,23.7,0.496,0.502,8.3,9.7,0.856,1.5,5.8,7.4,6.9,2.1,0.6,3.6,3.3,37.8,115.0,106.0,"MVP-2,DPOY-7,AS,NBA1,DEF1"
19.0,John Salmons,29.0,2TM,SF,79.0,74.0,2959.0,8.9,18.9,0.472,2.2,5.2,0.417,6.7,13.7,0.493,0.53,5.0,6.0,0.83,1.0,4.7,5.8,4.3,1.4,0.4,2.9,3.1,25.0,113.0,115.0,
19.0,John Salmons,29.0,SAC,SF,53.0,53.0,1980.0,9.0,19.1,0.472,2.0,4.7,0.418,7.0,14.4,0.489,0.524,4.9,6.0,0.823,1.1,4.6,5.7,5.0,1.5,0.2,3.1,3.1,25.0,111.0,116.0,
19.0,John Salmons,29.0,CHI,SF,26.0,21.0,979.0,8.7,18.4,0.473,2.6,6.2,0.415,6.1,12.2,0.502,0.543,5.1,6.1,0.843,0.8,5.1,5.9,2.8,1.3,0.8,2.3,3.2,25.1,117.0,111.0,
20.0,Vince Carter,32.0,NJN,SG,80.0,80.0,2946.0,10.7,24.4,0.437,2.7,7.1,0.385,7.9,17.3,0.459,0.493,6.1,7.4,0.817,1.3,6.1,7.4,6.8,1.5,0.7,3.0,4.2,30.1,112.0,112.0,
