Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Michael Finley,26.0,DAL,SF,82.0,82.0,3464.0,10.9,23.9,0.457,1.4,3.6,0.401,9.5,20.3,0.467,0.487,3.8,4.6,0.82,1.8,5.8,7.6,6.4,1.6,0.5,2.9,2.5,27.1,108.0,108.0,"MVP-13,AS"
2.0,Gary Payton,31.0,SEA,PG,82.0,82.0,3425.0,11.2,25.0,0.448,2.7,7.8,0.34,8.6,17.2,0.497,0.502,4.7,6.3,0.735,1.5,6.4,7.9,11.0,2.3,0.3,3.4,2.7,29.8,114.0,104.0,"MVP-6,DPOY-5,AS,NBA1,DEF1"
3.0,Latrell Sprewell,29.0,NYK,SF,82.0,82.0,3276.0,9.3,21.4,0.435,0.7,2.1,0.346,8.6,19.4,0.445,0.452,5.7,6.5,0.866,0.8,4.9,5.7,5.5,1.8,0.4,3.7,3.0,25.0,101.0,102.0,
4.0,Kevin Garnett,23.0,MIN,PF,81.0,81.0,3243.0,12.2,24.6,0.497,0.5,1.3,0.37,11.8,23.3,0.504,0.507,5.0,6.5,0.765,3.6,11.8,15.4,6.5,1.9,2.0,4.3,3.3,29.9,107.0,99.0,"MVP-2,DPOY-7,AS,NBA1,DEF1"
5.0,Shareef Abdur-Rahim,23.0,VAN,SF,82.0,82.0,3223.0,9.7,20.9,0.465,0.5,1.6,0.302,9.3,19.3,0.478,0.477,7.3,9.0,0.809,3.6,9.9,13.5,4.4,1.5,1.4,4.1,4.0,27.2,108.0,106.0,
6.0,Allan Houston,28.0,NYK,SG,82.0,82.0,3169.0,10.4,21.6,0.483,1.8,4.1,0.436,8.6,17.5,0.494,0.525,4.8,5.7,0.838,0.6,4.0,4.6,3.8,1.1,0.2,3.2,3.7,27.4,108.0,105.0,AS
7.0,Shaquille O'Neal,27.0,LAL,C,79.0,79.0,3163.0,15.5,27.1,0.574,0.0,0.0,0.0,15.5,27.1,0.575,0.574,7.0,13.4,0.524,5.5,12.1,17.5,4.9,0.6,3.9,3.6,4.1,38.1,115.0,95.0,"MVP-1,DPOY-2,AS,NBA1,DEF2"
8.0,Mike Bibby,21.0,VAN,PG,82.0,82.0,3155.0,7.7,17.2,0.445,1.3,3.5,0.363,6.4,13.7,0.466,0.483,3.3,4.2,0.78,1.2,3.9,5.1,11.1,2.2,0.3,4.1,2.9,19.9,107.0,110.0,
9.0,Jerry Stackhouse,25.0,DET,SG,82.0,82.0,3148.0,9.9,23.1,0.428,1.3,4.6,0.288,8.5,18.5,0.462,0.456,9.9,12.1,0.815,1.9,3.1,5.0,5.8,1.6,0.6,5.0,3.0,30.9,106.0,108.0,AS
10.0,Anthony Mason,33.0,CHH,SF,82.0,81.0,3133.0,5.2,10.8,0.48,0.0,0.0,0.0,5.2,10.8,0.48,0.48,5.1,6.9,0.746,2.4,9.0,11.4,6.0,1.2,0.5,2.6,3.6,15.5,112.0,102.0,DPOY-8
11.0,Vince Carter,23.0,TOR,SF,82.0,82.0,3126.0,13.1,28.2,0.465,1.6,3.9,0.403,11.5,24.2,0.475,0.493,7.2,9.2,0.791,2.5,5.4,7.9,5.3,1.8,1.5,3.0,4.4,35.0,112.0,105.0,"MVP-10,AS,NBA3"
