Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Allen Iverson,29.0,PHI,PG,75.0,75.0,3174.0,771.0,1818.0,0.424,104.0,338.0,0.308,667.0,1480.0,0.451,0.453,656.0,786.0,0.835,51.0,248.0,299.0,596.0,180.0,9.0,344.0,140.0,2302.0,0.0,"MVP-5,DPOY-11,AS,NBA1"
2.0,LeBron James,20.0,CLE,SF,80.0,80.0,3388.0,795.0,1684.0,0.472,108.0,308.0,0.351,687.0,1376.0,0.499,0.504,477.0,636.0,0.75,111.0,477.0,588.0,577.0,177.0,52.0,262.0,146.0,2175.0,4.0,"MVP-6,AS,NBA2"
3.0,Amar'e Stoudemire,22.0,PHO,C,80.0,80.0,2889.0,747.0,1336.0,0.559,3.0,16.0,0.188,744.0,1320.0,0.564,0.56,583.0,795.0,0.733,219.0,494.0,713.0,131.0,77.0,130.0,189.0,278.0,2080.0,0.0,"MVP-9,AS,NBA2"
4.0,Gilbert Arenas,23.0,WAS,PG,80.0,80.0,3274.0,656.0,1523.0,0.431,205.0,562.0,0.365,451.0,961.0,0.469,0.498,521.0,640.0,0.814,83.0,295.0,378.0,411.0,139.0,23.0,242.0,245.0,2038.0,0.0,"MVP-12,AS,NBA3"
5.0,Dirk Nowitzki,26.0,DAL,PF,78.0,78.0,3020.0,663.0,1445.0,0.459,91.0,228.0,0.399,572.0,1217.0,0.47,0.49,615.0,708.0,0.869,96.0,661.0,757.0,240.0,97.0,119.0,176.0,219.0,2032.0,0.0,"MVP-3,AS,NBA1"
6.0,Tracy McGrady,25.0,HOU,SF,78.0,78.0,3182.0,715.0,1660.0,0.431,142.0,435.0,0.326,573.0,1225.0,0.468,0.473,431.0,557.0,0.774,71.0,413.0,484.0,448.0,135.0,52.0,201.0,167.0,2003.0,0.0,"MVP-7,AS,NBA3"
7.0,Vince Carter,28.0,2TM,SF,77.0,76.0,2828.0,696.0,1541.0,0.452,127.0,313.0,0.406,569.0,1228.0,0.463,0.493,367.0,460.0,0.798,106.0,295.0,401.0,327.0,109.0,48.0,168.0,243.0,1886.0,0.0,"MVP-13,AS"
7.0,Vince Carter,28.0,TOR,SG,20.0,20.0,608.0,124.0,302.0,0.411,19.0,59.0,0.322,105.0,243.0,0.432,0.442,50.0,72.0,0.694,28.0,38.0,66.0,61.0,25.0,15.0,22.0,56.0,317.0,0.0,
7.0,Vince Carter,28.0,NJN,SF,57.0,56.0,2220.0,572.0,1239.0,0.462,108.0,254.0,0.425,464.0,985.0,0.471,0.505,317.0,388.0,0.817,78.0,257.0,335.0,266.0,84.0,33.0,146.0,187.0,1569.0,0.0,
8.0,Ray Allen,29.0,SEA,SG,78.0,78.0,3064.0,640.0,1494.0,0.428,209.0,556.0,0.376,431.0,938.0,0.459,0.498,378.0,428.0,0.883,79.0,268.0,347.0,289.0,84.0,5.0,171.0,167.0,1867.0,0.0,"MVP-9,AS,NBA2"
9.0,Dwyane Wade,23.0,MIA,SG,77.0,77.0,2974.0,630.0,1318.0,0.478,13.0,45.0,0.289,617.0,1273.0,0.485,0.483,581.0,762.0,0.762,110.0,287.0,397.0,520.0,121.0,82.0,321.0,230.0,1854.0,1.0,"MVP-8,DPOY-21,AS,NBA2,DEF2"
10.0,Kobe Bryant,26.0,LAL,SG,66.0,66.0,2689.0,573.0,1324.0,0.433,131.0,387.0,0.339,442.0,937.0,0.472,0.482,542.0,664.0,0.816,95.0,297.0,392.0,398.0,86.0,53.0,270.0,174.0,1819.0,5.0,"AS,NBA3"
11.0,Kevin Garnett,28.0,MIN,PF,82.0,82.0,3121.0,683.0,1360.0,0.502,6.0,25.0,0.24,677.0,1335.0,0.507,0.504,445.0,549.0,0.811,247.0,861.0,1108.0,466.0,121.0,112.0,222.0,207.0,1817.0,1.0,"MVP-11,DPOY-9,AS,NBA2,DEF1"
12.0,Stephon Marbury,27.0,NYK,PG,82.0,82.0,3281.0,604.0,1308.0,0.462,115.0,325.0,0.354,489.0,983.0,0.497,0.506,458.0,549.0,0.834,50.0,198.0,248.0,668.0,122.0,6.0,233.0,186.0,1781.0,0.0,
13.0,Paul Pierce,27.0,BOS,SF,82.0,82.0,2960.0,556.0,1223.0,0.455,108.0,292.0,0.37,448.0,931.0,0.481,0.499,549.0,668.0,0.822,78.0,461.0,539.0,348.0,133.0,39.0,230.0,255.0,1769.0,2.0,AS
14.0,Michael Redd,25.0,MIL,SG,75.0,75.0,2848.0,625.0,1418.0,0.441,104.0,293.0,0.355,521.0,1125.0,0.463,0.477,369.0,432.0,0.854,72.0,240.0,312.0,172.0,63.0,8.0,133.0,152.0,1723.0,0.0,
15.0,Shaquille O'Neal,32.0,MIA,C,73.0,73.0,2492.0,658.0,1095.0,0.601,0.0,0.0,,658.0,1095.0,0.601,0.601,353.0,765.0,0.461,253.0,507.0,760.0,200.0,36.0,171.0,203.0,262.0,1669.0,0.0,"MVP-2,DPOY-8,AS,NBA1"
16.0,Steve Francis,27.0,ORL,PG,78.0,78.0,2978.0,563.0,1330.0,0.423,38.0,127.0,0.299,525.0,1203.0,0.436,0.438,499.0,606.0,0.823,126.0,324.0,450.0,547.0,112.0,28.0,317.0,273.0,1663.0,0.0,
