Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Dwyane Wade,27.0,MIA,SG,79.0,79.0,3048.0,854.0,1739.0,0.491,88.0,278.0,0.317,766.0,1461.0,0.524,0.516,590.0,771.0,0.765,89.0,309.0,398.0,589.0,173.0,106.0,272.0,178.0,2386.0,0.0,"MVP-3,DPOY-3,AS,NBA1,DEF2"
2.0,LeBron James,24.0,CLE,SF,81.0,81.0,3054.0,789.0,1613.0,0.489,132.0,384.0,0.344,657.0,1229.0,0.535,0.53,594.0,762.0,0.78,106.0,507.0,613.0,587.0,137.0,93.0,241.0,139.0,2304.0,7.0,"MVP-1,DPOY-2,AS,NBA1,DEF1"
3.0,Kobe Bryant,30.0,LAL,SG,82.0,82.0,2960.0,800.0,1712.0,0.467,118.0,336.0,0.351,682.0,1376.0,0.496,0.502,483.0,564.0,0.856,90.0,339.0,429.0,399.0,120.0,37.0,210.0,189.0,2201.0,2.0,"MVP-2,DPOY-7,AS,NBA1,DEF1"
4.0,Dirk Nowitzki,30.0,DAL,PF,81.0,81.0,3050.0,774.0,1616.0,0.479,61.0,170.0,0.359,713.0,1446.0,0.493,0.498,485.0,545.0,0.89,88.0,593.0,681.0,197.0,61.0,63.0,157.0,176.0,2094.0,0.0,"MVP-10,AS,NBA1"
5.0,Kevin Durant,20.0,OKC,SF,74.0,74.0,2885.0,661.0,1390.0,0.476,97.0,230.0,0.422,564.0,1160.0,0.486,0.51,452.0,524.0,0.863,77.0,405.0,482.0,205.0,96.0,53.0,225.0,134.0,1871.0,0.0,
6.0,Antawn Jamison,32.0,WAS,PF,81.0,81.0,3096.0,674.0,1441.0,0.468,112.0,319.0,0.351,562.0,1122.0,0.501,0.507,341.0,452.0,0.754,196.0,525.0,721.0,153.0,95.0,25.0,125.0,218.0,1801.0,0.0,
7.0,Chris Paul,23.0,NOH,PG,78.0,78.0,3002.0,631.0,1255.0,0.503,64.0,176.0,0.364,567.0,1079.0,0.525,0.528,455.0,524.0,0.868,69.0,363.0,432.0,861.0,216.0,10.0,231.0,212.0,1781.0,6.0,"MVP-5,DPOY-6,AS,NBA2,DEF1"
8.0,Brandon Roy,24.0,POR,SG,78.0,78.0,2903.0,633.0,1318.0,0.48,83.0,220.0,0.377,550.0,1098.0,0.501,0.512,416.0,505.0,0.824,104.0,266.0,370.0,400.0,88.0,22.0,152.0,127.0,1765.0,0.0,"MVP-9,AS,NBA2"
9.0,Chris Bosh,24.0,TOR,C,77.0,77.0,2928.0,615.0,1263.0,0.487,12.0,49.0,0.245,603.0,1214.0,0.497,0.492,504.0,617.0,0.817,215.0,556.0,771.0,191.0,67.0,77.0,174.0,189.0,1746.0,0.0,AS
10.0,Danny Granger,25.0,IND,SF,67.0,66.0,2424.0,571.0,1277.0,0.447,182.0,450.0,0.404,389.0,827.0,0.47,0.518,404.0,460.0,0.878,49.0,292.0,341.0,183.0,69.0,97.0,165.0,207.0,1728.0,0.0,"MIP-1,AS"
11.0,Ben Gordon,25.0,CHI,SG,82.0,76.0,2999.0,598.0,1315.0,0.455,173.0,422.0,0.41,425.0,893.0,0.476,0.521,330.0,382.0,0.864,52.0,231.0,283.0,279.0,71.0,22.0,200.0,184.0,1699.0,0.0,
12.0,Joe Johnson,27.0,ATL,SG,79.0,79.0,3124.0,620.0,1420.0,0.437,149.0,414.0,0.36,471.0,1006.0,0.468,0.489,299.0,362.0,0.826,65.0,281.0,346.0,455.0,84.0,19.0,195.0,176.0,1688.0,1.0,AS
13.0,Vince Carter,32.0,NJN,SG,80.0,80.0,2946.0,588.0,1345.0,0.437,151.0,392.0,0.385,437.0,953.0,0.459,0.493,335.0,410.0,0.817,74.0,336.0,410.0,376.0,82.0,38.0,166.0,234.0,1662.0,1.0,
14.0,Paul Pierce,31.0,BOS,SF,81.0,81.0,3035.0,540.0,1181.0,0.457,119.0,304.0,0.391,421.0,877.0,0.48,0.508,459.0,553.0,0.83,56.0,401.0,457.0,294.0,80.0,27.0,228.0,215.0,1658.0,0.0,"MVP-7,AS,NBA2"
15.0,Dwight Howard,23.0,ORL,C,79.0,79.0,2821.0,560.0,979.0,0.572,0.0,2.0,0.0,560.0,977.0,0.573,0.572,504.0,849.0,0.594,336.0,757.0,1093.0,112.0,77.0,231.0,240.0,270.0,1624.0,1.0,"MVP-4,DPOY-1,AS,NBA1,DEF1"
16.0,Richard Jefferson,28.0,MIL,SF,82.0,82.0,2939.0,537.0,1222.0,0.439,116.0,292.0,0.397,421.0,930.0,0.453,0.487,417.0,518.0,0.805,57.0,317.0,374.0,199.0,66.0,14.0,165.0,252.0,1607.0,0.0,
17.0,David West,28.0,NOH,PF,76.0,76.0,2982.0,610.0,1292.0,0.472,6.0,25.0,0.24,604.0,1267.0,0.477,0.474,367.0,415.0,0.884,160.0,486.0,646.0,173.0,49.0,68.0,163.0,207.0,1593.0,0.0,AS
18.0,Tony Parker,26.0,SAS,PG,72.0,71.0,2456.0,639.0,1263.0,0.506,19.0,65.0,0.292,620.0,1198.0,0.518,0.513,284.0,363.0,0.782,27.0,196.0,223.0,496.0,67.0,4.0,186.0,110.0,1581.0,0.0,"MVP-8,AS,NBA3"
19.0,Andre Iguodala,25.0,PHI,SF,82.0,82.0,3269.0,542.0,1147.0,0.473,80.0,261.0,0.307,462.0,886.0,0.521,0.507,377.0,521.0,0.724,92.0,379.0,471.0,434.0,131.0,36.0,222.0,152.0,1541.0,0.0,DPOY-13
20.0,Pau Gasol,28.0,LAL,C,81.0,81.0,2999.0,592.0,1045.0,0.567,1.0,2.0,0.5,591.0,1043.0,0.567,0.567,343.0,439.0,0.781,262.0,518.0,780.0,284.0,52.0,81.0,157.0,172.0,1528.0,1.0,"AS,NBA3"
21.0,O.J. Mayo,21.0,MEM,SG,82.0,82.0,3120.0,562.0,1283.0,0.438,145.0,378.0,0.384,417.0,905.0,0.461,0.495,247.0,281.0,0.879,56.0,252.0,308.0,262.0,91.0,13.0,226.0,204.0,1516.0,0.0,ROY-2
22.0,Yao Ming,28.0,HOU,C,77.0,77.0,2589.0,566.0,1032.0,0.548,1.0,1.0,1.0,565.0,1031.0,0.548,0.549,381.0,440.0,0.866,204.0,557.0,761.0,137.0,30.0,150.0,234.0,257.0,1514.0,0.0,"MVP-12,AS,NBA2"
23.0,Carmelo Anthony,24.0,DEN,SF,66.0,66.0,2277.0,535.0,1207.0,0.443,63.0,170.0,0.371,472.0,1037.0,0.455,0.469,371.0,468.0,0.793,106.0,344.0,450.0,222.0,75.0,24.0,199.0,195.0,1504.0,0.0,NBA3
24.0,Rudy Gay,22.0,MEM,SF,79.0,78.0,2945.0,572.0,1262.0,0.453,85.0,242.0,0.351,487.0,1020.0,0.477,0.487,264.0,344.0,0.767,109.0,328.0,437.0,135.0,98.0,59.0,203.0,221.0,1493.0,0.0,
25.0,LaMarcus Aldridge,23.0,POR,PF,81.0,81.0,3004.0,601.0,1243.0,0.484,7.0,28.0,0.25,594.0,1215.0,0.489,0.486,261.0,334.0,0.781,234.0,371.0,605.0,157.0,77.0,77.0,121.0,207.0,1470.0,0.0,
26.0,Devin Harris,25.0,NJN,PG,69.0,69.0,2494.0,455.0,1039.0,0.438,64.0,220.0,0.291,391.0,819.0,0.477,0.469,496.0,605.0,0.82,30.0,201.0,231.0,476.0,114.0,13.0,212.0,164.0,1470.0,0.0,AS
27.0,Al Harrington,28.0,2TM,PF,73.0,56.0,2546.0,532.0,1212.0,0.439,171.0,470.0,0.364,361.0,742.0,0.487,0.509,234.0,295.0,0.793,99.0,356.0,455.0,102.0,88.0,22.0,161.0,227.0,1469.0,0.0,
27.0,Al Harrington,28.0,GSW,PF,5.0,5.0,166.0,23.0,70.0,0.329,11.0,28.0,0.393,12.0,42.0,0.286,0.407,5.0,10.0,0.5,10.0,18.0,28.0,10.0,7.0,0.0,7.0,14.0,62.0,0.0,
27.0,Al Harrington,28.0,NYK,PF,68.0,51.0,2380.0,509.0,1142.0,0.446,160.0,442.0,0.362,349.0,700.0,0.499,0.516,229.0,285.0,0.804,89.0,338.0,427.0,92.0,81.0,22.0,154.0,213.0,1407.0,0.0,
28.0,Tim Duncan,32.0,SAS,C,75.0,75.0,2524.0,558.0,1107.0,0.504,0.0,2.0,0.0,558.0,1105.0,0.505,0.504,334.0,483.0,0.692,201.0,599.0,800.0,264.0,38.0,126.0,165.0,173.0,1450.0,0.0,"MVP-11,DPOY-11,AS,NBA2,DEF2"
29.0,Jason Terry,31.0,DAL,SG,74.0,11.0,2491.0,541.0,1168.0,0.463,167.0,456.0,0.366,374.0,712.0,0.525,0.535,198.0,225.0,0.88,39.0,138.0,177.0,251.0,97.0,20.0,119.0,141.0,1447.0,0.0,6MOY-1
30.0,John Salmons,29.0,2TM,SF,79.0,74.0,2959.0,516.0,1093.0,0.472,126.0,302.0,0.417,390.0,791.0,0.493,0.53,288.0,347.0,0.83,59.0,274.0,333.0,249.0,83.0,24.0,165.0,182.0,1446.0,0.0,
30.0,John Salmons,29.0,SAC,SF,53.0,53.0,1980.0,351.0,744.0,0.472,77.0,184.0,0.418,274.0,560.0,0.489,0.524,191.0,232.0,0.823,43.0,178.0,221.0,196.0,58.0,9.0,122.0,122.0,970.0,0.0,
30.0,John Salmons,29.0,CHI,SF,26.0,21.0,979.0,165.0,349.0,0.473,49.0,118.0,0.415,116.0,231.0,0.502,0.543,97.0,115.0,0.843,16.0,96.0,112.0,53.0,25.0,15.0,43.0,60.0,476.0,0.0,
31.0,Mo Williams,26.0,CLE,PG,81.0,81.0,2834.0,526.0,1126.0,0.467,183.0,420.0,0.436,343.0,706.0,0.486,0.548,208.0,228.0,0.912,47.0,232.0,279.0,329.0,69.0,9.0,179.0,215.0,1443.0,0.0,AS
32.0,Ray Allen,33.0,BOS,SG,79.0,79.0,2876.0,499.0,1040.0,0.48,199.0,486.0,0.409,300.0,554.0,0.542,0.575,237.0,249.0,0.952,66.0,212.0,278.0,218.0,69.0,13.0,134.0,157.0,1434.0,0.0,AS
33.0,Rashard Lewis,29.0,ORL,PF,79.0,79.0,2859.0,478.0,1089.0,0.439,220.0,554.0,0.397,258.0,535.0,0.482,0.54,225.0,269.0,0.836,92.0,361.0,453.0,205.0,81.0,51.0,158.0,194.0,1401.0,0.0,AS
34.0,Chauncey Billups,32.0,2TM,PG,79.0,79.0,2789.0,410.0,980.0,0.418,162.0,397.0,0.408,248.0,583.0,0.425,0.501,418.0,458.0,0.913,32.0,207.0,239.0,506.0,93.0,18.0,177.0,161.0,1400.0,0.0,"MVP-6,AS,NBA3"
34.0,Chauncey Billups,32.0,DET,PG,2.0,2.0,70.0,7.0,21.0,0.333,2.0,7.0,0.286,5.0,14.0,0.357,0.381,9.0,10.0,0.9,1.0,9.0,10.0,15.0,3.0,1.0,4.0,3.0,25.0,0.0,
34.0,Chauncey Billups,32.0,DEN,PG,77.0,77.0,2719.0,403.0,959.0,0.42,160.0,390.0,0.41,243.0,569.0,0.427,0.504,409.0,448.0,0.913,31.0,198.0,229.0,491.0,90.0,17.0,173.0,158.0,1375.0,0.0,
35.0,Caron Butler,28.0,WAS,SG,67.0,67.0,2585.0,491.0,1085.0,0.453,65.0,210.0,0.31,426.0,875.0,0.487,0.482,345.0,402.0,0.858,118.0,296.0,414.0,290.0,106.0,20.0,210.0,165.0,1392.0,0.0,
36.0,Derrick Rose,20.0,CHI,PG,81.0,80.0,3000.0,574.0,1208.0,0.475,16.0,72.0,0.222,558.0,1136.0,0.491,0.482,197.0,250.0,0.788,96.0,221.0,317.0,512.0,66.0,18.0,202.0,125.0,1361.0,0.0,ROY-1
37.0,Andre Miller,32.0,PHI,PG,82.0,82.0,2976.0,492.0,1041.0,0.473,15.0,53.0,0.283,477.0,988.0,0.483,0.48,338.0,409.0,0.826,123.0,245.0,368.0,534.0,109.0,14.0,199.0,196.0,1337.0,2.0,
38.0,Shaquille O'Neal,36.0,PHO,C,75.0,75.0,2252.0,512.0,841.0,0.609,0.0,1.0,0.0,512.0,840.0,0.61,0.609,309.0,519.0,0.595,187.0,446.0,633.0,126.0,49.0,108.0,168.0,253.0,1333.0,0.0,"AS,NBA3"
39.0,Deron Williams,24.0,UTA,PG,68.0,68.0,2505.0,463.0,984.0,0.471,70.0,226.0,0.31,393.0,758.0,0.518,0.506,326.0,384.0,0.849,24.0,171.0,195.0,725.0,73.0,20.0,228.0,134.0,1322.0,0.0,
40.0,Hedo TÃ¼rkoÄlu,29.0,ORL,SF,77.0,77.0,2815.0,423.0,1025.0,0.413,134.0,376.0,0.356,289.0,649.0,0.445,0.478,314.0,389.0,0.807,45.0,365.0,410.0,375.0,64.0,19.0,204.0,218.0,1294.0,0.0,DPOY-16
41.0,David Lee,25.0,NYK,C,81.0,74.0,2824.0,522.0,951.0,0.549,0.0,3.0,0.0,522.0,948.0,0.551,0.549,249.0,330.0,0.755,256.0,695.0,951.0,174.0,80.0,22.0,150.0,260.0,1293.0,0.0,
42.0,Jeff Green,22.0,OKC,PF,78.0,78.0,2873.0,476.0,1068.0,0.446,96.0,247.0,0.389,380.0,821.0,0.463,0.491,242.0,307.0,0.788,120.0,399.0,519.0,155.0,81.0,33.0,173.0,202.0,1290.0,0.0,
43.0,Jamal Crawford,28.0,2TM,PG,65.0,65.0,2479.0,419.0,1022.0,0.41,142.0,394.0,0.36,277.0,628.0,0.441,0.479,300.0,344.0,0.872,23.0,170.0,193.0,288.0,57.0,13.0,148.0,92.0,1280.0,0.0,
43.0,Jamal Crawford,28.0,NYK,SG,11.0,11.0,392.0,73.0,169.0,0.432,35.0,77.0,0.455,38.0,92.0,0.413,0.536,35.0,46.0,0.761,2.0,15.0,17.0,48.0,9.0,0.0,26.0,13.0,216.0,0.0,
43.0,Jamal Crawford,28.0,GSW,PG,54.0,54.0,2087.0,346.0,853.0,0.406,107.0,317.0,0.338,239.0,536.0,0.446,0.468,265.0,298.0,0.889,21.0,155.0,176.0,240.0,48.0,13.0,122.0,79.0,1064.0,0.0,
44.0,Nate Robinson,24.0,NYK,PG,74.0,11.0,2209.0,449.0,1028.0,0.437,125.0,385.0,0.325,324.0,643.0,0.504,0.498,249.0,296.0,0.841,98.0,192.0,290.0,301.0,95.0,6.0,139.0,206.0,1272.0,0.0,6MOY-3
45.0,Charlie Villanueva,24.0,MIL,PF,78.0,47.0,2095.0,487.0,1089.0,0.447,89.0,258.0,0.345,398.0,831.0,0.479,0.488,201.0,240.0,0.838,154.0,366.0,520.0,137.0,50.0,56.0,138.0,254.0,1264.0,0.0,
46.0,Russell Westbrook,20.0,OKC,PG,82.0,65.0,2668.0,436.0,1095.0,0.398,35.0,129.0,0.271,401.0,966.0,0.415,0.414,349.0,428.0,0.815,178.0,221.0,399.0,435.0,110.0,16.0,274.0,191.0,1256.0,1.0,ROY-4
47.0,Kevin Martin,25.0,SAC,SG,51.0,46.0,1947.0,341.0,811.0,0.42,115.0,277.0,0.415,226.0,534.0,0.423,0.491,457.0,527.0,0.867,29.0,154.0,183.0,138.0,61.0,8.0,146.0,116.0,1254.0,0.0,
48.0,Eric Gordon,20.0,LAC,SG,78.0,65.0,2677.0,411.0,901.0,0.456,131.0,337.0,0.389,280.0,564.0,0.496,0.529,299.0,350.0,0.854,45.0,156.0,201.0,215.0,78.0,35.0,164.0,172.0,1252.0,0.0,ROY-5
49.0,J.R. Smith,23.0,DEN,SG,81.0,18.0,2245.0,424.0,950.0,0.446,180.0,453.0,0.397,244.0,497.0,0.491,0.541,205.0,272.0,0.754,43.0,254.0,297.0,227.0,78.0,14.0,150.0,190.0,1233.0,0.0,6MOY-2
50.0,Richard Hamilton,30.0,DET,SG,67.0,51.0,2279.0,466.0,1043.0,0.447,70.0,190.0,0.368,396.0,853.0,0.464,0.48,223.0,263.0,0.848,44.0,163.0,207.0,297.0,40.0,4.0,133.0,176.0,1225.0,0.0,
51.0,Mehmet Okur,29.0,UTA,C,72.0,72.0,2409.0,431.0,888.0,0.485,90.0,202.0,0.446,341.0,686.0,0.497,0.536,273.0,334.0,0.817,124.0,433.0,557.0,120.0,54.0,53.0,132.0,219.0,1225.0,0.0,
52.0,Stephen Jackson,30.0,GSW,SF,59.0,59.0,2339.0,413.0,997.0,0.414,103.0,305.0,0.338,310.0,692.0,0.448,0.466,294.0,356.0,0.826,70.0,233.0,303.0,381.0,88.0,31.0,229.0,153.0,1223.0,1.0,
53.0,Jason Richardson,28.0,2TM,SG,72.0,71.0,2410.0,465.0,974.0,0.477,129.0,325.0,0.397,336.0,649.0,0.518,0.544,153.0,199.0,0.769,77.0,242.0,319.0,146.0,76.0,28.0,95.0,146.0,1212.0,0.0,
53.0,Jason Richardson,28.0,CHA,SG,14.0,14.0,491.0,97.0,220.0,0.441,27.0,59.0,0.458,70.0,161.0,0.435,0.502,41.0,55.0,0.745,13.0,45.0,58.0,36.0,14.0,3.0,24.0,43.0,262.0,0.0,
53.0,Jason Richardson,28.0,PHO,SG,58.0,57.0,1919.0,368.0,754.0,0.488,102.0,266.0,0.383,266.0,488.0,0.545,0.556,112.0,144.0,0.778,64.0,197.0,261.0,110.0,62.0,25.0,71.0,103.0,950.0,0.0,
54.0,Andrea Bargnani,23.0,TOR,PF,78.0,59.0,2453.0,431.0,958.0,0.45,119.0,291.0,0.409,312.0,667.0,0.468,0.512,221.0,266.0,0.831,70.0,346.0,416.0,94.0,34.0,97.0,135.0,242.0,1202.0,0.0,
55.0,Al Thornton,25.0,LAC,SF,71.0,67.0,2654.0,469.0,1051.0,0.446,20.0,79.0,0.253,449.0,972.0,0.462,0.456,236.0,313.0,0.754,122.0,246.0,368.0,103.0,59.0,62.0,130.0,227.0,1194.0,0.0,
56.0,Wilson Chandler,21.0,NYK,SF,82.0,70.0,2735.0,455.0,1054.0,0.432,103.0,314.0,0.328,352.0,740.0,0.476,0.481,171.0,215.0,0.795,91.0,354.0,445.0,170.0,71.0,75.0,139.0,250.0,1184.0,0.0,
57.0,Gerald Wallace,26.0,CHA,SF,71.0,71.0,2669.0,389.0,811.0,0.48,39.0,131.0,0.298,350.0,680.0,0.515,0.504,365.0,454.0,0.804,112.0,441.0,553.0,189.0,121.0,67.0,148.0,210.0,1182.0,0.0,
58.0,Metta World Peace,29.0,HOU,SF,69.0,55.0,2452.0,416.0,1037.0,0.401,153.0,383.0,0.399,263.0,654.0,0.402,0.475,196.0,262.0,0.748,65.0,294.0,359.0,229.0,105.0,24.0,140.0,155.0,1181.0,0.0,"DPOY-5,DEF2"
59.0,Mike Bibby,30.0,ATL,PG,79.0,79.0,2740.0,437.0,1005.0,0.435,167.0,428.0,0.39,270.0,577.0,0.468,0.518,135.0,171.0,0.789,38.0,240.0,278.0,392.0,98.0,11.0,128.0,145.0,1176.0,0.0,
