Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Kobe Bryant,27.0,LAL,SG,80.0,80.0,3277.0,978.0,2173.0,0.45,180.0,518.0,0.347,798.0,1655.0,0.482,0.491,696.0,819.0,0.85,71.0,354.0,425.0,360.0,147.0,30.0,250.0,233.0,2832.0,0.0,"MVP-4,AS,NBA1,DEF1"
2.0,LeBron James,21.0,CLE,SF,79.0,79.0,3361.0,875.0,1823.0,0.48,127.0,379.0,0.335,748.0,1444.0,0.518,0.515,601.0,814.0,0.738,75.0,481.0,556.0,521.0,123.0,66.0,260.0,181.0,2478.0,5.0,"MVP-2,AS,NBA1"
3.0,Allen Iverson,30.0,PHI,PG,72.0,72.0,3103.0,815.0,1822.0,0.447,72.0,223.0,0.323,743.0,1599.0,0.465,0.467,675.0,829.0,0.814,44.0,188.0,232.0,532.0,140.0,10.0,248.0,121.0,2377.0,0.0,"MVP-10,AS,NBA3"
4.0,Gilbert Arenas,24.0,WAS,PG,80.0,80.0,3384.0,746.0,1668.0,0.447,199.0,540.0,0.369,547.0,1128.0,0.485,0.507,655.0,799.0,0.82,59.0,221.0,280.0,484.0,161.0,25.0,297.0,286.0,2346.0,0.0,"AS,NBA3"
5.0,Dirk Nowitzki,27.0,DAL,PF,81.0,81.0,3089.0,751.0,1564.0,0.48,110.0,271.0,0.406,641.0,1293.0,0.496,0.515,539.0,598.0,0.901,115.0,613.0,728.0,226.0,58.0,83.0,156.0,164.0,2151.0,0.0,"MVP-3,AS,NBA1"
6.0,Carmelo Anthony,21.0,DEN,SF,80.0,80.0,2941.0,756.0,1572.0,0.481,37.0,152.0,0.243,719.0,1420.0,0.506,0.493,573.0,709.0,0.808,122.0,272.0,394.0,216.0,88.0,42.0,218.0,229.0,2122.0,0.0,NBA3
7.0,Paul Pierce,28.0,BOS,SF,79.0,79.0,3084.0,689.0,1462.0,0.471,111.0,314.0,0.354,578.0,1148.0,0.503,0.509,627.0,812.0,0.772,77.0,453.0,530.0,375.0,107.0,34.0,273.0,223.0,2116.0,1.0,AS
8.0,Dwyane Wade,24.0,MIA,SG,75.0,75.0,2892.0,699.0,1413.0,0.495,13.0,76.0,0.171,686.0,1337.0,0.513,0.499,629.0,803.0,0.783,107.0,323.0,430.0,503.0,146.0,58.0,268.0,217.0,2040.0,2.0,"MVP-6,AS,NBA2"
9.0,Michael Redd,26.0,MIL,SG,80.0,80.0,3130.0,682.0,1516.0,0.45,163.0,413.0,0.395,519.0,1103.0,0.471,0.504,501.0,571.0,0.877,78.0,264.0,342.0,229.0,95.0,5.0,170.0,157.0,2028.0,0.0,
10.0,Ray Allen,30.0,SEA,SG,78.0,78.0,3022.0,681.0,1500.0,0.454,269.0,653.0,0.412,412.0,847.0,0.486,0.544,324.0,359.0,0.903,71.0,261.0,332.0,286.0,105.0,16.0,188.0,151.0,1955.0,0.0,AS
11.0,Elton Brand,26.0,LAC,PF,79.0,79.0,3099.0,756.0,1435.0,0.527,1.0,3.0,0.333,755.0,1432.0,0.527,0.527,440.0,568.0,0.775,236.0,554.0,790.0,208.0,81.0,201.0,173.0,227.0,1953.0,0.0,"MVP-7,DPOY-10,AS,NBA2"
12.0,Vince Carter,29.0,NJN,SG,79.0,79.0,2906.0,653.0,1518.0,0.43,125.0,367.0,0.341,528.0,1151.0,0.459,0.471,480.0,601.0,0.799,135.0,327.0,462.0,338.0,94.0,53.0,213.0,235.0,1911.0,1.0,AS
13.0,Shawn Marion,27.0,PHO,PF,81.0,81.0,3263.0,716.0,1365.0,0.525,96.0,290.0,0.331,620.0,1075.0,0.577,0.56,241.0,298.0,0.809,249.0,710.0,959.0,143.0,160.0,137.0,125.0,223.0,1769.0,0.0,"MVP-10,DPOY-7,AS,NBA3"
14.0,Jason Richardson,25.0,GSW,SG,75.0,75.0,2877.0,641.0,1438.0,0.446,183.0,477.0,0.384,458.0,961.0,0.477,0.509,276.0,410.0,0.673,105.0,333.0,438.0,232.0,97.0,37.0,167.0,206.0,1741.0,0.0,
15.0,Mike Bibby,27.0,SAC,PG,82.0,82.0,3167.0,597.0,1382.0,0.432,192.0,497.0,0.386,405.0,885.0,0.458,0.501,342.0,403.0,0.849,29.0,211.0,240.0,444.0,82.0,10.0,199.0,169.0,1728.0,0.0,
16.0,Antawn Jamison,29.0,WAS,SF,82.0,80.0,3288.0,660.0,1494.0,0.442,147.0,373.0,0.394,513.0,1121.0,0.458,0.491,217.0,297.0,0.731,167.0,598.0,765.0,158.0,90.0,12.0,137.0,189.0,1684.0,0.0,
