Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Kevin Garnett,27.0,MIN,PF,82.0,82.0,3231.0,804.0,1611.0,0.499,11.0,43.0,0.256,793.0,1568.0,0.506,0.502,368.0,465.0,0.791,245.0,894.0,1139.0,409.0,120.0,178.0,212.0,202.0,1987.0,2.0,"MVP-1,DPOY-6,AS,NBA1,DEF1"
2.0,Peja StojakoviÄ,26.0,SAC,SF,81.0,81.0,3264.0,665.0,1386.0,0.48,240.0,554.0,0.433,425.0,832.0,0.511,0.566,394.0,425.0,0.927,91.0,417.0,508.0,173.0,108.0,14.0,153.0,159.0,1964.0,0.0,"MVP-4,AS,NBA2"
3.0,Tracy McGrady,24.0,ORL,SG,67.0,67.0,2675.0,653.0,1566.0,0.417,174.0,513.0,0.339,479.0,1053.0,0.455,0.473,398.0,500.0,0.796,95.0,307.0,402.0,370.0,93.0,42.0,179.0,129.0,1878.0,0.0,"AS,NBA2"
4.0,Paul Pierce,26.0,BOS,SG,80.0,80.0,3099.0,602.0,1497.0,0.402,115.0,384.0,0.299,487.0,1113.0,0.438,0.441,517.0,631.0,0.819,69.0,453.0,522.0,410.0,131.0,52.0,303.0,234.0,1836.0,1.0,AS
5.0,Michael Redd,24.0,MIL,SG,82.0,82.0,3021.0,633.0,1439.0,0.44,127.0,363.0,0.35,506.0,1076.0,0.47,0.484,383.0,441.0,0.868,118.0,289.0,407.0,185.0,81.0,6.0,116.0,152.0,1776.0,0.0,"MVP-14,AS,NBA3"
6.0,Carmelo Anthony,19.0,DEN,SF,82.0,82.0,2995.0,624.0,1465.0,0.426,69.0,214.0,0.322,555.0,1251.0,0.444,0.449,408.0,525.0,0.777,183.0,315.0,498.0,227.0,97.0,41.0,247.0,225.0,1725.0,0.0,"MVP-14,ROY-2"
7.0,Dirk Nowitzki,25.0,DAL,C,77.0,77.0,2915.0,605.0,1310.0,0.462,99.0,290.0,0.341,506.0,1020.0,0.496,0.5,371.0,423.0,0.877,90.0,580.0,670.0,207.0,92.0,104.0,135.0,216.0,1680.0,0.0,"MVP-10,AS,NBA3"
8.0,LeBron James,19.0,CLE,SG,79.0,79.0,3122.0,622.0,1492.0,0.417,63.0,217.0,0.29,559.0,1275.0,0.438,0.438,347.0,460.0,0.754,99.0,333.0,432.0,465.0,130.0,58.0,273.0,149.0,1654.0,0.0,"MVP-9,ROY-1"
9.0,Vince Carter,27.0,TOR,SG,73.0,73.0,2785.0,608.0,1457.0,0.417,93.0,243.0,0.383,515.0,1214.0,0.424,0.449,336.0,417.0,0.806,95.0,254.0,349.0,348.0,88.0,65.0,223.0,212.0,1645.0,0.0,AS
10.0,Stephon Marbury,26.0,2TM,PG,81.0,81.0,3254.0,598.0,1386.0,0.431,87.0,274.0,0.318,511.0,1112.0,0.46,0.463,356.0,436.0,0.817,58.0,205.0,263.0,719.0,129.0,9.0,249.0,172.0,1639.0,0.0,
10.0,Stephon Marbury,26.0,PHO,PG,34.0,34.0,1415.0,262.0,606.0,0.432,37.0,118.0,0.314,225.0,488.0,0.461,0.463,147.0,185.0,0.795,19.0,98.0,117.0,281.0,64.0,5.0,97.0,74.0,708.0,0.0,
10.0,Stephon Marbury,26.0,NYK,PG,47.0,47.0,1839.0,336.0,780.0,0.431,50.0,156.0,0.321,286.0,624.0,0.458,0.463,209.0,251.0,0.833,39.0,107.0,146.0,438.0,65.0,4.0,152.0,98.0,931.0,0.0,
11.0,Zach Randolph,22.0,POR,PF,81.0,80.0,3067.0,663.0,1368.0,0.485,1.0,5.0,0.2,662.0,1363.0,0.486,0.485,299.0,393.0,0.761,242.0,609.0,851.0,163.0,68.0,41.0,247.0,227.0,1626.0,0.0,MIP-1
12.0,Sam Cassell,34.0,MIN,PG,81.0,81.0,2838.0,620.0,1270.0,0.488,74.0,186.0,0.398,546.0,1084.0,0.504,0.517,289.0,331.0,0.873,44.0,227.0,271.0,592.0,102.0,18.0,220.0,247.0,1603.0,1.0,"MVP-10,AS,NBA2"
13.0,Jermaine O'Neal,25.0,IND,PF,78.0,78.0,2788.0,608.0,1400.0,0.434,2.0,18.0,0.111,606.0,1382.0,0.438,0.435,348.0,460.0,0.757,193.0,585.0,778.0,164.0,59.0,199.0,181.0,248.0,1566.0,0.0,"MVP-3,AS,NBA2"
14.0,Kobe Bryant,25.0,LAL,SG,65.0,64.0,2447.0,516.0,1178.0,0.438,71.0,217.0,0.327,445.0,961.0,0.463,0.468,454.0,533.0,0.852,103.0,256.0,359.0,330.0,112.0,28.0,171.0,176.0,1557.0,1.0,"MVP-5,DPOY-10,AS,NBA1,DEF1"
15.0,Tim Duncan,27.0,SAS,PF,69.0,68.0,2527.0,592.0,1181.0,0.501,2.0,12.0,0.167,590.0,1169.0,0.505,0.502,352.0,588.0,0.599,227.0,632.0,859.0,213.0,62.0,185.0,183.0,164.0,1538.0,0.0,"MVP-2,DPOY-7,AS,NBA1,DEF2"
16.0,Baron Davis,24.0,NOH,PG,67.0,66.0,2686.0,554.0,1402.0,0.395,187.0,582.0,0.321,367.0,820.0,0.448,0.462,237.0,352.0,0.673,66.0,221.0,287.0,501.0,158.0,27.0,215.0,178.0,1532.0,0.0,"MVP-10,AS,NBA3"
17.0,Richard Jefferson,23.0,NJN,SF,82.0,82.0,3133.0,555.0,1115.0,0.498,48.0,132.0,0.364,507.0,983.0,0.516,0.519,357.0,468.0,0.763,109.0,355.0,464.0,315.0,92.0,28.0,198.0,224.0,1515.0,0.0,
18.0,Corey Maggette,24.0,LAC,SF,73.0,72.0,2628.0,453.0,1013.0,0.447,76.0,231.0,0.329,377.0,782.0,0.482,0.485,526.0,620.0,0.848,96.0,334.0,430.0,224.0,65.0,16.0,207.0,217.0,1508.0,0.0,
19.0,Mike Bibby,25.0,SAC,PG,82.0,82.0,2980.0,527.0,1170.0,0.45,148.0,378.0,0.392,379.0,792.0,0.479,0.514,304.0,373.0,0.815,67.0,210.0,277.0,444.0,112.0,18.0,175.0,146.0,1506.0,0.0,
20.0,Shawn Marion,25.0,PHO,SF,79.0,79.0,3217.0,590.0,1341.0,0.44,90.0,265.0,0.34,500.0,1076.0,0.465,0.474,228.0,268.0,0.851,212.0,525.0,737.0,214.0,167.0,104.0,156.0,203.0,1498.0,0.0,
